year,quintil_oecd,regtyp,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Urban regions,Very often,0.04374,114,3062,0.03650,0.05099
2013,1st Quintile,Urban regions,Often,0.12679,391,3062,0.11501,0.13858
2013,1st Quintile,Urban regions,Sometimes,0.36508,1058,3062,0.34802,0.38214
2013,1st Quintile,Urban regions,Seldom,0.30874,989,3062,0.29237,0.32511
2013,1st Quintile,Urban regions,Never,0.15564,510,3062,0.14280,0.16849
2013,1st Quintile,Rural regions,Very often,0.05015,88,2038,0.04067,0.05962
2013,1st Quintile,Rural regions,Often,0.11494,240,2038,0.10109,0.12879
2013,1st Quintile,Rural regions,Sometimes,0.33455,710,2038,0.31406,0.35504
2013,1st Quintile,Rural regions,Seldom,0.34646,676,2038,0.32580,0.36713
2013,1st Quintile,Rural regions,Never,0.15390,324,2038,0.13823,0.16957
2013,2nd Quintile,Urban regions,Very often,0.01889,57,3028,0.01404,0.02374
2013,2nd Quintile,Urban regions,Often,0.09046,287,3028,0.08024,0.10068
2013,2nd Quintile,Urban regions,Sometimes,0.36005,1053,3028,0.34295,0.37715
2013,2nd Quintile,Urban regions,Seldom,0.35295,1099,3028,0.33593,0.36998
2013,2nd Quintile,Urban regions,Never,0.17765,532,3028,0.16403,0.19126
2013,2nd Quintile,Rural regions,Very often,0.01414,34,2160,0.00916,0.01912
2013,2nd Quintile,Rural regions,Often,0.09739,191,2160,0.08489,0.10990
2013,2nd Quintile,Rural regions,Sometimes,0.35662,759,2160,0.33641,0.37682
2013,2nd Quintile,Rural regions,Seldom,0.34874,774,2160,0.32863,0.36884
2013,2nd Quintile,Rural regions,Never,0.18311,402,2160,0.16679,0.19942
2013,3rd Quintile,Urban regions,Very often,0.01956,56,2932,0.01455,0.02457
2013,3rd Quintile,Urban regions,Often,0.08414,245,2932,0.07409,0.09419
2013,3rd Quintile,Urban regions,Sometimes,0.37654,1024,2932,0.35900,0.39408
2013,3rd Quintile,Urban regions,Seldom,0.35876,1076,2932,0.34140,0.37613
2013,3rd Quintile,Urban regions,Never,0.16100,531,2932,0.14769,0.17430
2013,3rd Quintile,Rural regions,Often,0.08479,144,1902,0.07227,0.09732
2013,3rd Quintile,Rural regions,Sometimes,0.35373,661,1902,0.33224,0.37523
2013,3rd Quintile,Rural regions,Seldom,0.38212,767,1902,0.36027,0.40396
2013,3rd Quintile,Rural regions,Never,0.16178,330,1902,0.14523,0.17834
2013,4th Quintile,Urban regions,Very often,0.01293,40,3060,0.00893,0.01693
2013,4th Quintile,Urban regions,Often,0.06551,196,3060,0.05674,0.07427
2013,4th Quintile,Urban regions,Sometimes,0.34285,1012,3060,0.32603,0.35967
2013,4th Quintile,Urban regions,Seldom,0.41502,1259,3060,0.39756,0.43248
2013,4th Quintile,Urban regions,Never,0.16370,553,3060,0.15059,0.17681
2013,4th Quintile,Rural regions,Often,0.07694,123,1744,0.06443,0.08945
2013,4th Quintile,Rural regions,Sometimes,0.37820,622,1744,0.35544,0.40097
2013,4th Quintile,Rural regions,Seldom,0.37244,723,1744,0.34974,0.39513
2013,4th Quintile,Rural regions,Never,0.15278,276,1744,0.13589,0.16967
2013,5th Quintile,Urban regions,Often,0.05880,210,4078,0.05158,0.06602
2013,5th Quintile,Urban regions,Sometimes,0.30767,1260,4078,0.29351,0.32184
2013,5th Quintile,Urban regions,Seldom,0.42677,1711,4078,0.41159,0.44196
2013,5th Quintile,Urban regions,Never,0.19891,897,4078,0.18665,0.21116
2013,5th Quintile,Rural regions,Often,0.06742,82,1359,0.05409,0.08076
2013,5th Quintile,Rural regions,Sometimes,0.33786,430,1359,0.31271,0.36302
2013,5th Quintile,Rural regions,Seldom,0.44289,616,1359,0.41647,0.46930
2013,5th Quintile,Rural regions,Never,0.14665,231,1359,0.12783,0.16547
2017,1st Quintile,Urban regions,Very often,0.04645,102,2958,0.03886,0.05404
2017,1st Quintile,Urban regions,Often,0.11280,344,2958,0.10140,0.12420
2017,1st Quintile,Urban regions,Sometimes,0.31871,994,2958,0.30191,0.33550
2017,1st Quintile,Urban regions,Seldom,0.33625,936,2958,0.31922,0.35328
2017,1st Quintile,Urban regions,Never,0.18579,582,2958,0.17177,0.19981
2017,1st Quintile,Rural regions,Very often,0.02885,62,1747,0.02100,0.03671
2017,1st Quintile,Rural regions,Often,0.10114,175,1747,0.08699,0.11528
2017,1st Quintile,Rural regions,Sometimes,0.34962,608,1747,0.32725,0.37199
2017,1st Quintile,Rural regions,Seldom,0.34028,581,1747,0.31805,0.36250
2017,1st Quintile,Rural regions,Never,0.18011,321,1747,0.16209,0.19814
2017,2nd Quintile,Urban regions,Very often,0.02317,75,2906,0.01770,0.02864
