"plj0587","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","10","","",""
"Sehr oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","14","","",""
"Sehr oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","Hauptschule","kein Migrationshintergrund","150","0.0240982920216893","0.0203284933613805","0.0278680906819981"
"Sehr oft","2013","Hauptschule","direkter Migrationshintergrund","33","0.0272613280888979","0.0174673883311363","0.0370552678466596"
"Sehr oft","2013","Hauptschule","indirekter Migrationshintergrund","8","","",""
"Sehr oft","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","Realschule","kein Migrationshintergrund","103","0.0163689473164471","0.0133189713625817","0.0194189232703126"
"Sehr oft","2013","Realschule","direkter Migrationshintergrund","7","","",""
"Sehr oft","2013","Realschule","indirekter Migrationshintergrund","7","","",""
"Sehr oft","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","(Fach-)Abitur","kein Migrationshintergrund","41","0.0236890564795796","0.0177537450680111","0.029624367891148"
"Sehr oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","16","","",""
"Sehr oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","4","","",""
"Sehr oft","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","AkademikerIn","kein Migrationshintergrund","52","0.0135258670734717","0.0103484815118527","0.0167032526350907"
"Sehr oft","2013","AkademikerIn","direkter Migrationshintergrund","18","","",""
"Sehr oft","2013","AkademikerIn","indirekter Migrationshintergrund","3","","",""
"Sehr oft","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","57","0.130641690904945","0.101841489819354","0.159441891990535"
"Oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","21","","",""
"Oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","16","","",""
"Oft","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","Hauptschule","kein Migrationshintergrund","545","0.0858518943043792","0.0789652887543865","0.0927384998543719"
"Oft","2013","Hauptschule","direkter Migrationshintergrund","114","0.103334822019742","0.0850275205726463","0.121642123466838"
"Oft","2013","Hauptschule","indirekter Migrationshintergrund","31","0.0778562193657285","0.0475359231478775","0.10817651558358"
"Oft","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","Realschule","kein Migrationshintergrund","540","0.0827959330467254","0.0761721299668011","0.0894197361266496"
"Oft","2013","Realschule","direkter Migrationshintergrund","30","0.117756407568316","0.0773137479446039","0.158199067192029"
"Oft","2013","Realschule","indirekter Migrationshintergrund","34","0.128790892386087","0.0908230186589271","0.166758766113248"
"Oft","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","(Fach-)Abitur","kein Migrationshintergrund","171","0.0664778541967489","0.0567553898599385","0.0762003185335593"
"Oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","65","0.0950460521947494","0.070535842480648","0.119556261908851"
"Oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","22","","",""
"Oft","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","AkademikerIn","kein Migrationshintergrund","300","0.0707205591328002","0.063668912896959","0.0777722053686413"
"Oft","2013","AkademikerIn","direkter Migrationshintergrund","80","0.158921547281756","0.128640999775021","0.189202094788491"
"Oft","2013","AkademikerIn","indirekter Migrationshintergrund","18","","",""
"Oft","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","(noch) kein Abschluss","kein Migrationshintergrund","164","0.295367454960812","0.256380628180554","0.33435428174107"
"Manchmal","2013","(noch) kein Abschluss","direkter Migrationshintergrund","58","0.335636761740771","0.26401790018408","0.407255623297461"
"Manchmal","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","22","","",""
"Manchmal","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","Hauptschule","kein Migrationshintergrund","2076","0.342392661846364","0.330728124045442","0.354057199647287"
"Manchmal","2013","Hauptschule","direkter Migrationshintergrund","370","0.368340255986374","0.339329968978975","0.397350542993773"
"Manchmal","2013","Hauptschule","indirekter Migrationshintergrund","98","0.296708801408786","0.245017166361268","0.348400436456303"
"Manchmal","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","Realschule","kein Migrationshintergrund","2414","0.36456439944751","0.352995479280695","0.376133319614325"
"Manchmal","2013","Realschule","direkter Migrationshintergrund","68","0.336653203864801","0.277358640988181","0.395947766741421"
"Manchmal","2013","Realschule","indirekter Migrationshintergrund","95","0.300571990605563","0.248601327191102","0.352542654020024"
"Manchmal","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","(Fach-)Abitur","kein Migrationshintergrund","853","0.367423917055314","0.34860842219108","0.386239411919549"
"Manchmal","2013","(Fach-)Abitur","direkter Migrationshintergrund","181","0.327915808069936","0.288682063230473","0.367149552909399"
"Manchmal","2013","(Fach-)Abitur","indirekter Migrationshintergrund","61","0.352991024283142","0.284677585053153","0.421304463513132"
"Manchmal","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","AkademikerIn","kein Migrationshintergrund","1678","0.349333450621342","0.336219189210456","0.362447712032229"
"Manchmal","2013","AkademikerIn","direkter Migrationshintergrund","195","0.328412658229399","0.289515732961338","0.36730958349746"
"Manchmal","2013","AkademikerIn","indirekter Migrationshintergrund","57","0.273683906806936","0.209437374644021","0.337930438969852"
"Manchmal","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","(noch) kein Abschluss","kein Migrationshintergrund","205","0.392162491148194","0.350438869989575","0.433886112306813"
"Selten","2013","(noch) kein Abschluss","direkter Migrationshintergrund","43","0.240110865601698","0.175326400184745","0.304895331018651"
"Selten","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","44","0.351365382184314","0.262554507209655","0.440176257158974"
"Selten","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","Hauptschule","kein Migrationshintergrund","2283","0.349034712092363","0.33731720538086","0.360752218803866"
"Selten","2013","Hauptschule","direkter Migrationshintergrund","330","0.299126958561888","0.271588901975879","0.326665015147897"
"Selten","2013","Hauptschule","indirekter Migrationshintergrund","109","0.42296849270527","0.367064704736416","0.478872280674125"
"Selten","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","Realschule","kein Migrationshintergrund","2542","0.395991744491303","0.384236425250635","0.407747063731971"
"Selten","2013","Realschule","direkter Migrationshintergrund","80","0.269094842655933","0.213448531712682","0.324741153599184"
"Selten","2013","Realschule","indirekter Migrationshintergrund","114","0.336497668329185","0.282939618721736","0.390055717936635"
"Selten","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","(Fach-)Abitur","kein Migrationshintergrund","1061","0.407434920079859","0.388258271862623","0.426611568297096"
