year,bula_h,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Schleswig-Holstein,Often,0.08540,75,892,0.06705,0.10375
2013,Schleswig-Holstein,Sometimes,0.40841,328,892,0.37613,0.44068
2013,Schleswig-Holstein,Seldom,0.37165,369,892,0.33992,0.40339
2013,Schleswig-Holstein,Never,0.11615,120,892,0.09512,0.13719
2013,Hamburg,Sometimes,0.28444,113,370,0.23841,0.33047
2013,Hamburg,Seldom,0.41111,143,370,0.36090,0.46131
2013,Hamburg,Never,0.21236,114,370,0.17063,0.25409
2013,Lower Saxony,Very often,0.02365,57,2445,0.01762,0.02967
2013,Lower Saxony,Often,0.09066,213,2445,0.07928,0.10205
2013,Lower Saxony,Sometimes,0.33936,787,2445,0.32059,0.35813
2013,Lower Saxony,Seldom,0.39417,969,2445,0.37480,0.41355
2013,Lower Saxony,Never,0.15216,419,2445,0.13792,0.16640
2013,Bremen,Sometimes,0.30946,54,163,0.23828,0.38065
2013,Bremen,Seldom,0.39288,69,163,0.31767,0.46809
2013,Bremen,Never,0.16985,40,163,0.11203,0.22768
2013,North Rhine-Westphalia,Very often,0.01689,87,5094,0.01335,0.02043
2013,North Rhine-Westphalia,Often,0.07412,394,5094,0.06693,0.08132
2013,North Rhine-Westphalia,Sometimes,0.35686,1682,5094,0.34370,0.37001
2013,North Rhine-Westphalia,Seldom,0.36024,1863,5094,0.34706,0.37342
2013,North Rhine-Westphalia,Never,0.19189,1068,5094,0.18107,0.20270
2013,Hesse,Very often,0.02453,41,1751,0.01728,0.03178
2013,Hesse,Often,0.09015,141,1751,0.07673,0.10357
2013,Hesse,Sometimes,0.34973,625,1751,0.32738,0.37207
2013,Hesse,Seldom,0.38421,696,1751,0.36142,0.40700
2013,Hesse,Never,0.15139,248,1751,0.13459,0.16818
2013,"Rhineland-Palatinate, Saarland",Very often,0.02769,35,1415,0.01914,0.03624
2013,"Rhineland-Palatinate, Saarland",Often,0.06654,107,1415,0.05355,0.07953
2013,"Rhineland-Palatinate, Saarland",Sometimes,0.32047,424,1415,0.29614,0.34479
2013,"Rhineland-Palatinate, Saarland",Seldom,0.35833,495,1415,0.33334,0.38333
2013,"Rhineland-Palatinate, Saarland",Never,0.22697,354,1415,0.20514,0.24880
2013,Baden-Wuerttemberg,Very often,0.01907,46,3003,0.01417,0.02396
2013,Baden-Wuerttemberg,Often,0.07770,227,3003,0.06812,0.08727
2013,Baden-Wuerttemberg,Sometimes,0.32483,952,3003,0.30808,0.34159
2013,Baden-Wuerttemberg,Seldom,0.40753,1215,3003,0.38996,0.42511
2013,Baden-Wuerttemberg,Never,0.17087,563,3003,0.15740,0.18433
2013,Bavaria,Very often,0.01761,55,4012,0.01354,0.02168
2013,Bavaria,Often,0.07399,290,4012,0.06589,0.08209
2013,Bavaria,Sometimes,0.32753,1338,4012,0.31301,0.34205
2013,Bavaria,Seldom,0.38015,1565,4012,0.36513,0.39517
2013,Bavaria,Never,0.20072,764,4012,0.18832,0.21311
2013,Berlin,Often,0.11925,120,958,0.09871,0.13978
2013,Berlin,Sometimes,0.36451,354,958,0.33402,0.39501
2013,Berlin,Seldom,0.37930,355,958,0.34856,0.41005
2013,Berlin,Never,0.11497,129,958,0.09476,0.13518
2013,Brandenburg,Often,0.11042,99,995,0.09094,0.12991
2013,Brandenburg,Sometimes,0.42456,388,995,0.39383,0.45529
2013,Brandenburg,Seldom,0.33804,371,995,0.30863,0.36745
2013,Brandenburg,Never,0.10839,137,995,0.08907,0.12772
2013,Mecklenburg-Western Pomerania,Often,0.11525,69,572,0.08906,0.14144
2013,Mecklenburg-Western Pomerania,Sometimes,0.42345,238,572,0.38293,0.46398
2013,Mecklenburg-Western Pomerania,Seldom,0.35018,207,572,0.31105,0.38930
2013,Mecklenburg-Western Pomerania,Never,0.09124,58,572,0.06762,0.11486
2013,Saxony,Often,0.09413,144,1684,0.08018,0.10808
2013,Saxony,Sometimes,0.39318,643,1684,0.36985,0.41652
2013,Saxony,Seldom,0.38752,648,1684,0.36424,0.41079
2013,Saxony,Never,0.11204,249,1684,0.09697,0.12711
2013,Saxony-Anhalt,Often,0.09315,89,935,0.07451,0.11179
2013,Saxony-Anhalt,Sometimes,0.31999,322,935,0.29007,0.34990
2013,Saxony-Anhalt,Seldom,0.43074,396,935,0.39898,0.46250
2013,Saxony-Anhalt,Never,0.12754,128,935,0.10615,0.14893
2013,Thuringa,Often,0.10216,98,967,0.08306,0.12126
2013,Thuringa,Sometimes,0.35300,341,967,0.32286,0.38314
2013,Thuringa,Seldom,0.30607,332,967,0.27701,0.33513
2013,Thuringa,Never,0.21160,196,967,0.18584,0.23736
2017,Schleswig-Holstein,Often,0.09145,110,1030,0.07383,0.10906
2017,Schleswig-Holstein,Sometimes,0.35826,351,1030,0.32896,0.38756
2017,Schleswig-Holstein,Seldom,0.38377,370,1030,0.35405,0.41348
2017,Schleswig-Holstein,Never,0.15738,199,1030,0.13513,0.17963
2017,Hamburg,Sometimes,0.25970,139,470,0.22002,0.29939
