"plj0587","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","14","","",""
"Sehr oft","2013","(noch) kein Abschluss","2","4","","",""
"Sehr oft","2013","(noch) kein Abschluss","3","2","","",""
"Sehr oft","2013","(noch) kein Abschluss","4","2","","",""
"Sehr oft","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
"Sehr oft","2013","Hauptschule","1 Einkommensschwächstes Quintil","77","0.0467814923484081","0.0363326088212997","0.0572303758755164"
"Sehr oft","2013","Hauptschule","2","55","0.0278575073718958","0.0207424522613762","0.0349725624824154"
"Sehr oft","2013","Hauptschule","3","32","0.0195806409754975","0.013028912319843","0.0261323696311519"
"Sehr oft","2013","Hauptschule","4","20","","",""
"Sehr oft","2013","Hauptschule","5 Einkommensstärkstes Quintil","7","","",""
"Sehr oft","2013","Realschule","1 Einkommensschwächstes Quintil","37","0.0371904695386283","0.0254680550527263","0.0489128840245303"
"Sehr oft","2013","Realschule","2","31","0.0214472239938442","0.0141976400721511","0.0286968079155372"
"Sehr oft","2013","Realschule","3","21","","",""
"Sehr oft","2013","Realschule","4","18","","",""
"Sehr oft","2013","Realschule","5 Einkommensstärkstes Quintil","10","","",""
"Sehr oft","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","13","","",""
"Sehr oft","2013","(Fach-)Abitur","2","14","","",""
"Sehr oft","2013","(Fach-)Abitur","3","14","","",""
"Sehr oft","2013","(Fach-)Abitur","4","10","","",""
"Sehr oft","2013","(Fach-)Abitur","5 Einkommensstärkstes Quintil","10","","",""
"Sehr oft","2013","AkademikerIn","1 Einkommensschwächstes Quintil","12","","",""
"Sehr oft","2013","AkademikerIn","2","12","","",""
"Sehr oft","2013","AkademikerIn","3","8","","",""
"Sehr oft","2013","AkademikerIn","4","18","","",""
"Sehr oft","2013","AkademikerIn","5 Einkommensstärkstes Quintil","23","","",""
"Oft","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","39","0.14150094593229","0.0993778969750681","0.183623994889512"
"Oft","2013","(noch) kein Abschluss","2","28","","",""
"Oft","2013","(noch) kein Abschluss","3","8","","",""
"Oft","2013","(noch) kein Abschluss","4","11","","",""
"Oft","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","8","","",""
"Oft","2013","Hauptschule","1 Einkommensschwächstes Quintil","210","0.119764279319943","0.103698575129302","0.135829983510583"
"Oft","2013","Hauptschule","2","194","0.0916606635219273","0.079185169933494","0.104136157110361"
"Oft","2013","Hauptschule","3","120","0.0724691019380003","0.060209478129267","0.0847287257467336"
"Oft","2013","Hauptschule","4","114","0.0807661784466684","0.0671175735999814","0.0944147832933555"
"Oft","2013","Hauptschule","5 Einkommensstärkstes Quintil","52","0.073989946488199","0.0563516305679935","0.0916282624084044"
"Oft","2013","Realschule","1 Einkommensschwächstes Quintil","122","0.123643328772697","0.103251468567265","0.144035188978129"
"Oft","2013","Realschule","2","146","0.110104543014395","0.0944403680509491","0.12576871797784"
"Oft","2013","Realschule","3","128","0.0843602787212415","0.0702860858076673","0.0984344716348157"
"Oft","2013","Realschule","4","135","0.0798766020967442","0.067232570581172","0.0925206336123164"
"Oft","2013","Realschule","5 Einkommensstärkstes Quintil","73","0.0493965489522437","0.0380171183843699","0.0607759795201175"
"Oft","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","56","0.114024937903279","0.0849793717394639","0.143070504067093"
"Oft","2013","(Fach-)Abitur","2","57","0.0982267762969765","0.0740885540913199","0.122364998502633"
"Oft","2013","(Fach-)Abitur","3","37","0.0617027514101859","0.0422212793687894","0.0811842234515824"
"Oft","2013","(Fach-)Abitur","4","64","0.0575918544267036","0.0414380526862341","0.0737456561671731"
"Oft","2013","(Fach-)Abitur","5 Einkommensstärkstes Quintil","44","0.0566482716431866","0.0409309791309151","0.0723655641554582"
"Oft","2013","AkademikerIn","1 Einkommensschwächstes Quintil","36","0.148879625984989","0.105858344300994","0.191900907668985"
"Oft","2013","AkademikerIn","2","48","0.131576635056068","0.101209784494479","0.161943485617657"
"Oft","2013","AkademikerIn","3","62","0.106762868281259","0.0843765381920919","0.129149198370426"
"Oft","2013","AkademikerIn","4","107","0.0688955306774144","0.05562834510894","0.0821627162458888"
"Oft","2013","AkademikerIn","5 Einkommensstärkstes Quintil","145","0.0608128503389225","0.0521917308374003","0.0694339698404446"
"Manchmal","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","87","0.359838842654038","0.301833379743862","0.417844305564214"
"Manchmal","2013","(noch) kein Abschluss","2","62","0.357510867762741","0.290069752563786","0.424951982961696"
"Manchmal","2013","(noch) kein Abschluss","3","42","0.282391886755478","0.207285248172931","0.357498525338025"
"Manchmal","2013","(noch) kein Abschluss","4","24","","",""
"Manchmal","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","29","","",""
"Manchmal","2013","Hauptschule","1 Einkommensschwächstes Quintil","500","0.366553047635821","0.342710088080511","0.39039600719113"
"Manchmal","2013","Hauptschule","2","738","0.361902133945199","0.341125203016861","0.382679064873536"
"Manchmal","2013","Hauptschule","3","583","0.350157215403629","0.327600690005979","0.372713740801279"
"Manchmal","2013","Hauptschule","4","486","0.338629902341123","0.314924603968441","0.362335200713806"
"Manchmal","2013","Hauptschule","5 Einkommensstärkstes Quintil","237","0.276962354664186","0.246807743291499","0.307116966036873"
"Manchmal","2013","Realschule","1 Einkommensschwächstes Quintil","384","0.392891733396638","0.362636495573611","0.423146971219665"
"Manchmal","2013","Realschule","2","591","0.37991478589345","0.355626090008591","0.404203481778309"
"Manchmal","2013","Realschule","3","530","0.360386793175957","0.336073973484965","0.384699612866949"
"Manchmal","2013","Realschule","4","608","0.360600900739503","0.338205844620349","0.382995956858657"
"Manchmal","2013","Realschule","5 Einkommensstärkstes Quintil","464","0.334281396855777","0.309508660335815","0.35905413337574"
"Manchmal","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","165","0.348430592273618","0.30488866406711","0.391972520480125"
"Manchmal","2013","(Fach-)Abitur","2","206","0.364627463447139","0.325590091284736","0.403664835609542"
"Manchmal","2013","(Fach-)Abitur","3","193","0.361858179415295","0.322951238680137","0.400765120150454"
"Manchmal","2013","(Fach-)Abitur","4","273","0.394864328295731","0.360970156255412","0.42875850033605"
