year,migback,sampreg,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,West,Very often,0.01901,250,16061,0.01690,0.02113
2013,No migration background,West,Often,0.07509,1125,16061,0.07102,0.07917
2013,No migration background,West,Sometimes,0.34349,5303,16061,0.33615,0.35084
2013,No migration background,West,Seldom,0.38862,6363,16061,0.38108,0.39616
2013,No migration background,West,Never,0.17378,3020,16061,0.16792,0.17964
2013,No migration background,East,Very often,0.01936,109,5477,0.01571,0.02301
2013,No migration background,East,Often,0.09982,519,5477,0.09188,0.10776
2013,No migration background,East,Sometimes,0.38189,2010,5477,0.36902,0.39476
2013,No migration background,East,Seldom,0.37020,2032,5477,0.35741,0.38299
2013,No migration background,East,Never,0.12873,807,5477,0.11986,0.13760
2013,Direct migration background,West,Very often,0.02678,93,2651,0.02063,0.03292
2013,Direct migration background,West,Often,0.11732,317,2651,0.10507,0.12957
2013,Direct migration background,West,Sometimes,0.33466,881,2651,0.31670,0.35263
2013,Direct migration background,West,Seldom,0.31339,827,2651,0.29573,0.33105
2013,Direct migration background,West,Never,0.20785,533,2651,0.19240,0.22330
2013,Direct migration background,East,Sometimes,0.44780,63,115,0.35652,0.53909
2013,Direct migration background,East,Seldom,0.24106,52,115,0.16254,0.31957
2013,Indirect migration background,West,Often,0.08418,113,1023,0.06716,0.10120
2013,Indirect migration background,West,Sometimes,0.27662,303,1023,0.24920,0.30405
2013,Indirect migration background,West,Seldom,0.38900,401,1023,0.35911,0.41889
2013,Indirect migration background,West,Never,0.22386,206,1023,0.19830,0.24942
2019,Direct migration background,West,Very often,0.15739,31,209,0.10790,0.20689
2019,Direct migration background,West,Often,0.22828,54,209,0.17124,0.28533
2019,Direct migration background,West,Sometimes,0.33019,81,209,0.26628,0.39410
2019,Direct migration background,West,Never,0.19562,43,209,0.14171,0.24953
2021,No migration background,West,Very often,0.04864,506,9901,0.04440,0.05288
2021,No migration background,West,Often,0.15048,1529,9901,0.14344,0.15752
2021,No migration background,West,Sometimes,0.36162,3538,9901,0.35215,0.37108
2021,No migration background,West,Seldom,0.33470,3220,9901,0.32541,0.34400
2021,No migration background,West,Never,0.10456,1108,9901,0.09853,0.11059
2021,No migration background,East,Very often,0.03572,112,3260,0.02935,0.04209
2021,No migration background,East,Often,0.12896,425,3260,0.11745,0.14047
2021,No migration background,East,Sometimes,0.38007,1194,3260,0.36340,0.39673
2021,No migration background,East,Seldom,0.34488,1129,3260,0.32856,0.36120
2021,No migration background,East,Never,0.11037,400,3260,0.09961,0.12113
2021,Direct migration background,West,Very often,0.05773,580,4653,0.05103,0.06443
2021,Direct migration background,West,Often,0.19032,889,4653,0.17904,0.20160
2021,Direct migration background,West,Sometimes,0.35089,1670,4653,0.33717,0.36460
2021,Direct migration background,West,Seldom,0.28883,943,4653,0.27581,0.30186
2021,Direct migration background,West,Never,0.11223,571,4653,0.10316,0.12130
2021,Direct migration background,East,Very often,0.10277,90,533,0.07696,0.12857
2021,Direct migration background,East,Often,0.19742,101,533,0.16360,0.23125
2021,Direct migration background,East,Sometimes,0.34955,192,533,0.30903,0.39007
2021,Direct migration background,East,Seldom,0.28846,99,533,0.24996,0.32696
2021,Direct migration background,East,Never,0.06180,51,533,0.04134,0.08226
2021,Indirect migration background,West,Often,0.16611,138,823,0.14067,0.19156
2021,Indirect migration background,West,Sometimes,0.34636,283,823,0.31383,0.37889
2021,Indirect migration background,West,Seldom,0.33815,286,823,0.30581,0.37050
2021,Indirect migration background,West,Never,0.11989,116,823,0.09769,0.14210
2021,Indirect migration background,East,Seldom,0.47618,32,32,0.30037,0.65200
2022,Direct migration background,West,Very often,0.18018,244,1526,0.16089,0.19947
2022,Direct migration background,West,Often,0.18300,261,1526,0.16359,0.20240
2022,Direct migration background,West,Sometimes,0.37965,601,1526,0.35530,0.40401
2022,Direct migration background,West,Seldom,0.12888,170,1526,0.11207,0.14570
2022,Direct migration background,West,Never,0.12829,250,1526,0.11150,0.14507
2022,Direct migration background,East,Often,0.16199,39,194,0.11001,0.21398
2022,Direct migration background,East,Sometimes,0.38012,111,194,0.31164,0.44861
2022,Direct migration background,East,Never,0.16338,44,194,0.11122,0.21554
