"plj0587","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","476","0.0200746898034748","0.0183516671781471","0.0217977124288024"
"Oft","2013","2109","","",""
"Manchmal","2013","8589","0.349114705999982","0.34325863447586","0.354970777524103"
"Selten","2013","9693","0.377175161212795","0.371220945347515","0.383129377078076"
"Nie","2013","4587","0.169122408861089","0.164517307729211","0.173727509992967"
"Sehr oft","2014","","","",""
"Oft","2014","","","",""
"Manchmal","2014","","","",""
"Selten","2014","","","",""
"Nie","2014","","","",""
"Sehr oft","2015","","","",""
"Oft","2015","","","",""
"Manchmal","2015","","","",""
"Selten","2015","","","",""
"Nie","2015","","","",""
"Sehr oft","2016","411","0.147998794333873","0.135005119023581","0.160992469644166"
"Oft","2016","491","0.185095653661848","0.170884339363277","0.19930696796042"
"Manchmal","2016","865","0.310222085528241","0.293295326330928","0.327148844725554"
"Selten","2016","460","0.147529132861035","0.1345525159201","0.160505749801971"
"Nie","2016","642","0.209154333615002","0.194272305515894","0.22403636171411"
"Sehr oft","2017","734","0.0191102595237954","0.0175154877695134","0.0207050312780773"
"Oft","2017","2357","","",""
"Manchmal","2017","8872","0.313794547791083","0.308389432953494","0.319199662628671"
"Selten","2017","10662","","",""
"Nie","2017","5688","0.193386816513816","0.188786356750394","0.197987276277239"
"Sehr oft","2018","54","0.139512855183106","0.104397942193657","0.174627768172555"
"Oft","2018","74","0.237158153269302","0.194051076366734","0.280265230171869"
"Manchmal","2018","111","","",""
"Selten","2018","47","0.105080597965666","0.0740017065187132","0.13615948941262"
"Nie","2018","88","0.224204251459275","0.181936620261696","0.266471882656854"
"Sehr oft","2019","35","0.154848482822929","0.110533674683869","0.199163290961988"
"Oft","2019","58","0.226231755941539","0.174979811986043","0.277483699897035"
"Manchmal","2019","90","0.354217982868048","0.295630291544469","0.412805674191627"
"Selten","2019","24","","",""
"Nie","2019","49","0.187135912595628","0.139359267900101","0.234912557291155"
