year,bula_h,sex,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Schleswig-Holstein,male,Sometimes,0.30630,135,373,0.25946,0.35315
2013,Schleswig-Holstein,male,Seldom,0.31801,179,373,0.27068,0.36533
2013,Schleswig-Holstein,male,Never,0.10070,59,373,0.07012,0.13128
2013,Schleswig-Holstein,female,Often,0.09469,52,496,0.06889,0.12048
2013,Schleswig-Holstein,female,Sometimes,0.33172,193,496,0.29024,0.37320
2013,Schleswig-Holstein,female,Seldom,0.26702,190,496,0.22805,0.30599
2013,Schleswig-Holstein,female,Never,0.08229,61,496,0.05808,0.10650
2013,Hamburg,male,Sometimes,0.18330,47,164,0.12390,0.24270
2013,Hamburg,male,Seldom,0.39400,65,164,0.31898,0.46901
2013,Hamburg,male,Never,0.12941,52,164,0.07788,0.18094
2013,Hamburg,female,Sometimes,0.24394,66,206,0.18515,0.30273
2013,Hamburg,female,Seldom,0.23847,78,206,0.18013,0.29680
2013,Hamburg,female,Never,0.18870,62,206,0.13514,0.24227
2013,Lower Saxony,male,Often,0.06598,90,1084,0.05120,0.08077
2013,Lower Saxony,male,Sometimes,0.23563,323,1084,0.21035,0.26090
2013,Lower Saxony,male,Seldom,0.30726,468,1084,0.27978,0.33474
2013,Lower Saxony,male,Never,0.12383,203,1084,0.10421,0.14344
2013,Lower Saxony,female,Very often,0.02373,41,1345,0.01559,0.03186
2013,Lower Saxony,female,Often,0.07347,123,1345,0.05952,0.08742
2013,Lower Saxony,female,Sometimes,0.28610,464,1345,0.26194,0.31026
2013,Lower Saxony,female,Seldom,0.29951,501,1345,0.27502,0.32400
2013,Lower Saxony,female,Never,0.11051,216,1345,0.09375,0.12727
2013,Bremen,male,Seldom,0.28396,32,32,0.12522,0.44269
2013,Bremen,female,Sometimes,0.25527,34,71,0.15313,0.35742
2013,Bremen,female,Seldom,0.29292,37,71,0.18630,0.39953
2013,North Rhine-Westphalia,male,Often,0.05239,155,2281,0.04324,0.06154
2013,North Rhine-Westphalia,male,Sometimes,0.26020,732,2281,0.24219,0.27821
2013,North Rhine-Westphalia,male,Seldom,0.27056,895,2281,0.25233,0.28880
2013,North Rhine-Westphalia,male,Never,0.13676,499,2281,0.12266,0.15087
2013,North Rhine-Westphalia,female,Very often,0.01366,57,2783,0.00935,0.01797
2013,North Rhine-Westphalia,female,Often,0.05679,239,2783,0.04819,0.06539
2013,North Rhine-Westphalia,female,Sometimes,0.26567,950,2783,0.24925,0.28208
2013,North Rhine-Westphalia,female,Seldom,0.26052,968,2783,0.24421,0.27683
2013,North Rhine-Westphalia,female,Never,0.14591,569,2783,0.13280,0.15903
2013,Hesse,male,Often,0.06315,60,792,0.04620,0.08010
2013,Hesse,male,Sometimes,0.24568,282,792,0.21568,0.27568
2013,Hesse,male,Seldom,0.29485,325,792,0.26308,0.32663
2013,Hesse,male,Never,0.12116,125,792,0.09842,0.14390
2013,Hesse,female,Often,0.06975,81,918,0.05326,0.08624
2013,Hesse,female,Sometimes,0.26990,343,918,0.24117,0.29863
2013,Hesse,female,Seldom,0.27167,371,918,0.24288,0.30047
2013,Hesse,female,Never,0.10209,123,918,0.08249,0.12168
2013,"Rhineland-Palatinate, Saarland",male,Often,0.03454,35,620,0.02016,0.04893
2013,"Rhineland-Palatinate, Saarland",male,Sometimes,0.24725,186,620,0.21327,0.28124
2013,"Rhineland-Palatinate, Saarland",male,Seldom,0.29204,238,620,0.25621,0.32786
2013,"Rhineland-Palatinate, Saarland",male,Never,0.15197,161,620,0.12369,0.18025
2013,"Rhineland-Palatinate, Saarland",female,Often,0.06418,72,760,0.04675,0.08162
2013,"Rhineland-Palatinate, Saarland",female,Sometimes,0.23682,238,760,0.20657,0.26706
2013,"Rhineland-Palatinate, Saarland",female,Seldom,0.25089,257,760,0.22005,0.28173
2013,"Rhineland-Palatinate, Saarland",female,Never,0.18841,193,760,0.16059,0.21623
2013,Baden-Wuerttemberg,male,Often,0.04664,81,1355,0.03541,0.05787
2013,Baden-Wuerttemberg,male,Sometimes,0.21861,421,1355,0.19659,0.24062
2013,Baden-Wuerttemberg,male,Seldom,0.30288,569,1355,0.27841,0.32736
2013,Baden-Wuerttemberg,male,Never,0.13383,284,1355,0.11570,0.15197
2013,Baden-Wuerttemberg,female,Very often,0.01932,31,1633,0.01264,0.02600
2013,Baden-Wuerttemberg,female,Often,0.06604,146,1633,0.05399,0.07809
2013,Baden-Wuerttemberg,female,Sometimes,0.25296,531,1633,0.23187,0.27405
2013,Baden-Wuerttemberg,female,Seldom,0.28931,646,1633,0.26731,0.31131
2013,Baden-Wuerttemberg,female,Never,0.11459,279,1633,0.09914,0.13005
2013,Bavaria,male,Often,0.03686,108,1779,0.02810,0.04562
2013,Bavaria,male,Sometimes,0.24306,569,1779,0.22312,0.26300
2013,Bavaria,male,Seldom,0.29278,747,1779,0.27163,0.31393
2013,Bavaria,male,Never,0.15477,355,1779,0.13796,0.17158
2013,Bavaria,female,Very often,0.01442,33,2211,0.00945,0.01939
2013,Bavaria,female,Often,0.07409,182,2211,0.06317,0.08501
2013,Bavaria,female,Sometimes,0.25234,769,2211,0.23423,0.27045
2013,Bavaria,female,Seldom,0.28279,818,2211,0.26401,0.30157
2013,Bavaria,female,Never,0.14914,409,2211,0.13429,0.16399
2013,Berlin,male,Often,0.08788,51,424,0.06090,0.11487
2013,Berlin,male,Sometimes,0.30300,168,424,0.25920,0.34679
2013,Berlin,male,Seldom,0.26574,153,424,0.22364,0.30783
2013,Berlin,male,Never,0.08098,52,424,0.05498,0.10698
2013,Berlin,female,Often,0.09596,69,534,0.07096,0.12097
2013,Berlin,female,Sometimes,0.25991,186,534,0.22267,0.29714
2013,Berlin,female,Seldom,0.31868,202,534,0.27912,0.35824
2013,Berlin,female,Never,0.09617,77,534,0.07114,0.12120
2013,Brandenburg,male,Often,0.06962,37,452,0.04613,0.09310
2013,Brandenburg,male,Sometimes,0.33622,175,452,0.29262,0.37982
2013,Brandenburg,male,Seldom,0.28892,176,452,0.24708,0.33075
2013,Brandenburg,male,Never,0.09109,64,452,0.06453,0.11765
2013,Brandenburg,female,Often,0.11013,62,543,0.08377,0.13648
2013,Brandenburg,female,Sometimes,0.35697,213,543,0.31664,0.39731
