year,migback,sex,plj0587,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,male,Seldom,0.4166326946596005,44486,0.41205135903287177,0.42121403028632926
2013,No migration background,male,Sometimes,0.32490827558092134,44486,0.3205561023708195,0.3292604487910232
2013,No migration background,male,Never,0.1827354260089686,44486,0.17914424658070444,0.18632660543723278
2013,No migration background,male,Often,0.06410517733387688,44486,0.06182900852402053,0.06638134614373323
2013,No migration background,male,Very often,0.011618426416632695,44486,0.01062260750751238,0.01261424532575301
2013,No migration background,female,Seldom,0.3671596124426313,44486,0.36268022180549697,0.3716390030797656
2013,No migration background,female,Sometimes,0.3517763046064933,44486,0.34733878653252664,0.3562138226804599
2013,No migration background,female,Never,0.17329593744688085,44486,0.16977860337202896,0.17681327152173273
2013,No migration background,female,Often,0.086775454699983,44486,0.08415949150457076,0.08939141789539524
2013,No migration background,female,Very often,0.02099269080401156,44486,0.019660484715012853,0.022324896893010267
2013,Direct migration background,male,Sometimes,0.3277310924369748,44486,0.3233692022455467,0.33209298262840287
2013,Direct migration background,male,Seldom,0.3058823529411765,44486,0.30160043690791744,0.31016426897443555
2013,Direct migration background,male,Never,0.22857142857142856,44486,0.22466928518426532,0.2324735719585918
2013,Direct migration background,male,Often,0.11260504201680673,44486,0.10966751554158614,0.1155425684920273
2013,Direct migration background,male,Very often,0.025210084033613446,44486,0.02375332723639861,0.026666840830828282
2013,Direct migration background,female,Sometimes,0.34188582424631175,44486,0.3374778853834918,0.3462937631091317
2013,Direct migration background,female,Seldom,0.3181526619627967,44486,0.3138244776371455,0.32248084628844786
2013,Direct migration background,female,Never,0.17190506735086594,44486,0.16839893104759435,0.17541120365413754
2013,Direct migration background,female,Often,0.1276459268762027,44486,0.12454498040266321,0.13074687334974217
2013,Direct migration background,female,Very often,0.040410519563822966,44486,0.03858059010380354,0.04224044902384239
2013,Indirect migration background,male,Seldom,0.36007827788649704,44486,0.3556175443600711,0.364539011412923
2013,Indirect migration background,male,Sometimes,0.29549902152641877,44486,0.291259047301501,0.29973899575133656
2013,Indirect migration background,male,Never,0.22896281800391388,44486,0.2250583260315917,0.23286730997623606
2013,Indirect migration background,male,Often,0.09784735812133072,44486,0.09508640547945084,0.1006083107632106
2013,Indirect migration background,male,Very often,0.01761252446183953,44486,0.016390171565935186,0.018834877357743873
2013,Indirect migration background,female,Seldom,0.3912337662337662,44486,0.3866986561276288,0.3957688763399036
2013,Indirect migration background,female,Sometimes,0.3051948051948052,44486,0.3009155864274545,0.3094740239621559
2013,Indirect migration background,female,Never,0.1590909090909091,44486,0.1556919839616071,0.16248983422021107
