year,age_gr,quintil_oecd,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,1st Quintile,In my current field/ field I was trained in,0.09675,58,307,0.06363,0.12987
1994,17-29 y.,1st Quintile,Do something new,0.09413,54,307,0.06141,0.12684
1994,17-29 y.,1st Quintile,Does not matter,0.08993,63,307,0.05787,0.12198
1994,17-29 y.,1st Quintile,Does not apply/do not (yet) have a job,0.17596,132,307,0.13329,0.21862
1994,17-29 y.,2nd Quintile,In my current field/ field I was trained in,0.12317,69,212,0.07882,0.16751
1994,17-29 y.,2nd Quintile,Does not matter,0.04777,45,212,0.01899,0.07654
1994,17-29 y.,2nd Quintile,Does not apply/do not (yet) have a job,0.13870,98,212,0.09206,0.18533
1994,17-29 y.,3rd Quintile,In my current field/ field I was trained in,0.08811,59,155,0.04334,0.13288
1994,17-29 y.,3rd Quintile,Does not apply/do not (yet) have a job,0.13371,96,155,0.07996,0.18747
1994,17-29 y.,4th Quintile,In my current field/ field I was trained in,0.09221,65,141,0.04428,0.14014
1994,17-29 y.,4th Quintile,Does not apply/do not (yet) have a job,0.12675,76,141,0.07164,0.18186
1994,17-29 y.,5th Quintile,In my current field/ field I was trained in,0.06319,31,84,0.01084,0.11553
1994,17-29 y.,5th Quintile,Does not apply/do not (yet) have a job,0.12296,53,84,0.05231,0.19361
1994,30-45 y.,1st Quintile,In my current field/ field I was trained in,0.11432,68,209,0.07107,0.15756
1994,30-45 y.,1st Quintile,Do something new,0.05190,37,209,0.02176,0.08205
1994,30-45 y.,1st Quintile,Does not matter,0.12145,104,209,0.07706,0.16584
1994,30-45 y.,2nd Quintile,In my current field/ field I was trained in,0.07451,62,126,0.02847,0.12054
1994,30-45 y.,2nd Quintile,Does not matter,0.07193,64,126,0.02664,0.11723
1994,30-45 y.,3rd Quintile,In my current field/ field I was trained in,0.07534,60,91,0.02081,0.12987
1994,30-45 y.,3rd Quintile,Does not matter,0.02554,31,91,-0.00705,0.05814
1994,30-45 y.,4th Quintile,In my current field/ field I was trained in,0.04752,38,38,-0.02103,0.11607
1994,30-45 y.,5th Quintile,In my current field/ field I was trained in,0.04498,38,38,-0.02180,0.11176
1994,46-65 y.,1st Quintile,Does not matter,0.07984,57,57,0.00885,0.15083
1994,46-65 y.,2nd Quintile,Does not matter,0.03784,31,31,-0.03044,0.10611
1996,17-29 y.,1st Quintile,In my current field/ field I was trained in,0.10737,69,327,0.07376,0.14097
1996,17-29 y.,1st Quintile,Do something new,0.09081,43,327,0.05962,0.12201
1996,17-29 y.,1st Quintile,Does not matter,0.08566,74,327,0.05528,0.11603
1996,17-29 y.,1st Quintile,Does not apply/do not (yet) have a job,0.15590,141,327,0.11652,0.19528
1996,17-29 y.,2nd Quintile,In my current field/ field I was trained in,0.10031,60,250,0.06300,0.13763
1996,17-29 y.,2nd Quintile,Do something new,0.06048,34,250,0.03087,0.09009
1996,17-29 y.,2nd Quintile,Does not matter,0.05774,36,250,0.02877,0.08671
1996,17-29 y.,2nd Quintile,Does not apply/do not (yet) have a job,0.16018,120,250,0.11463,0.20574
1996,17-29 y.,3rd Quintile,In my current field/ field I was trained in,0.08928,47,162,0.04523,0.13333
1996,17-29 y.,3rd Quintile,Does not matter,0.05244,31,162,0.01801,0.08687
1996,17-29 y.,3rd Quintile,Does not apply/do not (yet) have a job,0.14604,84,162,0.09149,0.20058
1996,17-29 y.,4th Quintile,In my current field/ field I was trained in,0.04018,32,106,0.00262,0.07775
1996,17-29 y.,4th Quintile,Does not apply/do not (yet) have a job,0.11663,74,106,0.05523,0.17802
1996,17-29 y.,5th Quintile,In my current field/ field I was trained in,0.07310,37,109,0.02400,0.12219
1996,17-29 y.,5th Quintile,Does not apply/do not (yet) have a job,0.18947,72,109,0.11556,0.26338
1996,30-45 y.,1st Quintile,In my current field/ field I was trained in,0.09072,66,285,0.05732,0.12413
1996,30-45 y.,1st Quintile,Do something new,0.09023,53,285,0.05691,0.12355
1996,30-45 y.,1st Quintile,Does not matter,0.13021,117,285,0.09107,0.16935
1996,30-45 y.,1st Quintile,Does not apply/do not (yet) have a job,0.03440,49,285,0.01320,0.05560
1996,30-45 y.,2nd Quintile,In my current field/ field I was trained in,0.05817,64,176,0.02349,0.09285
1996,30-45 y.,2nd Quintile,Do something new,0.04823,34,176,0.01648,0.07997
1996,30-45 y.,2nd Quintile,Does not matter,0.07154,78,176,0.03336,0.10973
1996,30-45 y.,3rd Quintile,In my current field/ field I was trained in,0.05865,48,83,0.00779,0.10951
1996,30-45 y.,3rd Quintile,Does not matter,0.02985,35,83,-0.00698,0.06668
1996,30-45 y.,4th Quintile,In my current field/ field I was trained in,0.04577,44,44,-0.01669,0.10824
