year,age_gr,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,In my current field/ field I was trained in,0.09322,283,1041,0.07555,0.11089
1994,17-29 y.,Do something new,0.04745,150,1041,0.03453,0.06038
1994,17-29 y.,Does not matter,0.03714,152,1041,0.02564,0.04863
1994,17-29 y.,Does not apply/do not (yet) have a job,0.13952,456,1041,0.11846,0.16058
1994,30-45 y.,In my current field/ field I was trained in,0.06827,266,661,0.04903,0.08751
1994,30-45 y.,Do something new,0.02510,99,661,0.01317,0.03704
1994,30-45 y.,Does not matter,0.04841,239,661,0.03204,0.06479
1994,30-45 y.,Does not apply/do not (yet) have a job,0.01053,57,661,0.00274,0.01832
1994,46-65 y.,In my current field/ field I was trained in,0.02874,105,258,0.00832,0.04917
1994,46-65 y.,Does not matter,0.03313,153,258,0.01125,0.05502
1996,17-29 y.,In my current field/ field I was trained in,0.08291,245,1039,0.06614,0.09969
1996,17-29 y.,Do something new,0.05388,138,1039,0.04014,0.06761
1996,17-29 y.,Does not matter,0.05018,164,1039,0.03690,0.06346
1996,17-29 y.,Does not apply/do not (yet) have a job,0.15262,492,1039,0.13075,0.17450
1996,30-45 y.,In my current field/ field I was trained in,0.05640,254,746,0.03983,0.07296
1996,30-45 y.,Do something new,0.03934,143,746,0.02538,0.05329
1996,30-45 y.,Does not matter,0.05436,276,746,0.03808,0.07064
1996,30-45 y.,Does not apply/do not (yet) have a job,0.01068,73,746,0.00330,0.01806
1996,46-65 y.,In my current field/ field I was trained in,0.02819,114,329,0.01028,0.04611
1996,46-65 y.,Do something new,0.01008,36,329,-0.00073,0.02089
1996,46-65 y.,Does not matter,0.04005,179,329,0.01883,0.06127
1997,17-29 y.,In my current field/ field I was trained in,0.07363,211,993,0.05738,0.08988
1997,17-29 y.,Do something new,0.04085,110,993,0.02853,0.05317
1997,17-29 y.,Does not matter,0.05407,153,993,0.04000,0.06815
1997,17-29 y.,Does not apply/do not (yet) have a job,0.16530,519,993,0.14219,0.18842
1997,30-45 y.,In my current field/ field I was trained in,0.05792,245,749,0.04118,0.07466
1997,30-45 y.,Do something new,0.03674,122,749,0.02326,0.05022
1997,30-45 y.,Does not matter,0.06039,308,749,0.04332,0.07746
1997,30-45 y.,Does not apply/do not (yet) have a job,0.01200,74,749,0.00419,0.01980
1997,46-65 y.,In my current field/ field I was trained in,0.02870,106,371,0.01168,0.04571
1997,46-65 y.,Do something new,0.01304,47,371,0.00148,0.02460
1997,46-65 y.,Does not matter,0.04138,183,371,0.02108,0.06167
1997,46-65 y.,Does not apply/do not (yet) have a job,0.00657,35,371,-0.00166,0.01480
1998,17-29 y.,In my current field/ field I was trained in,0.06455,208,1031,0.04954,0.07955
1998,17-29 y.,Do something new,0.03175,97,1031,0.02104,0.04246
1998,17-29 y.,Does not matter,0.04599,144,1031,0.03320,0.05879
1998,17-29 y.,Does not apply/do not (yet) have a job,0.18540,582,1031,0.16167,0.20914
1998,30-45 y.,In my current field/ field I was trained in,0.06131,293,805,0.04472,0.07789
1998,30-45 y.,Do something new,0.03026,129,805,0.01842,0.04210
1998,30-45 y.,Does not matter,0.05991,323,805,0.04350,0.07631
1998,30-45 y.,Does not apply/do not (yet) have a job,0.01025,60,805,0.00329,0.01721
1998,46-65 y.,In my current field/ field I was trained in,0.02820,130,377,0.01147,0.04493
1998,46-65 y.,Do something new,0.01078,45,377,0.00034,0.02122
1998,46-65 y.,Does not matter,0.03382,167,377,0.01555,0.05210
1998,46-65 y.,Does not apply/do not (yet) have a job,0.00641,35,377,-0.00166,0.01448
1999,17-29 y.,In my current field/ field I was trained in,0.05291,169,939,0.03859,0.06724
1999,17-29 y.,Do something new,0.03528,92,939,0.02347,0.04708
1999,17-29 y.,Does not matter,0.04361,133,939,0.03054,0.05668
1999,17-29 y.,Does not apply/do not (yet) have a job,0.18585,545,939,0.16095,0.21074
1999,30-45 y.,In my current field/ field I was trained in,0.05440,241,684,0.03739,0.07141
1999,30-45 y.,Do something new,0.02492,110,684,0.01323,0.03661
1999,30-45 y.,Does not matter,0.05418,283,684,0.03720,0.07116
1999,30-45 y.,Does not apply/do not (yet) have a job,0.00935,50,684,0.00213,0.01657
1999,46-65 y.,In my current field/ field I was trained in,0.01704,83,273,0.00166,0.03242
1999,46-65 y.,Do something new,0.00750,37,273,-0.00275,0.01775
1999,46-65 y.,Does not matter,0.03366,153,273,0.01223,0.05510
2000,17-29 y.,In my current field/ field I was trained in,0.06402,307,1543,0.05180,0.07624
2000,17-29 y.,Do something new,0.03565,155,1543,0.02639,0.04490
2000,17-29 y.,Does not matter,0.03638,183,1543,0.02704,0.04573
2000,17-29 y.,Does not apply/do not (yet) have a job,0.18276,898,1543,0.16347,0.20205
2000,30-45 y.,In my current field/ field I was trained in,0.05402,474,1273,0.04159,0.06644
2000,30-45 y.,Do something new,0.02738,224,1273,0.01842,0.03635
2000,30-45 y.,Does not matter,0.05002,466,1273,0.03804,0.06200
2000,30-45 y.,Does not apply/do not (yet) have a job,0.01183,109,1273,0.00589,0.01777
2000,46-65 y.,In my current field/ field I was trained in,0.01889,164,550,0.00751,0.03028
2000,46-65 y.,Do something new,0.01014,85,550,0.00176,0.01851
2000,46-65 y.,Does not matter,0.02893,253,550,0.01491,0.04295
2000,46-65 y.,Does not apply/do not (yet) have a job,0.00649,48,550,-0.00023,0.01320
2001,17-29 y.,In my current field/ field I was trained in,0.06028,254,1403,0.04782,0.07274
2001,17-29 y.,Do something new,0.03028,125,1403,0.02131,0.03925
2001,17-29 y.,Does not matter,0.03875,165,1403,0.02865,0.04885
2001,17-29 y.,Does not apply/do not (yet) have a job,0.19189,859,1403,0.17128,0.21251
2001,30-45 y.,In my current field/ field I was trained in,0.05584,420,1093,0.04222,0.06946
2001,30-45 y.,Do something new,0.02720,202,1093,0.01755,0.03685
