year,age_gr,bula_h,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Lower Saxony,Does not apply/do not (yet) have a job,0.12268,33,33,0.00901,0.23635
1994,17-29 y.,North Rhine-Westphalia,In my current field/ field I was trained in,0.10023,62,177,0.05586,0.14459
1994,17-29 y.,North Rhine-Westphalia,Does not apply/do not (yet) have a job,0.18365,115,177,0.12645,0.24085
1994,17-29 y.,Hesse,Does not apply/do not (yet) have a job,0.14153,36,36,0.02605,0.25701
1994,17-29 y.,Baden-Wuerttemberg,In my current field/ field I was trained in,0.09357,39,122,0.04168,0.14547
1994,17-29 y.,Baden-Wuerttemberg,Does not apply/do not (yet) have a job,0.15497,83,122,0.09049,0.21945
1994,17-29 y.,Bavaria,In my current field/ field I was trained in,0.09839,44,76,0.03098,0.16580
1994,17-29 y.,Bavaria,Does not apply/do not (yet) have a job,0.10528,32,76,0.03582,0.17475
1994,17-29 y.,Saxony,Does not apply/do not (yet) have a job,0.12540,35,35,0.01408,0.23671
1994,30-45 y.,North Rhine-Westphalia,In my current field/ field I was trained in,0.08340,67,107,0.03077,0.13604
1994,30-45 y.,North Rhine-Westphalia,Does not matter,0.04098,40,107,0.00324,0.07872
1994,30-45 y.,Baden-Wuerttemberg,In my current field/ field I was trained in,0.05963,31,31,-0.02511,0.14436
1994,30-45 y.,Bavaria,In my current field/ field I was trained in,0.08077,39,39,-0.00587,0.16740
1994,30-45 y.,Saxony,In my current field/ field I was trained in,0.09530,33,33,-0.00644,0.19704
1994,46-65 y.,Saxony,Does not matter,0.08406,34,34,-0.01061,0.17873
1996,17-29 y.,Lower Saxony,Does not apply/do not (yet) have a job,0.15565,34,34,0.03196,0.27933
1996,17-29 y.,North Rhine-Westphalia,In my current field/ field I was trained in,0.08803,53,170,0.04531,0.13075
1996,17-29 y.,North Rhine-Westphalia,Does not apply/do not (yet) have a job,0.17873,117,170,0.12097,0.23650
1996,17-29 y.,Hesse,Does not apply/do not (yet) have a job,0.19544,36,36,0.06407,0.32681
1996,17-29 y.,Baden-Wuerttemberg,In my current field/ field I was trained in,0.09118,31,112,0.03763,0.14474
1996,17-29 y.,Baden-Wuerttemberg,Does not apply/do not (yet) have a job,0.15032,81,112,0.08384,0.21681
1996,17-29 y.,Bavaria,In my current field/ field I was trained in,0.07916,32,86,0.02176,0.13655
1996,17-29 y.,Bavaria,Does not apply/do not (yet) have a job,0.15558,54,86,0.07853,0.23264
