year,bula_h,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,In my current field/ field I was trained in,0.04379,52,91,0.00151,0.08607
1994,Lower Saxony,Does not apply/do not (yet) have a job,0.02514,39,91,-0.00720,0.05748
1994,North Rhine-Westphalia,In my current field/ field I was trained in,0.04203,139,399,0.02232,0.06175
1994,North Rhine-Westphalia,Do something new,0.01367,50,399,0.00226,0.02508
1994,North Rhine-Westphalia,Does not matter,0.01813,76,399,0.00502,0.03124
1994,North Rhine-Westphalia,Does not apply/do not (yet) have a job,0.03374,134,399,0.01600,0.05148
1994,Hesse,In my current field/ field I was trained in,0.03459,38,115,0.00104,0.06814
1994,Hesse,Does not matter,0.02498,31,115,-0.00367,0.05363
1994,Hesse,Does not apply/do not (yet) have a job,0.03191,46,115,-0.00035,0.06418
1994,"Rhineland-Palatinate, Saarland",Does not apply/do not (yet) have a job,0.03487,33,33,-0.02869,0.09844
1994,Baden-Wuerttemberg,In my current field/ field I was trained in,0.03640,78,278,0.01434,0.05845
1994,Baden-Wuerttemberg,Do something new,0.01201,33,278,-0.00082,0.02483
1994,Baden-Wuerttemberg,Does not matter,0.02458,61,278,0.00634,0.04281
1994,Baden-Wuerttemberg,Does not apply/do not (yet) have a job,0.03566,106,278,0.01383,0.05750
1994,Bavaria,In my current field/ field I was trained in,0.04347,94,210,0.01583,0.07112
1994,Bavaria,Do something new,0.01693,31,210,-0.00056,0.03442
1994,Bavaria,Does not matter,0.01836,43,210,0.00016,0.03657
1994,Bavaria,Does not apply/do not (yet) have a job,0.02213,42,210,0.00218,0.04207
1994,Berlin,In my current field/ field I was trained in,0.04176,31,31,-0.02982,0.11334
1994,Brandenburg,Does not matter,0.03150,32,32,-0.02999,0.09298
1994,Mecklenburg-Western Pomerania,In my current field/ field I was trained in,0.06043,31,67,0.00294,0.11792
1994,Mecklenburg-Western Pomerania,Does not matter,0.07470,36,67,0.01127,0.13814
1994,Saxony,In my current field/ field I was trained in,0.05196,70,189,0.02023,0.08369
1994,Saxony,Does not matter,0.05846,83,189,0.02492,0.09200
1994,Saxony,Does not apply/do not (yet) have a job,0.02001,36,189,-0.00001,0.04002
1994,Saxony-Anhalt,Does not matter,0.06731,52,52,-0.00146,0.13607
1994,Thuringa,Does not matter,0.06896,64,64,0.00639,0.13153
1996,Lower Saxony,In my current field/ field I was trained in,0.03321,53,135,0.00287,0.06355
1996,Lower Saxony,Does not matter,0.02217,37,135,-0.00276,0.04710
1996,Lower Saxony,Does not apply/do not (yet) have a job,0.02825,45,135,0.00020,0.05631
1996,North Rhine-Westphalia,In my current field/ field I was trained in,0.03870,133,426,0.02036,0.05704
1996,North Rhine-Westphalia,Do something new,0.01808,58,426,0.00541,0.03075
1996,North Rhine-Westphalia,Does not matter,0.02669,99,426,0.01136,0.04201
1996,North Rhine-Westphalia,Does not apply/do not (yet) have a job,0.03187,136,426,0.01517,0.04857
1996,Hesse,Does not matter,0.03443,40,87,-0.00411,0.07297
1996,Hesse,Does not apply/do not (yet) have a job,0.03278,47,87,-0.00485,0.07042
