year,regtyp,rentown,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Tenant,Very Inexpensive,0.08534,282,3708,0.07635,0.09434
1984,No answer / don't know,Tenant,Inexpensive,0.26859,937,3708,0.25432,0.28286
1984,No answer / don't know,Tenant,Reasonable,0.44758,1617,3708,0.43157,0.46359
1984,No answer / don't know,Tenant,Slightly Expensive,0.15115,653,3708,0.13962,0.16268
1984,No answer / don't know,Tenant,Too Expensive,0.04734,219,3708,0.04050,0.05418
1985,Urban regions,Tenant,Very Inexpensive,0.10506,257,2869,0.09384,0.11629
1985,Urban regions,Tenant,Inexpensive,0.25069,687,2869,0.23483,0.26655
1985,Urban regions,Tenant,Reasonable,0.44533,1257,2869,0.42714,0.46352
1985,Urban regions,Tenant,Slightly Expensive,0.15630,504,2869,0.14301,0.16959
1985,Urban regions,Tenant,Too Expensive,0.04261,164,2869,0.03522,0.05000
1985,Rural regions,Tenant,Very Inexpensive,0.17816,80,485,0.14407,0.21225
1985,Rural regions,Tenant,Inexpensive,0.24603,122,485,0.20766,0.28440
1985,Rural regions,Tenant,Reasonable,0.41538,210,485,0.37148,0.45928
1985,Rural regions,Tenant,Slightly Expensive,0.13258,73,485,0.10237,0.16279
1986,Urban regions,Tenant,Very Inexpensive,0.10331,241,2707,0.09184,0.11478
1986,Urban regions,Tenant,Inexpensive,0.26580,690,2707,0.24916,0.28245
1986,Urban regions,Tenant,Reasonable,0.43874,1171,2707,0.42005,0.45744
1986,Urban regions,Tenant,Slightly Expensive,0.14421,445,2707,0.13097,0.15745
1986,Urban regions,Tenant,Too Expensive,0.04794,160,2707,0.03989,0.05599
1986,Rural regions,Tenant,Very Inexpensive,0.16403,67,443,0.12950,0.19855
1986,Rural regions,Tenant,Inexpensive,0.36705,146,443,0.32212,0.41199
1986,Rural regions,Tenant,Reasonable,0.31031,166,443,0.26718,0.35344
1986,Rural regions,Tenant,Slightly Expensive,0.12037,64,443,0.09003,0.15070
1987,Urban regions,Tenant,Very Inexpensive,0.10619,233,2646,0.09445,0.11793
1987,Urban regions,Tenant,Inexpensive,0.26530,692,2646,0.24848,0.28213
1987,Urban regions,Tenant,Reasonable,0.43970,1146,2646,0.42078,0.45861
1987,Urban regions,Tenant,Slightly Expensive,0.14429,432,2646,0.13090,0.15768
1987,Urban regions,Tenant,Too Expensive,0.04452,143,2646,0.03666,0.05238
1987,Rural regions,Tenant,Very Inexpensive,0.16993,68,453,0.13531,0.20456
1987,Rural regions,Tenant,Inexpensive,0.33771,155,453,0.29411,0.38131
1987,Rural regions,Tenant,Reasonable,0.36307,164,453,0.31874,0.40740
1987,Rural regions,Tenant,Slightly Expensive,0.10474,66,453,0.07651,0.13297
1988,Urban regions,Tenant,Very Inexpensive,0.11337,250,2533,0.10102,0.12572
1988,Urban regions,Tenant,Inexpensive,0.26940,660,2533,0.25212,0.28668
1988,Urban regions,Tenant,Reasonable,0.43157,1098,2533,0.41227,0.45086
1988,Urban regions,Tenant,Slightly Expensive,0.15186,412,2533,0.13788,0.16584
1988,Urban regions,Tenant,Too Expensive,0.03381,113,2533,0.02677,0.04085
1988,Rural regions,Tenant,Very Inexpensive,0.15523,61,432,0.12104,0.18942
1988,Rural regions,Tenant,Inexpensive,0.32332,134,432,0.27916,0.36748
1988,Rural regions,Tenant,Reasonable,0.37558,173,432,0.32986,0.42130
1988,Rural regions,Tenant,Slightly Expensive,0.11773,64,432,0.08731,0.14816
1989,Urban regions,Tenant,Very Inexpensive,0.12206,259,2468,0.10914,0.13498
1989,Urban regions,Tenant,Inexpensive,0.28603,703,2468,0.26820,0.30386
1989,Urban regions,Tenant,Reasonable,0.42087,1009,2468,0.40139,0.44035
1989,Urban regions,Tenant,Slightly Expensive,0.13231,390,2468,0.11894,0.14568
1989,Urban regions,Tenant,Too Expensive,0.03873,107,2468,0.03111,0.04634
1989,Rural regions,Tenant,Very Inexpensive,0.16200,64,423,0.12685,0.19715
1989,Rural regions,Tenant,Inexpensive,0.31389,135,423,0.26962,0.35817
1989,Rural regions,Tenant,Reasonable,0.37122,157,423,0.32512,0.41732
1989,Rural regions,Tenant,Slightly Expensive,0.13208,67,423,0.09978,0.16439
1990,Urban regions,Tenant,Very Inexpensive,0.13096,387,3038,0.11896,0.14296
1990,Urban regions,Tenant,Inexpensive,0.31260,943,3038,0.29612,0.32909
1990,Urban regions,Tenant,Reasonable,0.40951,1233,3038,0.39202,0.42700
1990,Urban regions,Tenant,Slightly Expensive,0.11911,371,3038,0.10759,0.13063
1990,Urban regions,Tenant,Too Expensive,0.02782,104,3038,0.02197,0.03367
1990,Rural regions,Tenant,Very Inexpensive,0.22527,292,1213,0.20175,0.24879
1990,Rural regions,Tenant,Inexpensive,0.32303,405,1213,0.29670,0.34936
1990,Rural regions,Tenant,Reasonable,0.36292,436,1213,0.33585,0.38999
1990,Rural regions,Tenant,Slightly Expensive,0.07302,80,1213,0.05837,0.08767
1991,Urban regions,Tenant,Very Inexpensive,0.15554,439,2986,0.14254,0.16854
1991,Urban regions,Tenant,Inexpensive,0.32413,964,2986,0.30734,0.34092
1991,Urban regions,Tenant,Reasonable,0.38771,1138,2986,0.37023,0.40518
1991,Urban regions,Tenant,Slightly Expensive,0.10864,347,2986,0.09747,0.11980
1991,Urban regions,Tenant,Too Expensive,0.02399,98,2986,0.01850,0.02948
1991,Rural regions,Tenant,Very Inexpensive,0.22433,294,1171,0.20042,0.24823
1991,Rural regions,Tenant,Inexpensive,0.38258,455,1171,0.35473,0.41043
1991,Rural regions,Tenant,Reasonable,0.30200,346,1171,0.27569,0.32831
1991,Rural regions,Tenant,Slightly Expensive,0.06857,76,1171,0.05409,0.08305
1992,Urban regions,Tenant,Very Inexpensive,0.11671,272,2891,0.10500,0.12842
1992,Urban regions,Tenant,Inexpensive,0.30583,846,2891,0.28903,0.32263
1992,Urban regions,Tenant,Reasonable,0.41831,1196,2891,0.40032,0.43629
1992,Urban regions,Tenant,Slightly Expensive,0.13510,479,2891,0.12263,0.14756
1992,Urban regions,Tenant,Too Expensive,0.02406,98,2891,0.01847,0.02965
1992,Rural regions,Tenant,Very Inexpensive,0.11306,90,1103,0.09437,0.13176
1992,Rural regions,Tenant,Inexpensive,0.24188,238,1103,0.21659,0.26716
1992,Rural regions,Tenant,Reasonable,0.42149,502,1103,0.39233,0.45064
1992,Rural regions,Tenant,Slightly Expensive,0.19900,234,1103,0.17543,0.22257
1992,Rural regions,Tenant,Too Expensive,0.02458,39,1103,0.01543,0.03372
1993,Urban regions,Tenant,Very Inexpensive,0.11243,266,2879,0.10089,0.12397
1993,Urban regions,Tenant,Inexpensive,0.30414,788,2879,0.28733,0.32094
1993,Urban regions,Tenant,Reasonable,0.41054,1168,2879,0.39257,0.42851
1993,Urban regions,Tenant,Slightly Expensive,0.13868,511,2879,0.12605,0.15130
1993,Urban regions,Tenant,Too Expensive,0.03422,146,2879,0.02758,0.04086
1993,Rural regions,Tenant,Very Inexpensive,0.08402,85,1138,0.06789,0.10014
1993,Rural regions,Tenant,Inexpensive,0.22990,215,1138,0.20544,0.25435
1993,Rural regions,Tenant,Reasonable,0.40087,458,1138,0.37238,0.42935
1993,Rural regions,Tenant,Slightly Expensive,0.22775,297,1138,0.20338,0.25213
1993,Rural regions,Tenant,Too Expensive,0.05746,83,1138,0.04394,0.07099
1994,Urban regions,Tenant,Very Inexpensive,0.11541,265,2851,0.10368,0.12714
1994,Urban regions,Tenant,Inexpensive,0.28442,755,2851,0.26786,0.30098
1994,Urban regions,Tenant,Reasonable,0.43537,1242,2851,0.41716,0.45357
1994,Urban regions,Tenant,Slightly Expensive,0.13016,472,2851,0.11781,0.14251
1994,Urban regions,Tenant,Too Expensive,0.03465,117,2851,0.02793,0.04136
1994,Rural regions,Tenant,Very Inexpensive,0.07884,81,1098,0.06289,0.09478
1994,Rural regions,Tenant,Inexpensive,0.23969,232,1098,0.21443,0.26495
1994,Rural regions,Tenant,Reasonable,0.44282,479,1098,0.41342,0.47221
1994,Rural regions,Tenant,Slightly Expensive,0.20026,259,1098,0.17658,0.22394
1994,Rural regions,Tenant,Too Expensive,0.03839,47,1098,0.02702,0.04976
1995,Urban regions,Tenant,Very Inexpensive,0.09953,254,2919,0.08867,0.11039
1995,Urban regions,Tenant,Inexpensive,0.30109,816,2919,0.28445,0.31774
1995,Urban regions,Tenant,Reasonable,0.42322,1262,2919,0.40529,0.44115
1995,Urban regions,Tenant,Slightly Expensive,0.14688,470,2919,0.13403,0.15972
1995,Urban regions,Tenant,Too Expensive,0.02928,117,2919,0.02316,0.03540
1995,Rural regions,Tenant,Very Inexpensive,0.09660,89,1162,0.07961,0.11360
1995,Rural regions,Tenant,Inexpensive,0.22884,257,1162,0.20467,0.25300
1995,Rural regions,Tenant,Reasonable,0.44440,522,1162,0.41581,0.47298
1995,Rural regions,Tenant,Slightly Expensive,0.20129,253,1162,0.17823,0.22436
1995,Rural regions,Tenant,Too Expensive,0.02887,41,1162,0.01924,0.03850
1996,Urban regions,Tenant,Very Inexpensive,0.09954,253,2882,0.08860,0.11047
1996,Urban regions,Tenant,Inexpensive,0.30064,785,2882,0.28390,0.31739
1996,Urban regions,Tenant,Reasonable,0.40743,1212,2882,0.38949,0.42537
1996,Urban regions,Tenant,Slightly Expensive,0.16725,539,2882,0.15363,0.18088
1996,Urban regions,Tenant,Too Expensive,0.02513,93,2882,0.01942,0.03085
1996,Rural regions,Tenant,Very Inexpensive,0.07448,79,1126,0.05914,0.08982
1996,Rural regions,Tenant,Inexpensive,0.23807,250,1126,0.21318,0.26295
1996,Rural regions,Tenant,Reasonable,0.47243,524,1126,0.44326,0.50160
1996,Rural regions,Tenant,Slightly Expensive,0.18015,229,1126,0.15769,0.20261
1996,Rural regions,Tenant,Too Expensive,0.03487,44,1126,0.02415,0.04559
1997,Urban regions,Tenant,Very Inexpensive,0.09451,227,2785,0.08365,0.10538
1997,Urban regions,Tenant,Inexpensive,0.25603,686,2785,0.23981,0.27224
1997,Urban regions,Tenant,Reasonable,0.43985,1240,2785,0.42141,0.45829
1997,Urban regions,Tenant,Slightly Expensive,0.18299,523,2785,0.16863,0.19736
1997,Urban regions,Tenant,Too Expensive,0.02661,109,2785,0.02064,0.03259
1997,Rural regions,Tenant,Very Inexpensive,0.09963,98,1083,0.08178,0.11748
1997,Rural regions,Tenant,Inexpensive,0.22371,227,1083,0.19888,0.24854
1997,Rural regions,Tenant,Reasonable,0.46729,510,1083,0.43756,0.49701
1997,Rural regions,Tenant,Slightly Expensive,0.17461,208,1083,0.15199,0.19723
1997,Rural regions,Tenant,Too Expensive,0.03476,40,1083,0.02384,0.04567
1998,Urban regions,Tenant,Very Inexpensive,0.08375,246,3083,0.07397,0.09353
1998,Urban regions,Tenant,Inexpensive,0.26476,785,3083,0.24919,0.28034
1998,Urban regions,Tenant,Reasonable,0.42443,1311,3083,0.40698,0.44188
1998,Urban regions,Tenant,Slightly Expensive,0.19947,640,3083,0.18536,0.21357
1998,Urban regions,Tenant,Too Expensive,0.02759,101,3083,0.02181,0.03338
1998,Rural regions,Tenant,Very Inexpensive,0.08415,86,1159,0.06816,0.10014
1998,Rural regions,Tenant,Inexpensive,0.23731,272,1159,0.21280,0.26181
1998,Rural regions,Tenant,Reasonable,0.45558,527,1159,0.42690,0.48427
1998,Rural regions,Tenant,Slightly Expensive,0.19310,231,1159,0.17037,0.21584
1998,Rural regions,Tenant,Too Expensive,0.02985,43,1159,0.02005,0.03965
1999,Urban regions,Tenant,Very Inexpensive,0.09419,241,2918,0.08359,0.10479
1999,Urban regions,Tenant,Inexpensive,0.24755,721,2918,0.23189,0.26321
1999,Urban regions,Tenant,Reasonable,0.44136,1304,2918,0.42334,0.45938
1999,Urban regions,Tenant,Slightly Expensive,0.19538,579,2918,0.18099,0.20977
1999,Urban regions,Tenant,Too Expensive,0.02152,73,2918,0.01626,0.02679
1999,Rural regions,Tenant,Very Inexpensive,0.07679,81,1126,0.06123,0.09235
1999,Rural regions,Tenant,Inexpensive,0.22905,263,1126,0.20449,0.25360
1999,Rural regions,Tenant,Reasonable,0.44115,494,1126,0.41213,0.47016
1999,Rural regions,Tenant,Slightly Expensive,0.23119,256,1126,0.20655,0.25583
1999,Rural regions,Tenant,Too Expensive,0.02183,32,1126,0.01329,0.03037
2000,Urban regions,Tenant,Very Inexpensive,0.07676,345,4834,0.06925,0.08426
2000,Urban regions,Tenant,Inexpensive,0.25843,1250,4834,0.24609,0.27077
2000,Urban regions,Tenant,Reasonable,0.44936,2174,4834,0.43534,0.46339
2000,Urban regions,Tenant,Slightly Expensive,0.18533,917,4834,0.17438,0.19629
