year,quintil_oecd_hh,regtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Very Inexpensive,0.06714,50,913,0.05089,0.08338
1984,1st Quintile,No answer / don't know,Inexpensive,0.23349,198,913,0.20603,0.26094
1984,1st Quintile,No answer / don't know,Reasonable,0.48381,420,913,0.45138,0.51625
1984,1st Quintile,No answer / don't know,Slightly Expensive,0.15459,171,913,0.13113,0.17806
1984,1st Quintile,No answer / don't know,Too Expensive,0.06097,74,913,0.04544,0.07650
1984,2nd Quintile,No answer / don't know,Very Inexpensive,0.08257,58,797,0.06345,0.10169
1984,2nd Quintile,No answer / don't know,Inexpensive,0.25129,201,797,0.22116,0.28142
1984,2nd Quintile,No answer / don't know,Reasonable,0.43890,326,797,0.40442,0.47337
1984,2nd Quintile,No answer / don't know,Slightly Expensive,0.17219,159,797,0.14596,0.19842
1984,2nd Quintile,No answer / don't know,Too Expensive,0.05505,53,797,0.03921,0.07090
1984,3rd Quintile,No answer / don't know,Very Inexpensive,0.08706,63,744,0.06679,0.10733
1984,3rd Quintile,No answer / don't know,Inexpensive,0.32157,215,744,0.28799,0.35516
1984,3rd Quintile,No answer / don't know,Reasonable,0.39791,299,744,0.36272,0.43311
1984,3rd Quintile,No answer / don't know,Slightly Expensive,0.15924,136,744,0.13293,0.18555
1984,3rd Quintile,No answer / don't know,Too Expensive,0.03422,31,744,0.02115,0.04729
1984,4th Quintile,No answer / don't know,Very Inexpensive,0.09269,54,718,0.07146,0.11391
1984,4th Quintile,No answer / don't know,Inexpensive,0.28986,191,718,0.25665,0.32307
1984,4th Quintile,No answer / don't know,Reasonable,0.43505,321,718,0.39876,0.47133
1984,4th Quintile,No answer / don't know,Slightly Expensive,0.13798,118,718,0.11274,0.16323
1984,4th Quintile,No answer / don't know,Too Expensive,0.04442,34,718,0.02934,0.05950
1984,5th Quintile,No answer / don't know,Very Inexpensive,0.10409,55,495,0.07716,0.13102
1984,5th Quintile,No answer / don't know,Inexpensive,0.25047,129,495,0.21226,0.28868
1984,5th Quintile,No answer / don't know,Reasonable,0.48524,244,495,0.44117,0.52931
1984,5th Quintile,No answer / don't know,Slightly Expensive,0.12379,67,495,0.09474,0.15283
1985,1st Quintile,Urban regions,Very Inexpensive,0.09759,48,697,0.07554,0.11963
1985,1st Quintile,Urban regions,Inexpensive,0.22453,149,697,0.19353,0.25553
1985,1st Quintile,Urban regions,Reasonable,0.44278,303,697,0.40587,0.47968
1985,1st Quintile,Urban regions,Slightly Expensive,0.18669,147,697,0.15774,0.21564
1985,1st Quintile,Urban regions,Too Expensive,0.04842,50,697,0.03247,0.06436
1985,1st Quintile,Rural regions,Inexpensive,0.26425,33,85,0.16995,0.35854
1985,1st Quintile,Rural regions,Reasonable,0.37514,52,85,0.27160,0.47868
1985,2nd Quintile,Urban regions,Very Inexpensive,0.12657,60,625,0.10048,0.15266
1985,2nd Quintile,Urban regions,Inexpensive,0.27332,169,625,0.23835,0.30828
1985,2nd Quintile,Urban regions,Reasonable,0.42538,266,625,0.38659,0.46417
1985,2nd Quintile,Urban regions,Slightly Expensive,0.12995,92,625,0.10357,0.15634
1985,2nd Quintile,Urban regions,Too Expensive,0.04478,38,625,0.02855,0.06101
1985,2nd Quintile,Rural regions,Reasonable,0.42884,49,49,0.28883,0.56885
1985,3rd Quintile,Urban regions,Very Inexpensive,0.08895,49,598,0.06611,0.11178
1985,3rd Quintile,Urban regions,Inexpensive,0.25918,139,598,0.22403,0.29433
1985,3rd Quintile,Urban regions,Reasonable,0.46160,265,598,0.42161,0.50159
1985,3rd Quintile,Urban regions,Slightly Expensive,0.14559,105,598,0.11730,0.17388
1985,3rd Quintile,Urban regions,Too Expensive,0.04468,40,598,0.02811,0.06125
1985,3rd Quintile,Rural regions,Reasonable,0.41631,37,37,0.25528,0.57734
1985,4th Quintile,Urban regions,Very Inexpensive,0.08978,49,507,0.06487,0.11469
1985,4th Quintile,Urban regions,Inexpensive,0.26469,132,507,0.22625,0.30313
1985,4th Quintile,Urban regions,Reasonable,0.43424,231,507,0.39105,0.47743
1985,4th Quintile,Urban regions,Slightly Expensive,0.16775,95,507,0.13520,0.20031
1985,4th Quintile,Rural regions,Reasonable,0.48156,40,40,0.32474,0.63838
1985,5th Quintile,Urban regions,Very Inexpensive,0.12618,51,402,0.09368,0.15868
1985,5th Quintile,Urban regions,Inexpensive,0.23061,97,402,0.18938,0.27184
1985,5th Quintile,Urban regions,Reasonable,0.46598,190,402,0.41715,0.51480
1985,5th Quintile,Urban regions,Slightly Expensive,0.14894,64,402,0.11409,0.18378
1985,5th Quintile,Rural regions,Reasonable,0.40309,32,32,0.23042,0.57577
1986,1st Quintile,Urban regions,Very Inexpensive,0.09205,44,644,0.06970,0.11439
1986,1st Quintile,Urban regions,Inexpensive,0.24516,146,644,0.21191,0.27841
1986,1st Quintile,Urban regions,Reasonable,0.40514,269,644,0.36719,0.44308
1986,1st Quintile,Urban regions,Slightly Expensive,0.19948,136,644,0.16859,0.23037
1986,1st Quintile,Urban regions,Too Expensive,0.05818,49,644,0.04008,0.07627
1986,1st Quintile,Rural regions,Inexpensive,0.34842,38,86,0.24713,0.44972
1986,1st Quintile,Rural regions,Reasonable,0.33210,48,86,0.23198,0.43223
1986,2nd Quintile,Urban regions,Very Inexpensive,0.10953,46,562,0.08368,0.13537
1986,2nd Quintile,Urban regions,Inexpensive,0.30734,161,562,0.26916,0.34552
1986,2nd Quintile,Urban regions,Reasonable,0.39870,217,562,0.35818,0.43921
1986,2nd Quintile,Urban regions,Slightly Expensive,0.14039,103,562,0.11164,0.16913
1986,2nd Quintile,Urban regions,Too Expensive,0.04405,35,562,0.02707,0.06103
1986,2nd Quintile,Rural regions,Inexpensive,0.40306,36,77,0.29278,0.51334
1986,2nd Quintile,Rural regions,Reasonable,0.30824,41,77,0.20442,0.41206
1986,3rd Quintile,Urban regions,Very Inexpensive,0.11671,60,589,0.09076,0.14266
1986,3rd Quintile,Urban regions,Inexpensive,0.26680,160,589,0.23105,0.30255
1986,3rd Quintile,Urban regions,Reasonable,0.43899,250,589,0.39888,0.47911
1986,3rd Quintile,Urban regions,Slightly Expensive,0.13274,87,589,0.10532,0.16017
1986,3rd Quintile,Urban regions,Too Expensive,0.04475,32,589,0.02804,0.06146
1986,3rd Quintile,Rural regions,Inexpensive,0.45649,37,37,0.29377,0.61920
1986,4th Quintile,Urban regions,Very Inexpensive,0.09596,52,500,0.07012,0.12180
1986,4th Quintile,Urban regions,Inexpensive,0.25374,127,500,0.21556,0.29193
1986,4th Quintile,Urban regions,Reasonable,0.49182,252,500,0.44796,0.53569
1986,4th Quintile,Urban regions,Slightly Expensive,0.11133,69,500,0.08373,0.13893
1986,4th Quintile,Rural regions,Reasonable,0.30758,31,31,0.14244,0.47273
1986,5th Quintile,Urban regions,Very Inexpensive,0.10434,39,364,0.07289,0.13579
1986,5th Quintile,Urban regions,Inexpensive,0.25788,94,364,0.21288,0.30289
1986,5th Quintile,Urban regions,Reasonable,0.47417,182,364,0.42280,0.52553
1986,5th Quintile,Urban regions,Slightly Expensive,0.12355,49,364,0.08970,0.15740
1987,1st Quintile,Urban regions,Very Inexpensive,0.09596,45,593,0.07224,0.11969
1987,1st Quintile,Urban regions,Inexpensive,0.29593,158,593,0.25916,0.33270
1987,1st Quintile,Urban regions,Reasonable,0.37143,233,593,0.33251,0.41036
1987,1st Quintile,Urban regions,Slightly Expensive,0.16144,108,593,0.13180,0.19107
1987,1st Quintile,Urban regions,Too Expensive,0.07524,49,593,0.05399,0.09649
1987,1st Quintile,Rural regions,Inexpensive,0.29752,36,77,0.19473,0.40030
1987,1st Quintile,Rural regions,Reasonable,0.36774,41,77,0.25933,0.47614
1987,2nd Quintile,Urban regions,Very Inexpensive,0.11120,48,582,0.08564,0.13677
1987,2nd Quintile,Urban regions,Inexpensive,0.26963,157,582,0.23354,0.30571
1987,2nd Quintile,Urban regions,Reasonable,0.43459,245,582,0.39428,0.47489
1987,2nd Quintile,Urban regions,Slightly Expensive,0.14385,99,582,0.11532,0.17239
1987,2nd Quintile,Urban regions,Too Expensive,0.04073,33,582,0.02466,0.05680
1987,2nd Quintile,Rural regions,Inexpensive,0.38897,47,89,0.28711,0.49083
1987,2nd Quintile,Rural regions,Reasonable,0.31331,42,89,0.21640,0.41023
1987,3rd Quintile,Urban regions,Very Inexpensive,0.11977,55,537,0.09228,0.14726
1987,3rd Quintile,Urban regions,Inexpensive,0.25023,140,537,0.21356,0.28690
1987,3rd Quintile,Urban regions,Reasonable,0.46248,248,537,0.42027,0.50469
1987,3rd Quintile,Urban regions,Slightly Expensive,0.13223,94,537,0.10356,0.16091
1987,3rd Quintile,Rural regions,Inexpensive,0.34730,35,70,0.23496,0.45964
1987,3rd Quintile,Rural regions,Reasonable,0.45801,35,70,0.34045,0.57557
1987,4th Quintile,Urban regions,Very Inexpensive,0.08576,36,492,0.06099,0.11053
1987,4th Quintile,Urban regions,Inexpensive,0.28573,146,492,0.24577,0.32569
1987,4th Quintile,Urban regions,Reasonable,0.43510,229,492,0.39125,0.47896
1987,4th Quintile,Urban regions,Slightly Expensive,0.15645,81,492,0.12432,0.18859
1987,5th Quintile,Urban regions,Very Inexpensive,0.12108,49,378,0.08815,0.15401
1987,5th Quintile,Urban regions,Inexpensive,0.21111,90,378,0.16992,0.25231
1987,5th Quintile,Urban regions,Reasonable,0.51920,190,378,0.46876,0.56964
1987,5th Quintile,Urban regions,Slightly Expensive,0.12064,49,378,0.08776,0.15351
1988,1st Quintile,Urban regions,Very Inexpensive,0.09818,44,596,0.07427,0.12209
1988,1st Quintile,Urban regions,Inexpensive,0.23085,130,596,0.19699,0.26470
1988,1st Quintile,Urban regions,Reasonable,0.44336,263,596,0.40344,0.48328
1988,1st Quintile,Urban regions,Slightly Expensive,0.18573,120,596,0.15448,0.21698
1988,1st Quintile,Urban regions,Too Expensive,0.04189,39,596,0.02579,0.05798
1988,1st Quintile,Rural regions,Inexpensive,0.32982,42,88,0.23103,0.42861
1988,1st Quintile,Rural regions,Reasonable,0.37730,46,88,0.27545,0.47916
1988,2nd Quintile,Urban regions,Very Inexpensive,0.09059,49,533,0.06620,0.11498
1988,2nd Quintile,Urban regions,Inexpensive,0.33878,166,533,0.29856,0.37900
1988,2nd Quintile,Urban regions,Reasonable,0.40147,233,533,0.35982,0.44313
1988,2nd Quintile,Urban regions,Slightly Expensive,0.12924,85,533,0.10073,0.15774
1988,2nd Quintile,Rural regions,Inexpensive,0.40498,35,72,0.29079,0.51916
1988,2nd Quintile,Rural regions,Reasonable,0.34275,37,72,0.23234,0.45315
1988,3rd Quintile,Urban regions,Very Inexpensive,0.14269,63,520,0.11260,0.17278
1988,3rd Quintile,Urban regions,Inexpensive,0.27090,144,520,0.23267,0.30914
1988,3rd Quintile,Urban regions,Reasonable,0.39455,220,520,0.35250,0.43660
1988,3rd Quintile,Urban regions,Slightly Expensive,0.15504,93,520,0.12390,0.18618
1988,3rd Quintile,Rural regions,Reasonable,0.37568,32,32,0.20520,0.54617
1988,4th Quintile,Urban regions,Very Inexpensive,0.11123,46,461,0.08250,0.13997
1988,4th Quintile,Urban regions,Inexpensive,0.24972,130,461,0.21016,0.28928
1988,4th Quintile,Urban regions,Reasonable,0.47016,220,461,0.42455,0.51577
1988,4th Quintile,Urban regions,Slightly Expensive,0.14761,65,461,0.11519,0.18002
1988,4th Quintile,Rural regions,Reasonable,0.35100,36,36,0.19288,0.50913
1988,5th Quintile,Urban regions,Very Inexpensive,0.13106,48,347,0.09550,0.16662
1988,5th Quintile,Urban regions,Inexpensive,0.25379,90,347,0.20793,0.29964
1988,5th Quintile,Urban regions,Reasonable,0.45437,160,347,0.40190,0.50683
1988,5th Quintile,Urban regions,Slightly Expensive,0.13614,49,347,0.10001,0.17228
1989,1st Quintile,Urban regions,Very Inexpensive,0.07783,37,582,0.05605,0.09962
1989,1st Quintile,Urban regions,Inexpensive,0.26631,148,582,0.23037,0.30226
1989,1st Quintile,Urban regions,Reasonable,0.42121,242,582,0.38106,0.46136
1989,1st Quintile,Urban regions,Slightly Expensive,0.16750,118,582,0.13713,0.19786
1989,1st Quintile,Urban regions,Too Expensive,0.06715,37,582,0.04679,0.08750
1989,1st Quintile,Rural regions,Reasonable,0.45959,49,49,0.31860,0.60058
1989,2nd Quintile,Urban regions,Very Inexpensive,0.14070,60,542,0.11140,0.17000
1989,2nd Quintile,Urban regions,Inexpensive,0.31438,166,542,0.27526,0.35351
1989,2nd Quintile,Urban regions,Reasonable,0.38455,222,542,0.34355,0.42554
1989,2nd Quintile,Urban regions,Slightly Expensive,0.12597,94,542,0.09801,0.15393
1989,2nd Quintile,Rural regions,Inexpensive,0.38622,38,72,0.27296,0.49947
1989,2nd Quintile,Rural regions,Reasonable,0.31629,34,72,0.20812,0.42446
1989,3rd Quintile,Urban regions,Very Inexpensive,0.11813,56,489,0.08949,0.14676
1989,3rd Quintile,Urban regions,Inexpensive,0.27017,146,489,0.23077,0.30956
1989,3rd Quintile,Urban regions,Reasonable,0.44928,210,489,0.40515,0.49341
1989,3rd Quintile,Urban regions,Slightly Expensive,0.12552,77,489,0.09613,0.15492
1989,3rd Quintile,Rural regions,Inexpensive,0.35079,32,32,0.18280,0.51879
1989,4th Quintile,Urban regions,Very Inexpensive,0.14151,57,449,0.10923,0.17378
1989,4th Quintile,Urban regions,Inexpensive,0.28867,140,449,0.24671,0.33063
1989,4th Quintile,Urban regions,Reasonable,0.42018,190,449,0.37447,0.46589
1989,4th Quintile,Urban regions,Slightly Expensive,0.12665,62,449,0.09585,0.15744
1989,4th Quintile,Rural regions,Reasonable,0.40506,33,33,0.23497,0.57515
1989,5th Quintile,Urban regions,Very Inexpensive,0.14318,49,335,0.10561,0.18074
1989,5th Quintile,Urban regions,Inexpensive,0.29416,103,335,0.24529,0.34302
1989,5th Quintile,Urban regions,Reasonable,0.43199,144,335,0.37886,0.48511
1989,5th Quintile,Urban regions,Slightly Expensive,0.10618,39,335,0.07314,0.13921
1990,1st Quintile,Urban regions,Very Inexpensive,0.18625,135,676,0.15688,0.21562
1990,1st Quintile,Urban regions,Inexpensive,0.32615,215,676,0.29078,0.36152
