year,hhtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Very Inexpensive,0.07991,80,971,0.06285,0.09698
1984,Single-person household,Inexpensive,0.25247,248,971,0.22513,0.27981
1984,Single-person household,Reasonable,0.45412,420,971,0.42279,0.48545
1984,Single-person household,Slightly Expensive,0.15799,162,971,0.13504,0.18095
1984,Single-person household,Too Expensive,0.05551,61,971,0.04110,0.06991
1984,Couple without children,Very Inexpensive,0.09502,73,806,0.07476,0.11527
1984,Couple without children,Inexpensive,0.27363,208,806,0.24283,0.30443
1984,Couple without children,Reasonable,0.46539,370,806,0.43094,0.49985
1984,Couple without children,Slightly Expensive,0.13569,124,806,0.11203,0.15935
1984,Couple without children,Too Expensive,0.03027,31,806,0.01843,0.04211
1984,Single parent,Inexpensive,0.30165,69,211,0.23957,0.36372
1984,Single parent,Reasonable,0.41259,95,211,0.34600,0.47917
1984,Single parent,Slightly Expensive,0.19650,47,211,0.14276,0.25024
1984,Couple with children,Very Inexpensive,0.09305,109,1561,0.07863,0.10746
1984,Couple with children,Inexpensive,0.29494,391,1561,0.27231,0.31757
1984,Couple with children,Reasonable,0.42400,666,1561,0.39948,0.44853
1984,Couple with children,Slightly Expensive,0.14174,295,1561,0.12443,0.15905
1984,Couple with children,Too Expensive,0.04627,100,1561,0.03585,0.05670
1984,Other Combinations,Reasonable,0.51994,37,37,0.35674,0.68314
1985,Single-person household,Very Inexpensive,0.11161,94,904,0.09107,0.13215
1985,Single-person household,Inexpensive,0.24365,214,904,0.21565,0.27165
1985,Single-person household,Reasonable,0.45686,404,904,0.42437,0.48935
1985,Single-person household,Slightly Expensive,0.15779,155,904,0.13401,0.18157
1985,Single-person household,Too Expensive,0.03009,37,904,0.01895,0.04123
1985,Couple without children,Very Inexpensive,0.12822,88,735,0.10403,0.15241
1985,Couple without children,Inexpensive,0.26333,195,735,0.23146,0.29519
1985,Couple without children,Reasonable,0.46016,352,735,0.42410,0.49622
1985,Couple without children,Slightly Expensive,0.11229,100,735,0.08945,0.13513
1985,Single parent,Inexpensive,0.20612,41,178,0.14652,0.26571
1985,Single parent,Reasonable,0.45741,93,178,0.38402,0.53081
1985,Single parent,Slightly Expensive,0.22141,44,178,0.16024,0.28258
1985,Couple with children,Very Inexpensive,0.12506,127,1384,0.10762,0.14249
1985,Couple with children,Inexpensive,0.26741,335,1384,0.24408,0.29073
1985,Couple with children,Reasonable,0.39422,573,1384,0.36846,0.41997
1985,Couple with children,Slightly Expensive,0.15870,253,1384,0.13945,0.17796
1985,Couple with children,Too Expensive,0.05462,96,1384,0.04264,0.06659
1986,Single-person household,Very Inexpensive,0.12392,95,846,0.10171,0.14614
1986,Single-person household,Inexpensive,0.26465,212,846,0.23490,0.29439
1986,Single-person household,Reasonable,0.43185,363,846,0.39845,0.46525
1986,Single-person household,Slightly Expensive,0.13856,132,846,0.11526,0.16185
1986,Single-person household,Too Expensive,0.04103,44,846,0.02765,0.05440
1986,Couple without children,Very Inexpensive,0.11179,79,714,0.08866,0.13492
1986,Couple without children,Inexpensive,0.30416,214,714,0.27039,0.33793
1986,Couple without children,Reasonable,0.42632,327,714,0.39002,0.46262
1986,Couple without children,Slightly Expensive,0.11882,94,714,0.09507,0.14257
