year,regtyp,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Very Inexpensive,0.08534,282,3708,0.07635,0.09434
1984,No answer / don't know,West,Inexpensive,0.26859,937,3708,0.25432,0.28286
1984,No answer / don't know,West,Reasonable,0.44758,1617,3708,0.43157,0.46359
1984,No answer / don't know,West,Slightly Expensive,0.15115,653,3708,0.13962,0.16268
1984,No answer / don't know,West,Too Expensive,0.04734,219,3708,0.04050,0.05418
1985,Urban regions,West,Very Inexpensive,0.10506,257,2869,0.09384,0.11629
1985,Urban regions,West,Inexpensive,0.25069,687,2869,0.23483,0.26655
1985,Urban regions,West,Reasonable,0.44533,1257,2869,0.42714,0.46352
1985,Urban regions,West,Slightly Expensive,0.15630,504,2869,0.14301,0.16959
1985,Urban regions,West,Too Expensive,0.04261,164,2869,0.03522,0.05000
1985,Rural regions,West,Very Inexpensive,0.17816,80,485,0.14407,0.21225
1985,Rural regions,West,Inexpensive,0.24603,122,485,0.20766,0.28440
1985,Rural regions,West,Reasonable,0.41538,210,485,0.37148,0.45928
1985,Rural regions,West,Slightly Expensive,0.13258,73,485,0.10237,0.16279
1986,Urban regions,West,Very Inexpensive,0.10331,241,2707,0.09184,0.11478
1986,Urban regions,West,Inexpensive,0.26580,690,2707,0.24916,0.28245
1986,Urban regions,West,Reasonable,0.43874,1171,2707,0.42005,0.45744
1986,Urban regions,West,Slightly Expensive,0.14421,445,2707,0.13097,0.15745
1986,Urban regions,West,Too Expensive,0.04794,160,2707,0.03989,0.05599
1986,Rural regions,West,Very Inexpensive,0.16403,67,443,0.12950,0.19855
1986,Rural regions,West,Inexpensive,0.36705,146,443,0.32212,0.41199
1986,Rural regions,West,Reasonable,0.31031,166,443,0.26718,0.35344
1986,Rural regions,West,Slightly Expensive,0.12037,64,443,0.09003,0.15070
1987,Urban regions,West,Very Inexpensive,0.10619,233,2646,0.09445,0.11793
1987,Urban regions,West,Inexpensive,0.26530,692,2646,0.24848,0.28213
1987,Urban regions,West,Reasonable,0.43970,1146,2646,0.42078,0.45861
1987,Urban regions,West,Slightly Expensive,0.14429,432,2646,0.13090,0.15768
1987,Urban regions,West,Too Expensive,0.04452,143,2646,0.03666,0.05238
1987,Rural regions,West,Very Inexpensive,0.16993,68,453,0.13531,0.20456
1987,Rural regions,West,Inexpensive,0.33771,155,453,0.29411,0.38131
1987,Rural regions,West,Reasonable,0.36307,164,453,0.31874,0.40740
1987,Rural regions,West,Slightly Expensive,0.10474,66,453,0.07651,0.13297
1988,Urban regions,West,Very Inexpensive,0.11337,250,2533,0.10102,0.12572
1988,Urban regions,West,Inexpensive,0.26940,660,2533,0.25212,0.28668
1988,Urban regions,West,Reasonable,0.43157,1098,2533,0.41227,0.45086
1988,Urban regions,West,Slightly Expensive,0.15186,412,2533,0.13788,0.16584
1988,Urban regions,West,Too Expensive,0.03381,113,2533,0.02677,0.04085
1988,Rural regions,West,Very Inexpensive,0.15523,61,432,0.12104,0.18942
1988,Rural regions,West,Inexpensive,0.32332,134,432,0.27916,0.36748
1988,Rural regions,West,Reasonable,0.37558,173,432,0.32986,0.42130
1988,Rural regions,West,Slightly Expensive,0.11773,64,432,0.08731,0.14816
1989,Urban regions,West,Very Inexpensive,0.12206,259,2468,0.10914,0.13498
1989,Urban regions,West,Inexpensive,0.28603,703,2468,0.26820,0.30386
1989,Urban regions,West,Reasonable,0.42087,1009,2468,0.40139,0.44035
1989,Urban regions,West,Slightly Expensive,0.13231,390,2468,0.11894,0.14568
1989,Urban regions,West,Too Expensive,0.03873,107,2468,0.03111,0.04634
1989,Rural regions,West,Very Inexpensive,0.16200,64,423,0.12685,0.19715
1989,Rural regions,West,Inexpensive,0.31389,135,423,0.26962,0.35817
1989,Rural regions,West,Reasonable,0.37122,157,423,0.32512,0.41732
1989,Rural regions,West,Slightly Expensive,0.13208,67,423,0.09978,0.16439
1990,Urban regions,West,Very Inexpensive,0.12040,253,2381,0.10732,0.13347
1990,Urban regions,West,Inexpensive,0.31186,737,2381,0.29325,0.33048
1990,Urban regions,West,Reasonable,0.41014,958,2381,0.39038,0.42990
1990,Urban regions,West,Slightly Expensive,0.12619,332,2381,0.11285,0.13953
1990,Urban regions,West,Too Expensive,0.03141,101,2381,0.02440,0.03842
1990,Urban regions,East,Very Inexpensive,0.19730,134,654,0.16678,0.22782
1990,Urban regions,East,Inexpensive,0.31724,206,654,0.28155,0.35294
1990,Urban regions,East,Reasonable,0.40556,275,654,0.36790,0.44322
1990,Urban regions,East,Slightly Expensive,0.07460,39,654,0.05445,0.09476
1990,Rural regions,West,Very Inexpensive,0.19942,83,423,0.16130,0.23754
1990,Rural regions,West,Inexpensive,0.30932,136,423,0.26522,0.35342
1990,Rural regions,West,Reasonable,0.36792,157,423,0.32191,0.41393
1990,Rural regions,West,Slightly Expensive,0.09996,47,423,0.07134,0.12858
1990,Rural regions,East,Very Inexpensive,0.25326,209,790,0.22292,0.28361
1990,Rural regions,East,Inexpensive,0.33788,269,790,0.30488,0.37089
1990,Rural regions,East,Reasonable,0.35751,279,790,0.32406,0.39095
1990,Rural regions,East,Slightly Expensive,0.04384,33,790,0.02955,0.05812
1991,Urban regions,West,Very Inexpensive,0.14510,302,2418,0.13106,0.15914
1991,Urban regions,West,Inexpensive,0.31311,745,2418,0.29462,0.33160
1991,Urban regions,West,Reasonable,0.39639,951,2418,0.37689,0.41589
1991,Urban regions,West,Slightly Expensive,0.11863,326,2418,0.10574,0.13152
1991,Urban regions,West,Too Expensive,0.02677,94,2418,0.02034,0.03321
1991,Urban regions,East,Very Inexpensive,0.22723,137,543,0.19195,0.26250
