year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,,,,,,,,,,,,
2005,,,,,,,,,,,,
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,,,,,,,,,,,,
2010,,,,,,,,,,,,
2011,,,,,,,,,,,,
2012,,,,,,,,,,,,
2013,,,,,,,,,,,,
2014,,,,,,,,,,,,
2015,,,,,,,,,,,,
2016,,,,,,,,,,,,
2017,3.42573,3.36448,3.48697,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,3.00000,8321.00000
2018,3.54061,3.48554,3.59569,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,4.00000,10068.00000
2019,,,,,,,,,,,,
2020,3.56243,3.50501,3.61986,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,4.00000,9031.00000
2021,,,,,,,,,,,,
2022,4.15164,4.09847,4.20481,2.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000,10622.00000
