year,age_gr,sex,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,male,"Yes, somewhat limited",0.08288,153,1775,0.07005,0.09571
2012,17-29 y.,male,"No, not limited at all",0.89710,1622,1775,0.88296,0.91124
2012,17-29 y.,female,"Yes, strongly limited",0.01408,39,2089,0.00902,0.01913
2012,17-29 y.,female,"Yes, somewhat limited",0.13777,295,2089,0.12298,0.15255
2012,17-29 y.,female,"No, not limited at all",0.84815,1755,2089,0.83276,0.86355
2012,30-45 y.,male,"Yes, strongly limited",0.03604,134,3701,0.03003,0.04205
2012,30-45 y.,male,"Yes, somewhat limited",0.16810,579,3701,0.15605,0.18015
2012,30-45 y.,male,"No, not limited at all",0.79586,2988,3701,0.78287,0.80885
2012,30-45 y.,female,"Yes, strongly limited",0.03726,206,5213,0.03212,0.04240
2012,30-45 y.,female,"Yes, somewhat limited",0.20323,1001,5213,0.19231,0.21416
2012,30-45 y.,female,"No, not limited at all",0.75951,4006,5213,0.74790,0.77111
2012,46-65 y.,male,"Yes, strongly limited",0.11104,446,4258,0.10160,0.12048
2012,46-65 y.,male,"Yes, somewhat limited",0.28554,1142,4258,0.27197,0.29911
2012,46-65 y.,male,"No, not limited at all",0.60342,2670,4258,0.58873,0.61812
2012,46-65 y.,female,"Yes, strongly limited",0.11533,525,4857,0.10634,0.12431
2012,46-65 y.,female,"Yes, somewhat limited",0.31819,1488,4857,0.30509,0.33129
2012,46-65 y.,female,"No, not limited at all",0.56649,2844,4857,0.55255,0.58043
2012,66 and older,male,"Yes, strongly limited",0.20613,494,2483,0.19022,0.22205
2012,66 and older,male,"Yes, somewhat limited",0.39771,954,2483,0.37845,0.41696
2012,66 and older,male,"No, not limited at all",0.39616,1035,2483,0.37692,0.41540
2012,66 and older,female,"Yes, strongly limited",0.25405,632,2619,0.23737,0.27072
2012,66 and older,female,"Yes, somewhat limited",0.41043,1061,2619,0.39158,0.42927
2012,66 and older,female,"No, not limited at all",0.33552,926,2619,0.31744,0.35361
2013,17-29 y.,male,"Yes, strongly limited",0.01615,31,2339,0.01104,0.02126
2013,17-29 y.,male,"Yes, somewhat limited",0.07040,192,2339,0.06003,0.08077
2013,17-29 y.,male,"No, not limited at all",0.91344,2116,2339,0.90205,0.92484
2013,17-29 y.,female,"Yes, strongly limited",0.02130,59,2664,0.01582,0.02679
2013,17-29 y.,female,"Yes, somewhat limited",0.10930,304,2664,0.09745,0.12115
2013,17-29 y.,female,"No, not limited at all",0.86939,2301,2664,0.85660,0.88219
2013,30-45 y.,male,"Yes, strongly limited",0.04355,162,4348,0.03748,0.04962
2013,30-45 y.,male,"Yes, somewhat limited",0.13026,609,4348,0.12025,0.14027
2013,30-45 y.,male,"No, not limited at all",0.82619,3577,4348,0.81492,0.83745
2013,30-45 y.,female,"Yes, strongly limited",0.04216,238,5970,0.03706,0.04726
2013,30-45 y.,female,"Yes, somewhat limited",0.16899,1046,5970,0.15948,0.17850
2013,30-45 y.,female,"No, not limited at all",0.78885,4686,5970,0.77850,0.79920
2013,46-65 y.,male,"Yes, strongly limited",0.11087,507,4748,0.10194,0.11980
2013,46-65 y.,male,"Yes, somewhat limited",0.25992,1158,4748,0.24744,0.27239
2013,46-65 y.,male,"No, not limited at all",0.62921,3083,4748,0.61547,0.64295
2013,46-65 y.,female,"Yes, strongly limited",0.12425,597,5313,0.11538,0.13312
2013,46-65 y.,female,"Yes, somewhat limited",0.29602,1503,5313,0.28375,0.30830
2013,46-65 y.,female,"No, not limited at all",0.57973,3213,5313,0.56646,0.59301
