year,quintil_oecd,sex,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,male,"Yes, strongly limited",0.16879,289,2035,0.15251,0.18507
2012,1st Quintile,male,"Yes, somewhat limited",0.27157,458,2035,0.25224,0.29090
2012,1st Quintile,male,"No, not limited at all",0.55964,1288,2035,0.53806,0.58121
2012,1st Quintile,female,"Yes, strongly limited",0.17198,399,3195,0.15889,0.18506
2012,1st Quintile,female,"Yes, somewhat limited",0.32273,881,3195,0.30651,0.33894
2012,1st Quintile,female,"No, not limited at all",0.50530,1915,3195,0.48796,0.52264
2012,2nd Quintile,male,"Yes, strongly limited",0.12814,234,2099,0.11384,0.14244
2012,2nd Quintile,male,"Yes, somewhat limited",0.25663,519,2099,0.23794,0.27531
2012,2nd Quintile,male,"No, not limited at all",0.61523,1346,2099,0.59441,0.63605
2012,2nd Quintile,female,"Yes, strongly limited",0.15157,286,2731,0.13812,0.16502
2012,2nd Quintile,female,"Yes, somewhat limited",0.31136,720,2731,0.29399,0.32873
2012,2nd Quintile,female,"No, not limited at all",0.53708,1725,2731,0.51837,0.55578
2012,3rd Quintile,male,"Yes, strongly limited",0.09983,199,2196,0.08729,0.11237
2012,3rd Quintile,male,"Yes, somewhat limited",0.26588,521,2196,0.24740,0.28436
2012,3rd Quintile,male,"No, not limited at all",0.63429,1476,2196,0.61414,0.65444
2012,3rd Quintile,female,"Yes, strongly limited",0.10057,221,2514,0.08881,0.11233
2012,3rd Quintile,female,"Yes, somewhat limited",0.27633,665,2514,0.25884,0.29381
2012,3rd Quintile,female,"No, not limited at all",0.62310,1628,2514,0.60415,0.64205
2012,4th Quintile,male,"Yes, strongly limited",0.06384,132,2240,0.05371,0.07396
2012,4th Quintile,male,"Yes, somewhat limited",0.24130,502,2240,0.22357,0.25902
2012,4th Quintile,male,"No, not limited at all",0.69486,1606,2240,0.67579,0.71394
2012,4th Quintile,female,"Yes, strongly limited",0.09535,192,2438,0.08369,0.10701
2012,4th Quintile,female,"Yes, somewhat limited",0.27591,576,2438,0.25816,0.29366
2012,4th Quintile,female,"No, not limited at all",0.62874,1670,2438,0.60956,0.64792
2012,5th Quintile,male,"Yes, strongly limited",0.05386,136,2551,0.04510,0.06262
2012,5th Quintile,male,"Yes, somewhat limited",0.20684,536,2551,0.19112,0.22256
2012,5th Quintile,male,"No, not limited at all",0.73930,1879,2551,0.72226,0.75634
2012,5th Quintile,female,"Yes, strongly limited",0.06243,135,2579,0.05309,0.07177
2012,5th Quintile,female,"Yes, somewhat limited",0.25814,629,2579,0.24125,0.27503
2012,5th Quintile,female,"No, not limited at all",0.67943,1815,2579,0.66141,0.69744
2013,1st Quintile,male,"Yes, strongly limited",0.16482,273,1977,0.14846,0.18118
2013,1st Quintile,male,"Yes, somewhat limited",0.25350,463,1977,0.23432,0.27268
2013,1st Quintile,male,"No, not limited at all",0.58168,1241,1977,0.55993,0.60343
2013,1st Quintile,female,"Yes, strongly limited",0.17678,408,3140,0.16343,0.19012
2013,1st Quintile,female,"Yes, somewhat limited",0.31213,823,3140,0.29592,0.32834
2013,1st Quintile,female,"No, not limited at all",0.51110,1909,3140,0.49361,0.52859
2013,2nd Quintile,male,"Yes, strongly limited",0.13766,242,2251,0.12342,0.15189
