year,ple0009,quintil_oecd,regtyp,proportion,n,lower_confidence,upper_confidence
2012,"Yes, strongly limited",3rd Quintile,Urban regions,0.13848920863309352,40229,0.13511381225150518,0.14186460501468187
2012,"Yes, strongly limited",2nd Quintile,Urban regions,0.13534172661870503,40229,0.1319988175778117,0.13868463565959835
2012,"Yes, strongly limited",4th Quintile,Urban regions,0.12634892086330934,40229,0.12310222782242777,0.12959561390419091
2012,"Yes, strongly limited",5th Quintile,Urban regions,0.10746402877697842,40229,0.10443759708658433,0.1104904604673725
2012,"Yes, strongly limited",1st Quintile,Urban regions,0.10611510791366907,40229,0.10310545882780936,0.10912475699952878
2012,"Yes, strongly limited",3rd Quintile,Rural regions,0.09937050359712231,40229,0.09644710333638047,0.10229390385786415
2012,"Yes, strongly limited",4th Quintile,Rural regions,0.08408273381294964,40229,0.08137086930234584,0.08679459832355345
2012,"Yes, strongly limited",2nd Quintile,Rural regions,0.07508992805755396,40229,0.07251463266238321,0.07766522345272471
2012,"Yes, strongly limited",1st Quintile,Rural regions,0.06699640287769784,40229,0.06455323193475807,0.06943957382063762
2012,"Yes, strongly limited",5th Quintile,Rural regions,0.06070143884892086,40229,0.05836804647524726,0.06303483122259446
2012,"Yes, somewhat limited",5th Quintile,Urban regions,0.1835885486018642,40229,0.1798053094898886,0.18737178771383978
2012,"Yes, somewhat limited",4th Quintile,Urban regions,0.13864846870838882,40229,0.13527144424617052,0.14202549317060711
2012,"Yes, somewhat limited",3rd Quintile,Urban regions,0.1283288948069241,40229,0.1250605715467738,0.13159721806707442
2012,"Yes, somewhat limited",2nd Quintile,Urban regions,0.0988681757656458,40229,0.0959513608175172,0.10178499071377439
2012,"Yes, somewhat limited",3rd Quintile,Rural regions,0.09304260985352863,40229,0.09020390110188303,0.09588131860517424
2012,"Yes, somewhat limited",4th Quintile,Rural regions,0.08921438082556592,40229,0.08642882434979726,0.09199993730133457
2012,"Yes, somewhat limited",5th Quintile,Rural regions,0.078728362183755,40229,0.07609660442622067,0.08136011994128932
2012,"Yes, somewhat limited",2nd Quintile,Rural regions,0.07157123834886818,40229,0.06905222765300494,0.07409024904473142
2012,"Yes, somewhat limited",1st Quintile,Urban regions,0.07040612516644475,40229,0.06790613499542618,0.07290611533746331
2012,"Yes, somewhat limited",1st Quintile,Rural regions,0.04760319573901465,40229,0.04552247655142733,0.04968391492660197
2012,"No, not limited at all",5th Quintile,Urban regions,0.21915713499296594,40229,0.21511467171826895,0.22319959826766292
2012,"No, not limited at all",4th Quintile,Urban regions,0.15737965624808856,40229,0.15382107636674883,0.16093823612942829
2012,"No, not limited at all",3rd Quintile,Urban regions,0.11401308948559545,40229,0.1109072610436695,0.1171189179275214
2012,"No, not limited at all",2nd Quintile,Urban regions,0.09731482047831672,40229,0.09441851676025531,0.10021112419637812
2012,"No, not limited at all",4th Quintile,Rural regions,0.09046424857789467,40229,0.08766117285391802,0.09326732430187133
2012,"No, not limited at all",5th Quintile,Rural regions,0.08508165637042021,40229,0.08235521860746764,0.08780809413337279
2012,"No, not limited at all",3rd Quintile,Rural regions,0.07933206923970886,40229,0.07669110602655564,0.08197303245286207
2012,"No, not limited at all",1st Quintile,Urban regions,0.0602483332313903,40229,0.057923105341515124,0.06257356112126547
2012,"No, not limited at all",2nd Quintile,Rural regions,0.058902685179521685,40229,0.05660192545368032,0.06120344490536305
2012,"No, not limited at all",1st Quintile,Rural regions,0.038106306196097624,40229,0.03623541548840857,0.03997719690378668
2013,"Yes, strongly limited",4th Quintile,Urban regions,0.13919095258808178,44486,0.13597430629726148,0.1424075988789021
2013,"Yes, strongly limited",3rd Quintile,Urban regions,0.13875598086124402,44486,0.1355435531914095,0.14196840853107853
2013,"Yes, strongly limited",5th Quintile,Urban regions,0.12222705524140931,44486,0.11918323386835011,0.1252708766144685
2013,"Yes, strongly limited",2nd Quintile,Urban regions,0.10656807307525011,44486,0.10370067041948844,0.10943547573101178
2013,"Yes, strongly limited",3rd Quintile,Rural regions,0.10265332753371031,44486,0.09983292538543838,0.10547372968198225
2013,"Yes, strongly limited",1st Quintile,Urban regions,0.1017833840800348,44486,0.09897359721456721,0.1045931709455024
2013,"Yes, strongly limited",2nd Quintile,Rural regions,0.09047411918225315,44486,0.0878084017917646,0.09313983657274169
2013,"Yes, strongly limited",4th Quintile,Rural regions,0.08960417572857764,44486,0.08695003683790602,0.09225831461924926
2013,"Yes, strongly limited",1st Quintile,Rural regions,0.055241409308394954,44486,0.05311847188812096,0.05736434672866895
2013,"Yes, strongly limited",5th Quintile,Rural regions,0.05350152240104393,44486,0.051410361633070896,0.055592683169016964
2013,"Yes, somewhat limited",5th Quintile,Urban regions,0.1864123159303882,44486,0.1827933551508887,0.1900312767098877
2013,"Yes, somewhat limited",4th Quintile,Urban regions,0.14524765729585007,44486,0.14197335245126422,0.14852196214043592
2013,"Yes, somewhat limited",3rd Quintile,Urban regions,0.1286813922356091,44486,0.12556974208418217,0.131793042387036
2013,"Yes, somewhat limited",4th Quintile,Rural regions,0.10040160642570281,44486,0.09760881142102346,0.10319440143038217
2013,"Yes, somewhat limited",3rd Quintile,Rural regions,0.09856091030789826,44486,0.09579100489507467,0.10133081572072186
2013,"Yes, somewhat limited",2nd Quintile,Urban regions,0.09153279785809906,44486,0.08885309038263589,0.09421250533356224
2013,"Yes, somewhat limited",5th Quintile,Rural regions,0.0747991967871486,44486,0.07235457960260187,0.07724381397169532
2013,"Yes, somewhat limited",2nd Quintile,Rural regions,0.06676706827309237,44486,0.06444742835457937,0.06908670819160537
2013,"Yes, somewhat limited",1st Quintile,Urban regions,0.06275100401606426,44486,0.0604973760465396,0.06500463198558892
2013,"Yes, somewhat limited",1st Quintile,Rural regions,0.04484605087014726,44486,0.042922767913722265,0.04676933382657225
2013,"No, not limited at all",5th Quintile,Urban regions,0.23237750394206622,44486,0.22845272427707472,0.2363022836070577
2013,"No, not limited at all",4th Quintile,Urban regions,0.15517140687963557,44486,0.15180679833501998,0.15853601542425116
2013,"No, not limited at all",3rd Quintile,Urban regions,0.11586754657478246,44486,0.11289325210009529,0.11884184104946963
2013,"No, not limited at all",4th Quintile,Rural regions,0.09577760906383227,44486,0.09304288182211232,0.09851233630555223
2013,"No, not limited at all",5th Quintile,Rural regions,0.08923669917654617,44486,0.08658747382349012,0.09188592452960222
2013,"No, not limited at all",2nd Quintile,Urban regions,0.08625824913858553,44486,0.08364935506310746,0.0888671432140636
2013,"No, not limited at all",3rd Quintile,Rural regions,0.07621328038311044,44486,0.07374755005270225,0.07867901071351863
2013,"No, not limited at all",2nd Quintile,Rural regions,0.061671436080126145,44486,0.05943599158077327,0.06390688057947902
2013,"No, not limited at all",1st Quintile,Urban regions,0.05553933306079542,44486,0.05341101436158619,0.05766765176000465
2013,"No, not limited at all",1st Quintile,Rural regions,0.031886935700519765,44486,0.030254207755454926,0.033519663645584605
2015,"Yes, strongly limited",4th Quintile,Urban regions,0.13797692990239574,38036,0.13451098754919052,0.14144287225560095
2015,"Yes, strongly limited",5th Quintile,Urban regions,0.129547471162378,38036,0.12617268960161848,0.1329222527231375
2015,"Yes, strongly limited",3rd Quintile,Urban regions,0.12688553682342502,38036,0.12354050461449573,0.1302305690323543
2015,"Yes, strongly limited",2nd Quintile,Urban regions,0.11845607808340727,38036,0.11520850222349137,0.12170365394332318
2015,"Yes, strongly limited",1st Quintile,Urban regions,0.1126885536823425,38036,0.10951068024856321,0.11586642711612179
2015,"Yes, strongly limited",3rd Quintile,Rural regions,0.10425909494232476,38036,0.10118790391077087,0.10733028597387864
2015,"Yes, strongly limited",4th Quintile,Rural regions,0.07630878438331855,38036,0.0736406400052986,0.0789769287613385
2015,"Yes, strongly limited",2nd Quintile,Rural regions,0.07453416149068323,38036,0.07189469268808066,0.0771736302932858
2015,"Yes, strongly limited",1st Quintile,Rural regions,0.06388642413487133,38036,0.0614287335034322,0.06634411476631047
2015,"Yes, strongly limited",5th Quintile,Rural regions,0.05545696539485359,38036,0.05315686084262401,0.05775706994708317
2015,"Yes, somewhat limited",5th Quintile,Urban regions,0.19057239057239056,38036,0.18662529493010685,0.19451948621467427
2015,"Yes, somewhat limited",4th Quintile,Urban regions,0.15471380471380472,38036,0.15107946873584868,0.15834814069176076
2015,"Yes, somewhat limited",3rd Quintile,Urban regions,0.11767676767676767,38036,0.11443846174967372,0.12091507360386163
2015,"Yes, somewhat limited",2nd Quintile,Urban regions,0.09781144781144781,38036,0.09482605040129735,0.10079684522159826
2015,"Yes, somewhat limited",3rd Quintile,Rural regions,0.08956228956228957,38036,0.08669252436374637,0.09243205476083276
2015,"Yes, somewhat limited",4th Quintile,Rural regions,0.0893939393939394,38036,0.08652660754760058,0.09226127124027822
2015,"Yes, somewhat limited",5th Quintile,Rural regions,0.0861952861952862,38036,0.08337477968179241,0.08901579270877999
2015,"Yes, somewhat limited",1st Quintile,Urban regions,0.06683501683501683,38036,0.06432521230006105,0.06934482136997261
2015,"Yes, somewhat limited",2nd Quintile,Rural regions,0.0643097643097643,38036,0.061844501865736604,0.066775026753792
2015,"Yes, somewhat limited",1st Quintile,Rural regions,0.04292929292929293,38036,0.040892215523930436,0.04496637033465542
2015,"No, not limited at all",5th Quintile,Urban regions,0.23797407003513874,38036,0.23369441911722982,0.24225372095304765
2015,"No, not limited at all",4th Quintile,Urban regions,0.16218344844299043,38036,0.15847889055839134,0.16588800632758952
2015,"No, not limited at all",3rd Quintile,Urban regions,0.11498848903429056,38036,0.11178251282414185,0.11819446524443926
2015,"No, not limited at all",5th Quintile,Rural regions,0.09838846480067855,38036,0.09539523215110107,0.10138169745025602
2015,"No, not limited at all",4th Quintile,Rural regions,0.09093662910456804,38036,0.08804711274786976,0.09382614546126632
2015,"No, not limited at all",2nd Quintile,Urban regions,0.08306070519810978,38036,0.08028721425984563,0.08583419613637393
2015,"No, not limited at all",3rd Quintile,Rural regions,0.07318550830001212,38036,0.07056812331523038,0.07580289328479387
2015,"No, not limited at all",1st Quintile,Urban regions,0.058948261238337574,38036,0.0565812468249268,0.061315275651748345
