year,sampreg,sex,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,West,male,"Yes, strongly limited",0.09348,810,9517,0.08764,0.09933
2012,West,male,"Yes, somewhat limited",0.23992,2115,9517,0.23134,0.24850
2012,West,male,"No, not limited at all",0.66660,6592,9517,0.65713,0.67607
2012,West,female,"Yes, strongly limited",0.11340,1046,11505,0.10760,0.11919
2012,West,female,"Yes, somewhat limited",0.28128,2904,11505,0.27306,0.28949
2012,West,female,"No, not limited at all",0.60533,7555,11505,0.59640,0.61426
2012,East,male,"Yes, strongly limited",0.11435,293,2729,0.10241,0.12629
2012,East,male,"Yes, somewhat limited",0.27256,713,2729,0.25585,0.28927
2012,East,male,"No, not limited at all",0.61309,1723,2729,0.59481,0.63136
2012,East,female,"Yes, strongly limited",0.13875,356,3273,0.12691,0.15060
2012,East,female,"Yes, somewhat limited",0.31503,941,3273,0.29911,0.33095
2012,East,female,"No, not limited at all",0.54622,1976,3273,0.52916,0.56328
2013,West,male,"Yes, strongly limited",0.08847,840,11105,0.08319,0.09375
2013,West,male,"Yes, somewhat limited",0.21744,2194,11105,0.20977,0.22511
2013,West,male,"No, not limited at all",0.69409,8071,11105,0.68552,0.70266
2013,West,female,"Yes, strongly limited",0.11673,1123,13202,0.11125,0.12221
2013,West,female,"Yes, somewhat limited",0.25467,2966,13202,0.24724,0.26210
2013,West,female,"No, not limited at all",0.62860,9113,13202,0.62036,0.63684
2013,East,male,"Yes, strongly limited",0.10431,267,2741,0.09286,0.11576
2013,East,male,"Yes, somewhat limited",0.25115,681,2741,0.23491,0.26738
2013,East,male,"No, not limited at all",0.64454,1793,2741,0.62662,0.66247
2013,East,female,"Yes, strongly limited",0.12739,337,3286,0.11599,0.13879
2013,East,female,"Yes, somewhat limited",0.28745,870,3286,0.27197,0.30292
2013,East,female,"No, not limited at all",0.58516,2079,3286,0.56831,0.60201
2015,West,male,"Yes, strongly limited",0.09724,749,9696,0.09134,0.10314
2015,West,male,"Yes, somewhat limited",0.21544,1941,9696,0.20725,0.22362
2015,West,male,"No, not limited at all",0.68732,7006,9696,0.67810,0.69655
2015,West,female,"Yes, strongly limited",0.11584,994,11361,0.10996,0.12173
2015,West,female,"Yes, somewhat limited",0.27003,2723,11361,0.26187,0.27820
2015,West,female,"No, not limited at all",0.61412,7644,11361,0.60517,0.62308
2015,East,male,"Yes, strongly limited",0.10331,242,2407,0.09114,0.11547
2015,East,male,"Yes, somewhat limited",0.26821,610,2407,0.25051,0.28591
2015,East,male,"No, not limited at all",0.62849,1555,2407,0.60918,0.64779
2015,East,female,"Yes, strongly limited",0.13143,313,2882,0.11909,0.14376
2015,East,female,"Yes, somewhat limited",0.30261,821,2882,0.28584,0.31939
2015,East,female,"No, not limited at all",0.56596,1748,2882,0.54786,0.58406
2019,West,male,"Yes, strongly limited",0.09017,823,11249,0.08488,0.09546
2019,West,male,"Yes, somewhat limited",0.23061,2307,11249,0.22283,0.23840
2019,West,male,"No, not limited at all",0.67922,8119,11249,0.67059,0.68784
2019,West,female,"Yes, strongly limited",0.11674,1057,11634,0.11091,0.12258
2019,West,female,"Yes, somewhat limited",0.27972,2916,11634,0.27157,0.28788
2019,West,female,"No, not limited at all",0.60353,7661,11634,0.59464,0.61242
2019,East,male,"Yes, strongly limited",0.09828,265,2878,0.08741,0.10916
2019,East,male,"Yes, somewhat limited",0.28363,728,2878,0.26716,0.30010
2019,East,male,"No, not limited at all",0.61809,1885,2878,0.60033,0.63584
2019,East,female,"Yes, strongly limited",0.11522,295,3088,0.10396,0.12648
2019,East,female,"Yes, somewhat limited",0.33541,954,3088,0.31876,0.35207
2019,East,female,"No, not limited at all",0.54937,1839,3088,0.53182,0.56692
2021,West,male,"Yes, strongly limited",0.07956,479,7593,0.07348,0.08565
2021,West,male,"Yes, somewhat limited",0.21480,1460,7593,0.20556,0.22403
2021,West,male,"No, not limited at all",0.70564,5654,7593,0.69539,0.71589
2021,West,female,"Yes, strongly limited",0.10809,666,8027,0.10130,0.11489
2021,West,female,"Yes, somewhat limited",0.26931,1921,8027,0.25961,0.27902
2021,West,female,"No, not limited at all",0.62259,5440,8027,0.61199,0.63320
2021,East,male,"Yes, strongly limited",0.08386,135,1860,0.07126,0.09646
2021,East,male,"Yes, somewhat limited",0.24245,424,1860,0.22297,0.26193
2021,East,male,"No, not limited at all",0.67368,1301,1860,0.65237,0.69500
2021,East,female,"Yes, strongly limited",0.11226,175,2034,0.09853,0.12598
2021,East,female,"Yes, somewhat limited",0.31230,602,2034,0.29216,0.33245
2021,East,female,"No, not limited at all",0.57544,1257,2034,0.55395,0.59692
