year,bula_h,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Schleswig-Holstein,"Yes, strongly limited",0.09293,92,971,0.07466,0.11120
2012,Schleswig-Holstein,"Yes, somewhat limited",0.24431,245,971,0.21727,0.27135
2012,Schleswig-Holstein,"No, not limited at all",0.48820,634,971,0.45675,0.51966
2012,Hamburg,"Yes, strongly limited",0.06121,32,435,0.03866,0.08377
2012,Hamburg,"Yes, somewhat limited",0.20323,84,435,0.16537,0.24109
2012,Hamburg,"No, not limited at all",0.59830,319,435,0.55218,0.64442
2012,Lower Saxony,"Yes, strongly limited",0.08659,216,2532,0.07563,0.09755
2012,Lower Saxony,"Yes, somewhat limited",0.23996,710,2532,0.22332,0.25660
2012,Lower Saxony,"No, not limited at all",0.49429,1606,2532,0.47481,0.51377
2012,Bremen,"Yes, somewhat limited",0.22718,40,174,0.16474,0.28962
2012,Bremen,"No, not limited at all",0.55278,134,174,0.47869,0.62688
2012,North Rhine-Westphalia,"Yes, strongly limited",0.08106,484,5401,0.07378,0.08833
2012,North Rhine-Westphalia,"Yes, somewhat limited",0.20483,1223,5401,0.19407,0.21560
2012,North Rhine-Westphalia,"No, not limited at all",0.51851,3694,5401,0.50519,0.53184
2012,Hesse,"Yes, strongly limited",0.09116,181,1871,0.07811,0.10420
2012,Hesse,"Yes, somewhat limited",0.21190,456,1871,0.19338,0.23042
2012,Hesse,"No, not limited at all",0.48562,1234,1871,0.46297,0.50828
2012,"Rhineland-Palatinate, Saarland","Yes, strongly limited",0.08667,149,1542,0.07262,0.10071
2012,"Rhineland-Palatinate, Saarland","Yes, somewhat limited",0.20258,387,1542,0.18251,0.22264
2012,"Rhineland-Palatinate, Saarland","No, not limited at all",0.52604,1006,1542,0.50111,0.55097
2012,Baden-Wuerttemberg,"Yes, strongly limited",0.07060,252,3277,0.06182,0.07937
2012,Baden-Wuerttemberg,"Yes, somewhat limited",0.19687,758,3277,0.18325,0.21049
2012,Baden-Wuerttemberg,"No, not limited at all",0.53226,2267,3277,0.51518,0.54935
2012,Bavaria,"Yes, strongly limited",0.09263,379,4244,0.08390,0.10135
2012,Bavaria,"Yes, somewhat limited",0.20464,962,4244,0.19250,0.21678
2012,Bavaria,"No, not limited at all",0.51353,2903,4244,0.49849,0.52857
2012,Berlin,"Yes, strongly limited",0.10807,103,1018,0.08899,0.12715
2012,Berlin,"Yes, somewhat limited",0.24430,264,1018,0.21789,0.27070
2012,Berlin,"No, not limited at all",0.47081,651,1018,0.44013,0.50149
2012,Brandenburg,"Yes, strongly limited",0.10715,134,1063,0.08855,0.12575
2012,Brandenburg,"Yes, somewhat limited",0.22417,289,1063,0.19909,0.24925
2012,Brandenburg,"No, not limited at all",0.49747,640,1063,0.46740,0.52754
2012,Mecklenburg-Western Pomerania,"Yes, strongly limited",0.08782,57,623,0.06558,0.11007
2012,Mecklenburg-Western Pomerania,"Yes, somewhat limited",0.29738,187,623,0.26146,0.33331
2012,Mecklenburg-Western Pomerania,"No, not limited at all",0.45996,379,623,0.42079,0.49913
2012,Saxony,"Yes, strongly limited",0.09805,170,1805,0.08433,0.11177
2012,Saxony,"Yes, somewhat limited",0.25153,502,1805,0.23151,0.27155
