year,migback,ple0009,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,"No, not limited at all",0.6492622518882839,40229,0.6445990117089311,0.6539254920676367
2012,No migration background,"Yes, somewhat limited",0.25447918496399086,40229,0.25022278459547653,0.2587355853325052
2012,No migration background,"Yes, strongly limited",0.09625856314772528,40229,0.09337633577915246,0.09914079051629811
2012,Direct migration background,"No, not limited at all",0.6937642833823049,40229,0.6892600556274842,0.6982685111371256
2012,Direct migration background,"Yes, somewhat limited",0.2220045706823376,40229,0.21794335613184507,0.2260657852328301
2012,Direct migration background,"Yes, strongly limited",0.0842311459353575,40229,0.08151710907454493,0.08694518279617006
2012,Indirect migration background,"No, not limited at all",0.7872161480235492,40229,0.7832166748959072,0.7912156211511913
2012,Indirect migration background,"Yes, somewhat limited",0.1665264928511354,40229,0.16288588400069917,0.17016710170157165
2012,Indirect migration background,"Yes, strongly limited",0.04625735912531539,40229,0.04420481515173974,0.048309903098891036
2013,No migration background,"No, not limited at all",0.6662389441363824,44486,0.661856895126179,0.6706209931465859
2013,No migration background,"Yes, somewhat limited",0.2406855781128271,44486,0.23671292860106774,0.24465822762458644
2013,No migration background,"Yes, strongly limited",0.09307547775079052,44486,0.09037557822808491,0.09577537727349612
2013,Direct migration background,"No, not limited at all",0.7442328533828766,44486,0.7401785038189825,0.7482872029467706
2013,Direct migration background,"Yes, somewhat limited",0.182690819012231,44486,0.1790999799352217,0.1862816580892403
2013,Direct migration background,"Yes, strongly limited",0.0730763276048924,44486,0.07065777946366335,0.07549487574612145
2013,Indirect migration background,"No, not limited at all",0.8330087633885103,44486,0.8295428634677638,0.8364746633092567
2013,Indirect migration background,"Yes, somewhat limited",0.13583252190847128,44486,0.13264872590189078,0.13901631791505178
2013,Indirect migration background,"Yes, strongly limited",0.0311587147030185,44486,0.02954413131984796,0.03277329808618904
2015,No migration background,"No, not limited at all",0.6468177948063005,38036,0.6420143916552369,0.6516211979573642
2015,No migration background,"Yes, somewhat limited",0.25611962537249894,38036,0.25173298903858776,0.2605062617064101
2015,No migration background,"Yes, strongly limited",0.0970625798212005,38036,0.09408739881372533,0.10003776082867569
2015,Direct migration background,"No, not limited at all",0.7532336636989753,38036,0.748900885381861,0.7575664420160896
2015,Direct migration background,"Yes, somewhat limited",0.1775575340164623,38036,0.17371709416468828,0.1813979738682363
2015,Direct migration background,"Yes, strongly limited",0.0692088022845624,38036,0.0666580666317851,0.0717595379373397
2015,Indirect migration background,"No, not limited at all",0.820737039350406,38036,0.8168822029520357,0.8245918757487762
2015,Indirect migration background,"Yes, somewhat limited",0.1405371642723298,38036,0.13704441190180452,0.14402991664285505
2015,Indirect migration background,"Yes, strongly limited",0.03872579637726421,38036,0.03678677554632087,0.040664817208207554
2019,No migration background,"No, not limited at all",0.6432806816483133,42417,0.6387218908170771,0.6478394724795495
2019,No migration background,"Yes, somewhat limited",0.263989237131895,42417,0.2597943402471967,0.26818413401659325
2019,No migration background,"Yes, strongly limited",0.09273008121979172,42417,0.0899697279110777,0.09549043452850574
2019,Direct migration background,"No, not limited at all",0.7423910063065533,42417,0.7382291895130167,0.7465528231000899
2019,Direct migration background,"Yes, somewhat limited",0.18837400603235535,42417,0.18465287847543643,0.19209513358927427
2019,Direct migration background,"Yes, strongly limited",0.0692349876610913,42417,0.06681914341452296,0.07165083190765965
2019,Indirect migration background,"No, not limited at all",0.7813299232736572,42417,0.7773962525458281,0.7852635940014864
2019,Indirect migration background,"Yes, somewhat limited",0.16687979539641945,42417,0.16333131990855593,0.17042827088428297
2019,Indirect migration background,"Yes, strongly limited",0.05179028132992328,42417,0.04968135002758576,0.053899212632260794
2021,No migration background,"No, not limited at all",0.665025376865389,27598,0.6594568242338564,0.6705939294969215
2021,No migration background,"Yes, somewhat limited",0.25119309143246726,27598,0.24607620199738728,0.25630998086754725
2021,No migration background,"Yes, strongly limited",0.08378153170214378,27598,0.08051271224040235,0.08705035116388521
2021,Direct migration background,"No, not limited at all",0.7689020992011889,27598,0.7639287289783954,0.7738754694239824
2021,Direct migration background,"Yes, somewhat limited",0.1738807356492662,27598,0.16940912094622787,0.17835235035230454
2021,Direct migration background,"Yes, strongly limited",0.05721716514954486,27598,0.05447693987378851,0.05995739042530122
2021,Indirect migration background,"No, not limited at all",0.7833511205976521,27598,0.7784907014374013,0.7882115397579029
2021,Indirect migration background,"Yes, somewhat limited",0.1718249733191035,27598,0.1673743434939114,0.17627560314429563
2021,Indirect migration background,"Yes, strongly limited",0.044823906083244394,27598,0.042382647191217364,0.047265164975271425
