year,quintil_oecd,sampreg,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,West,"Yes, strongly limited",0.16917,486,3755,0.15717,0.18116
2012,1st Quintile,West,"Yes, somewhat limited",0.29874,922,3755,0.28410,0.31338
2012,1st Quintile,West,"No, not limited at all",0.53209,2347,3755,0.51613,0.54805
2012,1st Quintile,East,"Yes, strongly limited",0.17505,202,1475,0.15565,0.19445
2012,1st Quintile,East,"Yes, somewhat limited",0.30550,417,1475,0.28198,0.32901
2012,1st Quintile,East,"No, not limited at all",0.51946,856,1475,0.49395,0.54496
2012,2nd Quintile,West,"Yes, strongly limited",0.13573,367,3594,0.12453,0.14693
2012,2nd Quintile,West,"Yes, somewhat limited",0.27496,868,3594,0.26036,0.28956
2012,2nd Quintile,West,"No, not limited at all",0.58931,2359,3594,0.57322,0.60540
2012,2nd Quintile,East,"Yes, strongly limited",0.16014,153,1236,0.13968,0.18059
2012,2nd Quintile,East,"Yes, somewhat limited",0.32908,371,1236,0.30287,0.35529
2012,2nd Quintile,East,"No, not limited at all",0.51078,712,1236,0.48290,0.53866
2012,3rd Quintile,West,"Yes, strongly limited",0.09688,289,3521,0.08711,0.10665
2012,3rd Quintile,West,"Yes, somewhat limited",0.26414,854,3521,0.24958,0.27871
2012,3rd Quintile,West,"No, not limited at all",0.63898,2378,3521,0.62311,0.65485
2012,3rd Quintile,East,"Yes, strongly limited",0.11276,131,1189,0.09477,0.13075
2012,3rd Quintile,East,"Yes, somewhat limited",0.29784,332,1189,0.27183,0.32384
2012,3rd Quintile,East,"No, not limited at all",0.58940,726,1189,0.56142,0.61737
2012,4th Quintile,West,"Yes, strongly limited",0.07479,241,3729,0.06635,0.08324
2012,4th Quintile,West,"Yes, somewhat limited",0.25411,829,3729,0.24014,0.26809
2012,4th Quintile,West,"No, not limited at all",0.67110,2659,3729,0.65601,0.68618
2012,4th Quintile,East,"Yes, strongly limited",0.10471,83,949,0.08522,0.12420
2012,4th Quintile,East,"Yes, somewhat limited",0.28219,249,949,0.25354,0.31084
2012,4th Quintile,East,"No, not limited at all",0.61310,617,949,0.58210,0.64411
2012,5th Quintile,West,"Yes, strongly limited",0.05813,230,4403,0.05121,0.06504
2012,5th Quintile,West,"Yes, somewhat limited",0.23141,1005,4403,0.21895,0.24387
2012,5th Quintile,West,"No, not limited at all",0.71046,3168,4403,0.69706,0.72386
2012,5th Quintile,East,"Yes, strongly limited",0.05566,41,727,0.03899,0.07234
