,Unnamed: 0,year,pgisced97,ple0009,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2012,Pre-primary Level,"Yes, somewhat limited",0.09992,51,26621,0.07239,0.1227
1,1,2012,Pre-primary Level,"No, not limited at all",0.90008,411,26621,0.81937,0.98245
2,2,2012,Primary Level,"Yes, strongly limited",0.23673,67,26621,0.18836,0.28463
3,3,2012,Primary Level,"Yes, somewhat limited",0.32884,102,26621,0.26396,0.38885
4,4,2012,Primary Level,"No, not limited at all",0.43442,206,26621,0.3717,0.52004
5,5,2012,Lower Secondary Level,"Yes, strongly limited",0.16452,417,26621,0.15194,0.17756
6,6,2012,Lower Secondary Level,"Yes, somewhat limited",0.30411,796,26621,0.28602,0.32196
7,7,2012,Lower Secondary Level,"No, not limited at all",0.53137,1607,26621,0.50418,0.56053
8,8,2012,Upper Secondary Level,"Yes, strongly limited",0.11934,1399,26621,0.11403,0.12505
9,9,2012,Upper Secondary Level,"Yes, somewhat limited",0.28181,3429,26621,0.27234,0.29103
10,10,2012,Upper Secondary Level,"No, not limited at all",0.59885,8394,26621,0.58547,0.61531
11,11,2012,Post-secondary Non-tertiary Level,"Yes, strongly limited",0.06393,108,26621,0.05183,0.0757
12,12,2012,Post-secondary Non-tertiary Level,"Yes, somewhat limited",0.2334,392,26621,0.2045,0.25682
13,13,2012,Post-secondary Non-tertiary Level,"No, not limited at all",0.70267,1440,26621,0.66334,0.75324
14,14,2012,First Stage of Tertiary Education,"Yes, strongly limited",0.09427,163,26621,0.08153,0.10755
15,15,2012,First Stage of Tertiary Education,"Yes, somewhat limited",0.26445,462,26621,0.24152,0.2871
16,16,2012,First Stage of Tertiary Education,"No, not limited at all",0.64128,1136,26621,0.60238,0.68691
17,17,2012,Second Stage of Tertiary Education,"Yes, strongly limited",0.06433,327,26621,0.05735,0.07157
18,18,2012,Second Stage of Tertiary Education,"Yes, somewhat limited",0.23517,1373,26621,0.22331,0.2496
19,19,2012,Second Stage of Tertiary Education,"No, not limited at all",0.7005,4341,26621,0.67213,0.72386
20,20,2013,Pre-primary Level,"Yes, somewhat limited",0.08653,53,29779,0.06113,0.10934
21,21,2013,Pre-primary Level,"No, not limited at all",0.91347,565,29779,0.82571,1.00882
22,22,2013,Primary Level,"Yes, strongly limited",0.21176,97,29779,0.17261,0.25582
23,23,2013,Primary Level,"Yes, somewhat limited",0.23827,161,29779,0.19374,0.2758
24,24,2013,Primary Level,"No, not limited at all",0.54997,370,29779,0.48524,0.63343
25,25,2013,Lower Secondary Level,"Yes, strongly limited",0.15929,441,29779,0.1471,0.17262
26,26,2013,Lower Secondary Level,"Yes, somewhat limited",0.27407,883,29779,0.25139,0.29393
27,27,2013,Lower Secondary Level,"No, not limited at all",0.56664,2352,29779,0.54315,0.59264
28,28,2013,Upper Secondary Level,"Yes, strongly limited",0.12074,1380,29779,0.11627,0.1253
29,29,2013,Upper Secondary Level,"Yes, somewhat limited",0.26042,3343,29779,0.25172,0.26834
30,30,2013,Upper Secondary Level,"No, not limited at all",0.61883,9281,29779,0.60663,0.63298
31,31,2013,Post-secondary Non-tertiary Level,"Yes, strongly limited",0.06284,140,29779,0.04717,0.07714
32,32,2013,Post-secondary Non-tertiary Level,"Yes, somewhat limited",0.18123,421,29779,0.16076,0.20599
