"ple0009","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Hamburg","1","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Niedersachsen","5","0.164855942917288","0.0649610794653543","0.264750806369221"
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Bremen","1","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Nordrhein-Westfalen","15","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Hessen","3","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","1","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Baden-Wuerttemberg","5","0.0370624830583552","-0.00627393087612921","0.0803988969928397"
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Bayern","8","0.199934180627165","0.112835422346061","0.287032938908268"
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Saarland","","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Berlin","","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Brandenburg","2","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Mecklenburg-Vorpommern","1","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Sachsen","","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja, stark eingeschraenkt","2011","(noch) kein Abschluss","Thueringen","","","",""
"Ja, stark eingeschraenkt","2011","Hauptschule","Schleswig-Holstein","27","","",""
"Ja, stark eingeschraenkt","2011","Hauptschule","Hamburg","12","","",""
"Ja, stark eingeschraenkt","2011","Hauptschule","Niedersachsen","103","","",""
"Ja, stark eingeschraenkt","2011","Hauptschule","Bremen","4","0.134717000476677","0.0182289414595632","0.25120505949379"
"Ja, stark eingeschraenkt","2011","Hauptschule","Nordrhein-Westfalen","238","","",""
"Ja, stark eingeschraenkt","2011","Hauptschule","Hessen","95","0.231210291998139","0.19074455775757","0.271676026238708"
"Ja, stark eingeschraenkt","2011","Hauptschule","Rheinland-Pfalz,Saarland","85","0.14947479720644","0.120482167761885","0.178467426650996"
"Ja, stark eingeschraenkt","2011","Hauptschule","Baden-Wuerttemberg","134","","",""
"Ja, stark eingeschraenkt","2011","Hauptschule","Bayern","185","","",""
