year,migback,sampreg,ple0009,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,West,"No, not limited at all",0.6609611199341215,40229,0.656335188813316,0.6655870510549271
2012,No migration background,West,"Yes, somewhat limited",0.2466325510264102,40229,0.2424202919372385,0.2508448101155819
2012,No migration background,West,"Yes, strongly limited",0.09240632903946827,40229,0.08957635115935073,0.09523630691958582
2012,No migration background,East,"No, not limited at all",0.614798128573904,40229,0.6100426205870892,0.6195536365607188
2012,No migration background,East,"Yes, somewhat limited",0.2775948709062554,40229,0.27321881781907165,0.28197092399343915
2012,No migration background,East,"Yes, strongly limited",0.10760700051984058,40229,0.10457879886058165,0.11063520217909951
2012,Direct migration background,West,"No, not limited at all",0.6979310344827586,40229,0.6934441409752955,0.7024179279902217
2012,Direct migration background,West,"Yes, somewhat limited",0.22137931034482758,40229,0.21732218955622443,0.22543643113343073
2012,Direct migration background,West,"Yes, strongly limited",0.08068965517241379,40229,0.07802815526054677,0.08335115508428081
2012,Direct migration background,East,"No, not limited at all",0.6196319018404908,40229,0.6148877849616732,0.6243760187193084
2012,Direct migration background,East,"Yes, somewhat limited",0.2331288343558282,40229,0.2289969738295754,0.237260694882081
2012,Direct migration background,East,"Yes, strongly limited",0.147239263803681,40229,0.14377658770385535,0.15070193990350664
2012,Indirect migration background,West,"No, not limited at all",0.7901785714285714,40229,0.7861995709022087,0.7941575719549341
2012,Indirect migration background,West,"Yes, somewhat limited",0.16428571428571428,40229,0.1606648248316589,0.16790660373976968
2012,Indirect migration background,West,"Yes, strongly limited",0.045535714285714284,40229,0.04349847345981666,0.04757295511161191
2012,Indirect migration background,East,"No, not limited at all",0.7352941176470589,40229,0.7309829114506015,0.7396053238435163
2012,Indirect migration background,East,"Yes, somewhat limited",0.20588235294117646,40229,0.2019310671948107,0.20983363868754223
2012,Indirect migration background,East,"Yes, strongly limited",0.058823529411764705,40229,0.05652421944032074,0.06112283938320867
2013,No migration background,West,"No, not limited at all",0.6778322106552358,44486,0.6734896434079399,0.6821747779025317
2013,No migration background,West,"Yes, somewhat limited",0.2323943661971831,44486,0.22846948724514285,0.23631924514922334
2013,No migration background,West,"Yes, strongly limited",0.08977342314758113,44486,0.08711702577909228,0.09242982051606999
2013,No migration background,East,"No, not limited at all",0.6316939890710382,44486,0.6272116761935441,0.6361763019485324
2013,No migration background,East,"Yes, somewhat limited",0.26539162112932607,44486,0.26128848491223106,0.2694947573464211
2013,No migration background,East,"Yes, strongly limited",0.1029143897996357,44486,0.10009081439985755,0.10573796519941385
2013,Direct migration background,West,"No, not limited at all",0.744882675986021,44486,0.7408317127208691,0.7489336392511728
2013,Direct migration background,West,"Yes, somewhat limited",0.18239307705109004,44486,0.17880451179762863,0.18598164230455144
2013,Direct migration background,West,"Yes, strongly limited",0.072724246962889,44486,0.07031107394389005,0.07513741998188794
2013,Direct migration background,East,"No, not limited at all",0.7358916478555305,44486,0.7317948701701714,0.7399884255408896
2013,Direct migration background,East,"Yes, somewhat limited",0.18510158013544017,44486,0.18149246120480253,0.18871069906607782
2013,Direct migration background,East,"Yes, strongly limited",0.07900677200902935,44486,0.07650005810409573,0.08151348591396297
2013,Indirect migration background,West,"No, not limited at all",0.8323076923076923,44486,0.8288359864877959,0.8357793981275887
2013,Indirect migration background,West,"Yes, somewhat limited",0.13692307692307693,44486,0.13372854325304454,0.14011761059310932
2013,Indirect migration background,West,"Yes, strongly limited",0.03076923076923077,44486,0.029164447793465016,0.03237401374499653
2013,Indirect migration background,East,"No, not limited at all",0.8260869565217391,44486,0.822564680772129,0.8296092322713493
2013,Indirect migration background,East,"Yes, somewhat limited",0.13043478260869565,44486,0.1273051584775362,0.1335644067398551
2013,Indirect migration background,East,"Yes, strongly limited",0.043478260869565216,44486,0.04158317934778582,0.045373342391344614
2015,No migration background,West,"No, not limited at all",0.6595850859057532,38036,0.6548229876158986,0.6643471841956077
2015,No migration background,West,"Yes, somewhat limited",0.24709488842945748,38036,0.24276017236285913,0.25142960449605584
2015,No migration background,West,"Yes, strongly limited",0.09332002566478934,38036,0.0903967276704606,0.09624332365911807
2015,No migration background,East,"No, not limited at all",0.6092339979013641,38036,0.6043304648914443,0.614137530911284
2015,No migration background,East,"Yes, somewhat limited",0.2826862539349423,38036,0.27816076430482195,0.2872117435650626
2015,No migration background,East,"Yes, strongly limited",0.1080797481636936,38036,0.10495946630178056,0.11120003002560665
2015,Direct migration background,West,"No, not limited at all",0.7525810541568556,38036,0.7482444301607638,0.7569176781529474
2015,Direct migration background,West,"Yes, somewhat limited",0.17949646803115377,38036,0.1756396705654365,0.18335326549687103
2015,Direct migration background,West,"Yes, strongly limited",0.06792247781199058,38036,0.06539381204194267,0.0704511435820385
2015,Direct migration background,East,"No, not limited at all",0.7604651162790698,38036,0.756175853191307,0.7647543793668325
2015,Direct migration background,East,"Yes, somewhat limited",0.15348837209302327,38036,0.14986583487589678,0.15711090931014976
2015,Direct migration background,East,"Yes, strongly limited",0.08604651162790698,38036,0.0832282108946623,0.08886481236115167
2015,Indirect migration background,West,"No, not limited at all",0.8234903782349038,38036,0.8196588493076086,0.827321907162199
2015,Indirect migration background,West,"Yes, somewhat limited",0.13735899137358992,38036,0.13389957968426375,0.1408184030629161
2015,Indirect migration background,West,"Yes, strongly limited",0.039150630391506305,38036,0.03720143360630581,0.0410998271767068
2015,Indirect migration background,East,"No, not limited at all",0.7849462365591398,38036,0.7808171676447748,0.7890753054735047
2015,Indirect migration background,East,"Yes, somewhat limited",0.1827956989247312,38036,0.1789114508399653,0.18667994700949708
2015,Indirect migration background,East,"Yes, strongly limited",0.03225806451612903,38036,0.03048241361735839,0.034033715414899676
2019,No migration background,West,"No, not limited at all",0.6577428878153516,42417,0.6532275482292667,0.6622582274014366
2019,No migration background,West,"Yes, somewhat limited",0.25161030595813205,42417,0.24748064679793447,0.25573996511832964
2019,No migration background,West,"Yes, strongly limited",0.09064680622651637,42417,0.08791450455036424,0.0933791079026685
2019,No migration background,East,"No, not limited at all",0.6021969399764614,42417,0.5975390478249493,0.6068548321279735
2019,No migration background,East,"Yes, somewhat limited",0.29874460572773637,42417,0.2943887424425737,0.30310046901289905
2019,No migration background,East,"Yes, strongly limited",0.09905845429580228,42417,0.09621543257721717,0.10190147601438738
2019,Direct migration background,West,"No, not limited at all",0.7413186476977207,42417,0.7371511907645408,0.7454861046309006
2019,Direct migration background,West,"Yes, somewhat limited",0.18831268165825302,42417,0.1845920192955588,0.19203334402094724
2019,Direct migration background,West,"Yes, strongly limited",0.07036867064402631,42417,0.06793461139311062,0.072802729894942
2019,Direct migration background,East,"No, not limited at all",0.7506631299734748,42417,0.7465459306654405,0.7547803292815092
2019,Direct migration background,East,"Yes, somewhat limited",0.1896551724137931,42417,0.18592436032996673,0.19338598449761946
2019,Direct migration background,East,"Yes, strongly limited",0.05968169761273209,42417,0.05742722935280513,0.06193616587265906
2019,Indirect migration background,West,"No, not limited at all",0.7830907830907831,42417,0.7791685702589735,0.7870129959225927
2019,Indirect migration background,West,"Yes, somewhat limited",0.1683991683991684,42417,0.1648378276785557,0.1719605091197811
2019,Indirect migration background,West,"Yes, strongly limited",0.04851004851004851,42417,0.046465468763983546,0.050554628256113475
2019,Indirect migration background,East,"No, not limited at all",0.7652173913043478,42417,0.7611836181199458,0.7692511644887499
2019,Indirect migration background,East,"Yes, somewhat limited",0.14782608695652175,42417,0.1444483505494494,0.1512038233635941
