,Unnamed: 0,year,quintil_oecd,ple0009,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2012,1st Quintile,"Yes, strongly limited",0.16789,694,24577,0.15673,0.18029
1,1,2012,1st Quintile,"Yes, somewhat limited",0.30155,1361,24577,0.28187,0.31965
2,2,2012,1st Quintile,"No, not limited at all",0.53056,3232,24577,0.50632,0.55354
3,3,2012,2nd Quintile,"Yes, strongly limited",0.14592,535,24577,0.1344,0.15635
4,4,2012,2nd Quintile,"Yes, somewhat limited",0.28721,1236,24577,0.27032,0.30237
5,5,2012,2nd Quintile,"No, not limited at all",0.56687,3050,24577,0.54574,0.58872
6,6,2012,3rd Quintile,"Yes, strongly limited",0.10026,409,24577,0.09415,0.10796
7,7,2012,3rd Quintile,"Yes, somewhat limited",0.26643,1188,24577,0.25092,0.2828
8,8,2012,3rd Quintile,"No, not limited at all",0.63332,3118,24577,0.60578,0.65942
9,9,2012,4th Quintile,"Yes, strongly limited",0.07585,314,24577,0.06874,0.08369
10,10,2012,4th Quintile,"Yes, somewhat limited",0.25829,1061,24577,0.24466,0.27221
11,11,2012,4th Quintile,"No, not limited at all",0.66586,3265,24577,0.63969,0.69593
12,12,2012,5th Quintile,"Yes, strongly limited",0.05885,271,24577,0.05133,0.06667
13,13,2012,5th Quintile,"Yes, somewhat limited",0.23398,1161,24577,0.21495,0.24964
14,14,2012,5th Quintile,"No, not limited at all",0.70716,3682,24577,0.68225,0.73799
15,15,2013,1st Quintile,"Yes, strongly limited",0.17403,688,25395,0.16058,0.18829
16,16,2013,1st Quintile,"Yes, somewhat limited",0.29044,1299,25395,0.27348,0.30712
17,17,2013,1st Quintile,"No, not limited at all",0.53553,3156,25395,0.51033,0.56377
18,18,2013,2nd Quintile,"Yes, strongly limited",0.14326,547,25395,0.1335,0.15399
19,19,2013,2nd Quintile,"Yes, somewhat limited",0.27575,1300,25395,0.25888,0.29509
20,20,2013,2nd Quintile,"No, not limited at all",0.58099,3300,25395,0.55744,0.60442
21,21,2013,3rd Quintile,"Yes, strongly limited",0.11046,449,25395,0.10202,0.11809
22,22,2013,3rd Quintile,"Yes, somewhat limited",0.2507,1198,25395,0.23549,0.26363
23,23,2013,3rd Quintile,"No, not limited at all",0.63885,3225,25395,0.61679,0.66519
24,24,2013,4th Quintile,"Yes, strongly limited",0.08829,347,25395,0.08084,0.09589
25,25,2013,4th Quintile,"Yes, somewhat limited",0.2397,1056,25395,0.22722,0.25568
26,26,2013,4th Quintile,"No, not limited at all",0.67202,3437,25395,0.65285,0.69738
27,27,2013,5th Quintile,"Yes, strongly limited",0.05502,267,25395,0.04929,0.06164
28,28,2013,5th Quintile,"Yes, somewhat limited",0.21538,1123,25395,0.20201,0.22957
29,29,2013,5th Quintile,"No, not limited at all",0.72959,4003,25395,0.70758,0.75737
