"ple0009","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, stark eingeschraenkt","2011","Staedtischer Raum","1240","","",""
"Ja, stark eingeschraenkt","2011","Laendlicher Raum","802","0.114373426678209","0.107099412147206","0.121647441209212"
"Ja, etwas eingeschraenkt","2011","Staedtischer Raum","2751","","",""
"Ja, etwas eingeschraenkt","2011","Laendlicher Raum","1610","","",""
"Nein, nicht eingeschraenkt","2011","Staedtischer Raum","9236","0.678239257363201","0.67027811474792","0.686200399978482"
"Nein, nicht eingeschraenkt","2011","Laendlicher Raum","4942","0.658231176463525","0.647390865907394","0.669071487019656"
"Ja, stark eingeschraenkt","2012","Staedtischer Raum","1517","","",""
"Ja, stark eingeschraenkt","2012","Laendlicher Raum","988","0.120016269445578","0.113614355797531","0.126418183093625"
"Ja, etwas eingeschraenkt","2012","Staedtischer Raum","4100","0.2603106503891","0.253738561142637","0.266882739635562"
"Ja, etwas eingeschraenkt","2012","Laendlicher Raum","2573","","",""
"Nein, nicht eingeschraenkt","2012","Staedtischer Raum","11508","","",""
"Nein, nicht eingeschraenkt","2012","Laendlicher Raum","6338","0.598271895459761","0.588614326061382","0.60792946485814"
"Ja, stark eingeschraenkt","2013","Staedtischer Raum","1620","","",""
"Ja, stark eingeschraenkt","2013","Laendlicher Raum","947","0.113485666478364","0.107391133436687","0.11958019952004"
"Ja, etwas eingeschraenkt","2013","Staedtischer Raum","4233","0.236487546908309","0.23058801522185","0.242387078594768"
"Ja, etwas eingeschraenkt","2013","Laendlicher Raum","2478","","",""
"Nein, nicht eingeschraenkt","2013","Staedtischer Raum","14076","","",""
"Nein, nicht eingeschraenkt","2013","Laendlicher Raum","6980","0.629377970921245","0.62009796117311","0.63865798066938"
"Ja, stark eingeschraenkt","2014","Staedtischer Raum","","","",""
"Ja, stark eingeschraenkt","2014","Laendlicher Raum","","","",""
"Ja, etwas eingeschraenkt","2014","Staedtischer Raum","","","",""
"Ja, etwas eingeschraenkt","2014","Laendlicher Raum","","","",""
"Nein, nicht eingeschraenkt","2014","Staedtischer Raum","","","",""
"Nein, nicht eingeschraenkt","2014","Laendlicher Raum","","","",""
"Ja, stark eingeschraenkt","2015","Staedtischer Raum","1442","","",""
"Ja, stark eingeschraenkt","2015","Laendlicher Raum","856","0.109870154885145","0.103465575527795","0.116274734242495"
"Ja, etwas eingeschraenkt","2015","Staedtischer Raum","3838","0.240417423800095","0.234028635182046","0.246806212418143"
"Ja, etwas eingeschraenkt","2015","Laendlicher Raum","2257","","",""
"Nein, nicht eingeschraenkt","2015","Staedtischer Raum","11907","","",""
"Nein, nicht eingeschraenkt","2015","Laendlicher Raum","6046","0.616788433105486","0.606831823556047","0.626745042654925"
"Ja, stark eingeschraenkt","2016","Staedtischer Raum","89","0.0449400612811225","0.0359849975659714","0.0538951249962737"
"Ja, stark eingeschraenkt","2016","Laendlicher Raum","61","0.046427742262444","0.0323651802157199","0.060490304309168"
"Ja, etwas eingeschraenkt","2016","Staedtischer Raum","334","0.139950460294126","0.124954114870792","0.154946805717461"
"Ja, etwas eingeschraenkt","2016","Laendlicher Raum","150","","",""
