,Unnamed: 0,year,pgisced97,regtyp,ple0009,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2012,Pre-primary Level,Urban regions,"Yes, somewhat limited",0.0891,33,26550,0.06209,0.1198
1,1,2012,Pre-primary Level,Urban regions,"No, not limited at all",0.9109,287,26550,0.821,1.02848
2,2,2012,Pre-primary Level,Rural regions,"No, not limited at all",1.0,124,26550,0.84576,1.1629
3,3,2012,Primary Level,Urban regions,"Yes, strongly limited",0.22326,42,26550,0.1717,0.29035
4,4,2012,Primary Level,Urban regions,"Yes, somewhat limited",0.33816,64,26550,0.26366,0.42408
5,5,2012,Primary Level,Urban regions,"No, not limited at all",0.43858,143,26550,0.35598,0.53422
6,6,2012,Primary Level,Rural regions,"Yes, somewhat limited",0.41864,38,26550,0.29257,0.5457
7,7,2012,Primary Level,Rural regions,"No, not limited at all",0.58136,63,26550,0.44759,0.76987
8,8,2012,Lower Secondary Level,Urban regions,"Yes, strongly limited",0.162,270,26550,0.14446,0.17729
9,9,2012,Lower Secondary Level,Urban regions,"Yes, somewhat limited",0.29623,489,26550,0.27151,0.314
10,10,2012,Lower Secondary Level,Urban regions,"No, not limited at all",0.54177,1033,26550,0.50889,0.57489
11,11,2012,Lower Secondary Level,Rural regions,"Yes, strongly limited",0.16943,147,26550,0.15175,0.19012
12,12,2012,Lower Secondary Level,Rural regions,"Yes, somewhat limited",0.3194,307,26550,0.2877,0.35684
13,13,2012,Lower Secondary Level,Rural regions,"No, not limited at all",0.51117,574,26550,0.46239,0.5697
14,14,2012,Upper Secondary Level,Urban regions,"Yes, strongly limited",0.11528,813,26550,0.10871,0.12215
15,15,2012,Upper Secondary Level,Urban regions,"Yes, somewhat limited",0.28154,2018,26550,0.27177,0.29443
16,16,2012,Upper Secondary Level,Urban regions,"No, not limited at all",0.60318,4963,26550,0.58445,0.62058
17,17,2012,Upper Secondary Level,Rural regions,"Yes, strongly limited",0.12647,586,26550,0.11776,0.13547
18,18,2012,Upper Secondary Level,Rural regions,"Yes, somewhat limited",0.28228,1411,26550,0.26739,0.2963
19,19,2012,Upper Secondary Level,Rural regions,"No, not limited at all",0.59125,3431,26550,0.56843,0.61124
20,20,2012,Post-secondary Non-tertiary Level,Urban regions,"Yes, strongly limited",0.06933,80,26550,0.05545,0.0813
21,21,2012,Post-secondary Non-tertiary Level,Urban regions,"Yes, somewhat limited",0.22776,272,26550,0.19885,0.25822
22,22,2012,Post-secondary Non-tertiary Level,Urban regions,"No, not limited at all",0.70292,1038,26550,0.65173,0.75614
23,23,2012,Post-secondary Non-tertiary Level,Rural regions,"Yes, somewhat limited",0.26237,120,26550,0.2108,0.32756
24,24,2012,Post-secondary Non-tertiary Level,Rural regions,"No, not limited at all",0.73763,402,26550,0.64699,0.83633
25,25,2012,First Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.09277,94,26550,0.07575,0.11026
26,26,2012,First Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.26106,272,26550,0.22893,0.28938
27,27,2012,First Stage of Tertiary Education,Urban regions,"No, not limited at all",0.64617,667,26550,0.58819,0.70656
28,28,2012,First Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.09692,69,26550,0.07813,0.12168
29,29,2012,First Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.27044,190,26550,0.23563,0.30723
30,30,2012,First Stage of Tertiary Education,Rural regions,"No, not limited at all",0.63264,469,26550,0.56582,0.71074
31,31,2012,Second Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.05707,205,26550,0.05028,0.06408
32,32,2012,Second Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.22061,920,26550,0.20415,0.23603
33,33,2012,Second Stage of Tertiary Education,Urban regions,"No, not limited at all",0.72232,3180,26550,0.69047,0.75019
34,34,2012,Second Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.08629,122,26550,0.07304,0.10131
35,35,2012,Second Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.27917,453,26550,0.25426,0.30008
36,36,2012,Second Stage of Tertiary Education,Rural regions,"No, not limited at all",0.63453,1161,26550,0.59385,0.68418
37,37,2013,Pre-primary Level,Urban regions,"Yes, somewhat limited",0.08395,39,29740,0.05915,0.11408
38,38,2013,Pre-primary Level,Urban regions,"No, not limited at all",0.91605,402,29740,0.81511,1.05127
39,39,2013,Pre-primary Level,Rural regions,"No, not limited at all",1.0,163,29740,0.82681,1.21763
40,40,2013,Primary Level,Urban regions,"Yes, strongly limited",0.22239,72,29740,0.17186,0.28857
41,41,2013,Primary Level,Urban regions,"Yes, somewhat limited",0.23177,109,29740,0.18671,0.29128
42,42,2013,Primary Level,Urban regions,"No, not limited at all",0.54584,270,29740,0.46908,0.62345
43,43,2013,Primary Level,Rural regions,"Yes, somewhat limited",0.31381,52,29740,0.22548,0.40514
44,44,2013,Primary Level,Rural regions,"No, not limited at all",0.68619,100,29740,0.50799,0.85083
45,45,2013,Lower Secondary Level,Urban regions,"Yes, strongly limited",0.15131,294,29740,0.13622,0.16772
46,46,2013,Lower Secondary Level,Urban regions,"Yes, somewhat limited",0.26874,592,29740,0.2493,0.29001
47,47,2013,Lower Secondary Level,Urban regions,"No, not limited at all",0.57995,1598,29740,0.55047,0.61099
48,48,2013,Lower Secondary Level,Rural regions,"Yes, strongly limited",0.17588,147,29740,0.15226,0.19888
49,49,2013,Lower Secondary Level,Rural regions,"Yes, somewhat limited",0.28517,291,29740,0.24894,0.32054
50,50,2013,Lower Secondary Level,Rural regions,"No, not limited at all",0.53895,754,29740,0.48646,0.58388
51,51,2013,Upper Secondary Level,Urban regions,"Yes, strongly limited",0.1193,814,29740,0.11221,0.1259
52,52,2013,Upper Secondary Level,Urban regions,"Yes, somewhat limited",0.26173,1979,29740,0.25096,0.27495
53,53,2013,Upper Secondary Level,Urban regions,"No, not limited at all",0.61897,5702,29740,0.59778,0.64026
54,54,2013,Upper Secondary Level,Rural regions,"Yes, strongly limited",0.12318,566,29740,0.11375,0.13259
55,55,2013,Upper Secondary Level,Rural regions,"Yes, somewhat limited",0.25821,1364,29740,0.24329,0.27228
56,56,2013,Upper Secondary Level,Rural regions,"No, not limited at all",0.61861,3579,29740,0.59996,0.64012
57,57,2013,Post-secondary Non-tertiary Level,Urban regions,"Yes, strongly limited",0.06489,106,29740,0.05142,0.08266
58,58,2013,Post-secondary Non-tertiary Level,Urban regions,"Yes, somewhat limited",0.18453,306,29740,0.16025,0.21079
59,59,2013,Post-secondary Non-tertiary Level,Urban regions,"No, not limited at all",0.75058,1303,29740,0.70358,0.79984
60,60,2013,Post-secondary Non-tertiary Level,Rural regions,"Yes, strongly limited",0.05638,34,29740,0.03338,0.08455
61,61,2013,Post-secondary Non-tertiary Level,Rural regions,"Yes, somewhat limited",0.17086,115,29740,0.13845,0.21456
62,62,2013,Post-secondary Non-tertiary Level,Rural regions,"No, not limited at all",0.77277,483,29740,0.69481,0.84433
63,63,2013,First Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.10306,86,29740,0.08251,0.12569
64,64,2013,First Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.2492,253,29740,0.21877,0.27689
65,65,2013,First Stage of Tertiary Education,Urban regions,"No, not limited at all",0.64774,681,29740,0.59132,0.7032
66,66,2013,First Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.07116,50,29740,0.05368,0.09227
67,67,2013,First Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.30293,195,29740,0.2562,0.34622
68,68,2013,First Stage of Tertiary Education,Rural regions,"No, not limited at all",0.62591,436,29740,0.55182,0.68305
69,69,2013,Second Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.05257,226,29740,0.04509,0.05891
70,70,2013,Second Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.19713,897,29740,0.18285,0.20982
71,71,2013,Second Stage of Tertiary Education,Urban regions,"No, not limited at all",0.7503,3843,29740,0.72134,0.78088
