year,hhtyp,quintil_oecd_hh,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,Yes,0.26903,83,332,0.22126,0.31681
1984,Single-person household,1st Quintile,No,0.73097,249,332,0.68319,0.77874
1984,Single-person household,2nd Quintile,No,0.86189,205,205,0.81454,0.90923
1984,Single-person household,3rd Quintile,No,0.97717,230,230,0.95782,0.99651
1984,Single-person household,4th Quintile,No,0.98979,235,235,0.97690,1.00267
1984,Couple without children,1st Quintile,No,0.90321,148,148,0.85542,0.95101
1984,Couple without children,2nd Quintile,No,0.97158,201,201,0.94855,0.99461
1984,Couple without children,3rd Quintile,No,0.98582,256,256,0.97130,1.00033
1984,Couple without children,4th Quintile,No,0.99629,297,297,0.98936,1.00322
1984,Couple without children,5th Quintile,No,0.99759,421,421,0.99289,1.00228
1984,Single parent,1st Quintile,Yes,0.33266,41,122,0.24870,0.41661
1984,Single parent,1st Quintile,No,0.66734,81,122,0.58339,0.75130
1984,Single parent,2nd Quintile,No,0.90321,69,69,0.83293,0.97349
1984,Single parent,3rd Quintile,No,0.93572,49,49,0.86633,1.00510
1984,Couple with children,1st Quintile,Yes,0.16376,71,533,0.13231,0.19520
1984,Couple with children,1st Quintile,No,0.83624,462,533,0.80480,0.86769
1984,Couple with children,2nd Quintile,No,0.94522,595,595,0.92691,0.96352
1984,Couple with children,3rd Quintile,No,0.98562,572,572,0.97585,0.99538
1984,Couple with children,4th Quintile,No,0.98794,536,536,0.97869,0.99719
1984,Couple with children,5th Quintile,No,0.99332,350,350,0.98477,1.00187
1984,Multi-generational household,1st Quintile,No,0.91996,31,31,0.82286,1.01706
1984,Other Combinations,4th Quintile,No,0.96716,31,31,0.90339,1.03093
1985,Single-person household,1st Quintile,Yes,0.24730,71,301,0.19848,0.29612
1985,Single-person household,1st Quintile,No,0.75270,230,301,0.70388,0.80152
1985,Single-person household,2nd Quintile,No,0.92359,185,185,0.88520,0.96197
1985,Single-person household,3rd Quintile,No,0.96065,202,202,0.93377,0.98753
1985,Single-person household,4th Quintile,No,0.98386,226,226,0.96740,1.00033
1985,Single-person household,5th Quintile,No,0.98376,192,192,0.96583,1.00169
1985,Couple without children,1st Quintile,No,0.87824,112,112,0.81741,0.93908
1985,Couple without children,2nd Quintile,No,0.97030,192,192,0.94623,0.99438
1985,Couple without children,3rd Quintile,No,0.96959,214,214,0.94653,0.99265
1985,Couple without children,4th Quintile,No,0.99265,279,279,0.98261,1.00269
1985,Couple without children,5th Quintile,No,0.99372,384,384,0.98581,1.00163
1985,Single parent,1st Quintile,Yes,0.40505,40,106,0.31116,0.49895
1985,Single parent,1st Quintile,No,0.59495,66,106,0.50105,0.68884
1985,Single parent,2nd Quintile,No,0.94252,61,61,0.88363,1.00142
1985,Single parent,3rd Quintile,No,0.92566,52,52,0.85366,0.99766
1985,Couple with children,1st Quintile,Yes,0.17147,68,482,0.13779,0.20516
1985,Couple with children,1st Quintile,No,0.82853,414,482,0.79484,0.86221
1985,Couple with children,2nd Quintile,No,0.94028,531,531,0.92011,0.96046
1985,Couple with children,3rd Quintile,No,0.97827,536,536,0.96592,0.99063
1985,Couple with children,4th Quintile,No,0.98507,451,451,0.97386,0.99627
1985,Couple with children,5th Quintile,No,0.98994,324,324,0.97906,1.00083
1986,Single-person household,1st Quintile,Yes,0.24496,63,280,0.19449,0.29542
1986,Single-person household,1st Quintile,No,0.75504,217,280,0.70458,0.80551
1986,Single-person household,2nd Quintile,No,0.91900,171,171,0.87798,0.96001
1986,Single-person household,3rd Quintile,No,0.96187,199,199,0.93520,0.98855
1986,Single-person household,4th Quintile,No,0.98884,217,217,0.97484,1.00285
1986,Single-person household,5th Quintile,No,0.98445,180,180,0.96632,1.00257
1986,Couple without children,1st Quintile,No,0.85881,125,125,0.79752,0.92010
1986,Couple without children,2nd Quintile,No,0.99502,182,182,0.98477,1.00528
1986,Couple without children,3rd Quintile,No,0.99286,204,204,0.98127,1.00444
1986,Couple without children,4th Quintile,No,0.99459,288,288,0.98611,1.00308
1986,Couple without children,5th Quintile,No,0.99269,373,373,0.98403,1.00135
