year,hhtyp,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Owner,No,0.98722,252,252,0.97332,1.00112
1984,Single-person household,Tenant,Yes,0.13399,114,1031,0.11319,0.15479
1984,Single-person household,Tenant,No,0.86601,917,1031,0.84521,0.88681
1984,Couple without children,Owner,No,0.99595,508,508,0.99041,1.00148
1984,Couple without children,Tenant,No,0.96474,816,816,0.95207,0.97740
1984,Single parent,Owner,No,0.97551,86,86,0.94264,1.00837
1984,Single parent,Tenant,Yes,0.22306,49,237,0.16995,0.27618
1984,Single parent,Tenant,No,0.77694,188,237,0.72382,0.83005
1984,Couple with children,Owner,No,0.97070,998,998,0.96024,0.98117
1984,Couple with children,Tenant,Yes,0.05997,87,1605,0.04835,0.07159
1984,Couple with children,Tenant,No,0.94003,1518,1605,0.92841,0.95165
1984,Multi-generational household,Owner,No,0.97052,68,68,0.93002,1.01102
1984,Multi-generational household,Tenant,No,0.95105,56,56,0.89403,1.00807
1984,Other Combinations,Tenant,No,0.91007,74,74,0.84445,0.97570
1985,Single-person household,Owner,No,0.97579,212,212,0.95505,0.99653
1985,Single-person household,Tenant,Yes,0.11822,92,920,0.09734,0.13909
1985,Single-person household,Tenant,No,0.88178,828,920,0.86091,0.90266
1985,Couple without children,Owner,No,0.99081,452,452,0.98200,0.99961
1985,Couple without children,Tenant,Yes,0.04256,31,761,0.02821,0.05691
1985,Couple without children,Tenant,No,0.95744,730,761,0.94309,0.97179
1985,Single parent,Owner,No,0.96230,82,82,0.92082,1.00378
1985,Single parent,Tenant,Yes,0.23569,44,207,0.17773,0.29365
1985,Single parent,Tenant,No,0.76431,163,207,0.70635,0.82227
1985,Couple with children,Owner,Yes,0.03290,35,985,0.02176,0.04405
1985,Couple with children,Owner,No,0.96710,950,985,0.95595,0.97824
1985,Couple with children,Tenant,Yes,0.06993,80,1386,0.05650,0.08336
1985,Couple with children,Tenant,No,0.93007,1306,1386,0.91664,0.94350
1985,Multi-generational household,Tenant,No,0.92865,44,44,0.85171,1.00559
1985,Other Combinations,Owner,No,0.95939,46,46,0.90172,1.01706
1985,Other Combinations,Tenant,No,0.89985,67,67,0.82742,0.97227
1986,Single-person household,Owner,No,0.99308,220,220,0.98210,1.00406
1986,Single-person household,Tenant,Yes,0.11977,87,854,0.09798,0.14156
1986,Single-person household,Tenant,No,0.88023,767,854,0.85844,0.90202
1986,Couple without children,Owner,No,0.99074,451,451,0.98189,0.99959
1986,Couple without children,Tenant,No,0.96465,721,721,0.95116,0.97814
1986,Single parent,Owner,No,0.97605,84,84,0.94316,1.00894
1986,Single parent,Tenant,Yes,0.20336,35,193,0.14642,0.26029
1986,Single parent,Tenant,No,0.79664,158,193,0.73971,0.85358
1986,Couple with children,Owner,No,0.97930,936,936,0.97017,0.98842
1986,Couple with children,Tenant,Yes,0.07899,87,1274,0.06417,0.09380
1986,Couple with children,Tenant,No,0.92101,1187,1274,0.90620,0.93583
