year,hhtyp,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,No answer / don't know,Yes,0.10588,117,1286,0.08906,0.12271
1984,Single-person household,No answer / don't know,No,0.89412,1169,1286,0.87729,0.91094
1984,Couple without children,No answer / don't know,No,0.97838,1324,1324,0.97054,0.98622
1984,Single parent,No answer / don't know,Yes,0.15581,51,325,0.11632,0.19530
1984,Single parent,No answer / don't know,No,0.84419,274,325,0.80470,0.88368
1984,Couple with children,No answer / don't know,Yes,0.04379,117,2633,0.03597,0.05160
1984,Couple with children,No answer / don't know,No,0.95621,2516,2633,0.94840,0.96403
1984,Multi-generational household,No answer / don't know,No,0.96525,124,124,0.93289,0.99762
1984,Other Combinations,No answer / don't know,No,0.95193,127,127,0.91458,0.98928
1985,Single-person household,Urban regions,Yes,0.09511,81,958,0.07652,0.11370
1985,Single-person household,Urban regions,No,0.90489,877,958,0.88630,0.92348
1985,Single-person household,Rural regions,No,0.89131,163,163,0.84337,0.93924
1985,Couple without children,Urban regions,No,0.97023,929,929,0.95929,0.98116
1985,Couple without children,Rural regions,No,0.97701,253,253,0.95851,0.99551
1985,Single parent,Urban regions,Yes,0.16707,38,232,0.11896,0.21517
1985,Single parent,Urban regions,No,0.83293,194,232,0.78483,0.88104
1985,Single parent,Rural regions,No,0.83752,51,51,0.73526,0.93977
1985,Couple with children,Urban regions,Yes,0.04759,88,1874,0.03795,0.05724
1985,Couple with children,Urban regions,No,0.95241,1786,1874,0.94276,0.96205
1985,Couple with children,Rural regions,No,0.94431,470,470,0.92356,0.96507
1985,Multi-generational household,Urban regions,No,0.96647,68,68,0.92337,1.00958
1985,Other Combinations,Urban regions,No,0.90509,89,89,0.84385,0.96633
1986,Single-person household,Urban regions,Yes,0.09328,75,910,0.07437,0.11218
1986,Single-person household,Urban regions,No,0.90672,835,910,0.88782,0.92563
1986,Single-person household,Rural regions,No,0.90205,153,153,0.85479,0.94930
