year,hhtyp,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,Yes,0.10588,117,1286,0.08906,0.12271
1984,Single-person household,West,No,0.89412,1169,1286,0.87729,0.91094
1984,Couple without children,West,No,0.97838,1324,1324,0.97054,0.98622
1984,Single parent,West,Yes,0.15581,51,325,0.11632,0.19530
1984,Single parent,West,No,0.84419,274,325,0.80470,0.88368
1984,Couple with children,West,Yes,0.04379,117,2633,0.03597,0.05160
1984,Couple with children,West,No,0.95621,2516,2633,0.94840,0.96403
1984,Multi-generational household,West,No,0.96525,124,124,0.93289,0.99762
1984,Other Combinations,West,No,0.95193,127,127,0.91458,0.98928
1985,Single-person household,West,Yes,0.09756,97,1137,0.08031,0.11482
1985,Single-person household,West,No,0.90244,1040,1137,0.88518,0.91969
1985,Couple without children,West,Yes,0.02816,35,1217,0.01886,0.03746
1985,Couple without children,West,No,0.97184,1182,1217,0.96254,0.98114
1985,Single parent,West,Yes,0.16594,47,292,0.12319,0.20868
1985,Single parent,West,No,0.83406,245,292,0.79132,0.87681
1985,Couple with children,West,Yes,0.04963,115,2371,0.04089,0.05837
1985,Couple with children,West,No,0.95037,2256,2371,0.94163,0.95911
1985,Multi-generational household,West,No,0.98279,113,113,0.95870,1.00688
1985,Other Combinations,West,No,0.92691,113,113,0.87870,0.97511
1986,Single-person household,West,Yes,0.09413,89,1077,0.07668,0.11157
1986,Single-person household,West,No,0.90587,988,1077,0.88843,0.92332
1986,Couple without children,West,No,0.97580,1172,1172,0.96699,0.98460
1986,Single parent,West,Yes,0.14146,38,280,0.10057,0.18236
1986,Single parent,West,No,0.85854,242,280,0.81764,0.89943
1986,Couple with children,West,Yes,0.04828,109,2233,0.03939,0.05717
1986,Couple with children,West,No,0.95172,2124,2233,0.94283,0.96061
1986,Multi-generational household,West,No,0.98002,113,113,0.95411,1.00594
1986,Other Combinations,West,No,0.93195,111,111,0.88489,0.97901
1987,Single-person household,West,Yes,0.09449,92,1074,0.07699,0.11199
1987,Single-person household,West,No,0.90551,982,1074,0.88801,0.92301
1987,Couple without children,West,No,0.98200,1169,1169,0.97437,0.98962
1987,Single parent,West,Yes,0.21112,56,278,0.16306,0.25918
1987,Single parent,West,No,0.78888,222,278,0.74082,0.83694
1987,Couple with children,West,Yes,0.06436,134,2187,0.05407,0.07464
1987,Couple with children,West,No,0.93564,2053,2187,0.92536,0.94593
1987,Multi-generational household,West,No,0.95664,116,116,0.91941,0.99386
1987,Other Combinations,West,No,0.93620,106,106,0.88945,0.98295
1988,Single-person household,West,Yes,0.09531,90,1035,0.07741,0.11320
1988,Single-person household,West,No,0.90469,945,1035,0.88680,0.92259
1988,Couple without children,West,No,0.97577,1139,1139,0.96684,0.98471
1988,Single parent,West,Yes,0.18910,46,275,0.14273,0.23547
1988,Single parent,West,No,0.81090,229,275,0.76453,0.85727
1988,Couple with children,West,Yes,0.07189,149,2085,0.06080,0.08298
1988,Couple with children,West,No,0.92811,1936,2085,0.91702,0.93920
1988,Multi-generational household,West,No,0.86354,92,92,0.79301,0.93407
1988,Other Combinations,West,No,0.95368,91,91,0.91025,0.99710
1989,Single-person household,West,Yes,0.08586,79,1037,0.06880,0.10292
1989,Single-person household,West,No,0.91414,958,1037,0.89708,0.93120
1989,Couple without children,West,No,0.97938,1129,1129,0.97109,0.98768
1989,Single parent,West,Yes,0.19188,43,256,0.14355,0.24021
1989,Single parent,West,No,0.80812,213,256,0.75979,0.85645
1989,Couple with children,West,Yes,0.06500,133,1994,0.05418,0.07582
1989,Couple with children,West,No,0.93500,1861,1994,0.92418,0.94582
1989,Multi-generational household,West,No,0.93796,103,103,0.89114,0.98477
1989,Other Combinations,West,No,0.92391,81,81,0.86581,0.98201
1990,Single-person household,West,Yes,0.07807,69,998,0.06142,0.09472
1990,Single-person household,West,No,0.92193,929,998,0.90528,0.93858
1990,Couple without children,West,No,0.97341,1151,1151,0.96411,0.98271
1990,Single parent,West,Yes,0.17781,41,256,0.13088,0.22475
1990,Single parent,West,No,0.82219,215,256,0.77525,0.86912
1990,Couple with children,West,Yes,0.06734,124,1945,0.05620,0.07848
1990,Couple with children,West,No,0.93266,1821,1945,0.92152,0.94380
1990,Multi-generational household,West,No,0.93153,106,106,0.88322,0.97984
1990,Other Combinations,West,No,0.90360,79,79,0.83810,0.96910
1991,Single-person household,West,Yes,0.08702,76,999,0.06953,0.10451
1991,Single-person household,West,No,0.91298,923,999,0.89549,0.93047
1991,Couple without children,West,No,0.97636,1163,1163,0.96762,0.98509
1991,Single parent,West,Yes,0.16971,44,269,0.12477,0.21465
1991,Single parent,West,No,0.83029,225,269,0.78535,0.87523
1991,Couple with children,West,Yes,0.07067,130,1940,0.05926,0.08208
1991,Couple with children,West,No,0.92933,1810,1940,0.91792,0.94074
1991,Multi-generational household,West,No,0.96777,105,105,0.93383,1.00172
1991,Other Combinations,West,No,0.89301,85,85,0.82691,0.95911
1992,Single-person household,West,Yes,0.07165,63,1004,0.05569,0.08761
1992,Single-person household,West,No,0.92835,941,1004,0.91239,0.94431
1992,Single-person household,East,Yes,0.51717,148,296,0.46014,0.57419
1992,Single-person household,East,No,0.48283,148,296,0.42581,0.53986
