"e11102","year","quintil_oecd","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","1084","0.475992092195914","0.453870797742368","0.498113386649461"
"erwerbstätig","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","1584","0.46233033257387","0.444633182210768","0.480027482936971"
"erwerbstätig","1995","2","Ländlicher Raum","916","0.588465855340981","0.562576756749719","0.614354953932243"
"erwerbstätig","1995","2","Städtischer Raum","1571","0.547829863777183","0.528217857080548","0.567441870473817"
"erwerbstätig","1995","3","Ländlicher Raum","526","0.67276476115838","0.637931562848676","0.707597959468084"
"erwerbstätig","1995","3","Städtischer Raum","1079","0.655408904142518","0.631462692243671","0.679355116041365"
"erwerbstätig","1995","4","Ländlicher Raum","329","0.751167654990925","0.70895745365309","0.79337785632876"
"erwerbstätig","1995","4","Städtischer Raum","836","0.744676650458962","0.718610734311505","0.77074256660642"
"erwerbstätig","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","109","0.751390240794071","0.677936463816849","0.824844017771294"
"erwerbstätig","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","461","0.737248486039482","0.701854096460747","0.772642875618218"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","874","0.524007907804086","0.501886613350539","0.546129202257632"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","1465","0.53766966742613","0.519972517063029","0.555366817789232"
"nicht erwerbstätig","1995","2","Ländlicher Raum","472","0.411534144659019","0.385645046067757","0.437423243250282"
"nicht erwerbstätig","1995","2","Städtischer Raum","903","0.452170136222817","0.432558129526183","0.471782142919452"
"nicht erwerbstätig","1995","3","Ländlicher Raum","171","0.32723523884162","0.292402040531916","0.362068437151324"
"nicht erwerbstätig","1995","3","Städtischer Raum","434","0.344591095857482","0.320644883958635","0.368537307756329"
"nicht erwerbstätig","1995","4","Ländlicher Raum","74","0.248832345009075","0.20662214367124","0.29104254634691"
"nicht erwerbstätig","1995","4","Städtischer Raum","239","0.255323349541038","0.22925743339358","0.281389265688495"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","24","","",""
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","133","0.262751513960518","0.227357124381782","0.298145903539253"
"erwerbstätig","1996","1 Einkommensschwächstes Quintil","Ländlicher Raum","985","0.486819905130593","0.463171137482619","0.510468672778568"
"erwerbstätig","1996","1 Einkommensschwächstes Quintil","Städtischer Raum","1467","0.466259798305683","0.447719080664649","0.484800515946717"
"erwerbstätig","1996","2","Ländlicher Raum","940","0.551208772217256","0.525869305345632","0.576548239088879"
"erwerbstätig","1996","2","Städtischer Raum","1499","0.557738668803272","0.53778957117991","0.577687766426634"
"erwerbstätig","1996","3","Ländlicher Raum","584","0.721181486445076","0.689342906164387","0.753020066725765"
"erwerbstätig","1996","3","Städtischer Raum","1112","0.659066755809645","0.635445536456271","0.682687975163019"
"erwerbstätig","1996","4","Ländlicher Raum","317","0.731409406057105","0.68808219498551","0.7747366171287"
"erwerbstätig","1996","4","Städtischer Raum","872","0.709367274531311","0.68307890723095","0.735655641831672"
"erwerbstätig","1996","5 Einkommensstärkstes Quintil","Ländlicher Raum","143","0.725514208349689","0.659771990186984","0.791256426512394"
"erwerbstätig","1996","5 Einkommensstärkstes Quintil","Städtischer Raum","504","0.725116029194364","0.69095156358418","0.759280494804548"
"nicht erwerbstätig","1996","1 Einkommensschwächstes Quintil","Ländlicher Raum","731","0.513180094869407","0.489531327221432","0.536828862517381"
