"e11102","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","kein Migrationshintergrund","maennlich","1048","","",""
"nicht erwerbstätig","1984","kein Migrationshintergrund","weiblich","2545","","",""
"nicht erwerbstätig","1984","direkter Migrationshintergrund","maennlich","243","","",""
"nicht erwerbstätig","1984","direkter Migrationshintergrund","weiblich","755","0.506229202431349","0.48167007926097","0.530788325601727"
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","maennlich","26","","",""
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","weiblich","30","0.428006601047205","0.307721412114248","0.548291789980162"
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1984","kein Migrationshintergrund","maennlich","3067","0.720187495387221","0.706471746701671","0.733903244072772"
"erwerbstätig","1984","kein Migrationshintergrund","weiblich","2009","","",""
"erwerbstätig","1984","direkter Migrationshintergrund","maennlich","1534","","",""
"erwerbstätig","1984","direkter Migrationshintergrund","weiblich","837","0.493770797568651","0.469211674398273","0.51832992073903"
"erwerbstätig","1984","indirekter Migrationshintergrund","maennlich","35","0.669811984543978","0.551796149562042","0.787827819525913"
"erwerbstätig","1984","indirekter Migrationshintergrund","weiblich","35","0.571993398952795","0.451708210019838","0.692278587885751"
"erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1985","kein Migrationshintergrund","maennlich","979","0.287929958321898","0.273554112677293","0.302305803966503"
"nicht erwerbstätig","1985","kein Migrationshintergrund","weiblich","2279","","",""
"nicht erwerbstätig","1985","direkter Migrationshintergrund","maennlich","226","","",""
"nicht erwerbstätig","1985","direkter Migrationshintergrund","weiblich","664","0.516846420145575","0.490356100980114","0.543336739311036"
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","maennlich","28","","",""
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","weiblich","42","0.516897820273841","0.405282302737948","0.628513337809733"
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1985","kein Migrationshintergrund","maennlich","2832","","",""
"erwerbstätig","1985","kein Migrationshintergrund","weiblich","1889","","",""
"erwerbstätig","1985","direkter Migrationshintergrund","maennlich","1313","","",""
"erwerbstätig","1985","direkter Migrationshintergrund","weiblich","703","0.483153579854425","0.456663260688965","0.509643899019886"
"erwerbstätig","1985","indirekter Migrationshintergrund","maennlich","36","0.688157465035764","0.57466430385168","0.801650626219848"
"erwerbstätig","1985","indirekter Migrationshintergrund","weiblich","35","0.483102179726159","0.371486662190267","0.594717697262052"
"erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","maennlich","924","0.281371436737794","0.266773497005876","0.295969376469712"
"nicht erwerbstätig","1986","kein Migrationshintergrund","weiblich","2084","","",""
"nicht erwerbstätig","1986","direkter Migrationshintergrund","maennlich","232","","",""
"nicht erwerbstätig","1986","direkter Migrationshintergrund","weiblich","623","0.516052993857619","0.489001403648329","0.54310458406691"
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","maennlich","21","","",""
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","weiblich","41","0.486776722793106","0.378593668427099","0.594959777159114"
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1986","kein Migrationshintergrund","maennlich","2721","","",""
"erwerbstätig","1986","kein Migrationshintergrund","weiblich","1875","","",""
"erwerbstätig","1986","direkter Migrationshintergrund","maennlich","1282","","",""
"erwerbstätig","1986","direkter Migrationshintergrund","weiblich","688","0.483947006142381","0.45689541593309","0.510998596351672"
"erwerbstätig","1986","indirekter Migrationshintergrund","maennlich","51","0.716728391879245","0.612649976558405","0.820806807200085"
"erwerbstätig","1986","indirekter Migrationshintergrund","weiblich","41","0.513223277206894","0.405040222840886","0.621406331572901"
"erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1987","kein Migrationshintergrund","maennlich","868","0.270092281424083","0.255568124535065","0.284616438313101"
"nicht erwerbstätig","1987","kein Migrationshintergrund","weiblich","1977","","",""
"nicht erwerbstätig","1987","direkter Migrationshintergrund","maennlich","231","","",""
"nicht erwerbstätig","1987","direkter Migrationshintergrund","weiblich","622","0.51861715194518","0.491590983955515","0.545643319934845"
"nicht erwerbstätig","1987","indirekter Migrationshintergrund","maennlich","28","","",""
"nicht erwerbstätig","1987","indirekter Migrationshintergrund","weiblich","46","0.400517957620682","0.300930257633433","0.500105657607932"
"nicht erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1987","kein Migrationshintergrund","maennlich","2722","","",""
"erwerbstätig","1987","kein Migrationshintergrund","weiblich","1897","","",""
"erwerbstätig","1987","direkter Migrationshintergrund","maennlich","1269","","",""
"erwerbstätig","1987","direkter Migrationshintergrund","weiblich","691","0.48138284805482","0.454356680065155","0.508409016044485"
"erwerbstätig","1987","indirekter Migrationshintergrund","maennlich","54","0.72654447070115","0.630069285611029","0.823019655791272"
"erwerbstätig","1987","indirekter Migrationshintergrund","weiblich","47","0.599482042379318","0.499894342392068","0.699069742366567"
"erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1988","kein Migrationshintergrund","maennlich","828","0.273501299706271","0.258553189946361","0.288449409466182"
"nicht erwerbstätig","1988","kein Migrationshintergrund","weiblich","1810","","",""
"nicht erwerbstätig","1988","direkter Migrationshintergrund","maennlich","212","","",""
"nicht erwerbstätig","1988","direkter Migrationshintergrund","weiblich","598","0.511399407009936","0.483809664160743","0.538989149859128"
"nicht erwerbstätig","1988","indirekter Migrationshintergrund","maennlich","37","0.367988691572783","0.276611908810004","0.459365474335561"
"nicht erwerbstätig","1988","indirekter Migrationshintergrund","weiblich","60","0.434528032829907","0.343931075858203","0.525124989801611"
"nicht erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1988","kein Migrationshintergrund","maennlich","2588","","",""
"erwerbstätig","1988","kein Migrationshintergrund","weiblich","1854","","",""
"erwerbstätig","1988","direkter Migrationshintergrund","maennlich","1195","","",""
"erwerbstätig","1988","direkter Migrationshintergrund","weiblich","663","0.488600592990065","0.461010850140872","0.516190335839257"
"erwerbstätig","1988","indirekter Migrationshintergrund","maennlich","70","0.632011308427217","0.540634525664439","0.723388091189996"
"erwerbstätig","1988","indirekter Migrationshintergrund","weiblich","55","0.565471967170093","0.474875010198389","0.656068924141797"
"erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1989","kein Migrationshintergrund","maennlich","792","0.273568118642895","0.258344549519075","0.288791687766714"
"nicht erwerbstätig","1989","kein Migrationshintergrund","weiblich","1710","","",""
"nicht erwerbstätig","1989","direkter Migrationshintergrund","maennlich","222","","",""
"nicht erwerbstätig","1989","direkter Migrationshintergrund","weiblich","584","0.517529600237928","0.489750673597503","0.545308526878353"
"nicht erwerbstätig","1989","indirekter Migrationshintergrund","maennlich","44","0.413211153082707","0.325834557680982","0.500587748484432"
"nicht erwerbstätig","1989","indirekter Migrationshintergrund","weiblich","63","0.457404713297589","0.373677437104515","0.541131989490662"
"nicht erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1989","kein Migrationshintergrund","maennlich","2502","","",""
"erwerbstätig","1989","kein Migrationshintergrund","weiblich","1812","","",""
"erwerbstätig","1989","direkter Migrationshintergrund","maennlich","1123","","",""
"erwerbstätig","1989","direkter Migrationshintergrund","weiblich","659","0.482470399762072","0.454691473121647","0.510249326402497"
"erwerbstätig","1989","indirekter Migrationshintergrund","maennlich","78","0.586788846917293","0.499412251515568","0.674165442319018"
"erwerbstätig","1989","indirekter Migrationshintergrund","weiblich","73","0.542595286702411","0.458868010509338","0.626322562895485"
"erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1990","kein Migrationshintergrund","maennlich","755","0.261369003032365","0.246116899668677","0.276621106396053"
"nicht erwerbstätig","1990","kein Migrationshintergrund","weiblich","1641","","",""
"nicht erwerbstätig","1990","direkter Migrationshintergrund","maennlich","243","","",""
"nicht erwerbstätig","1990","direkter Migrationshintergrund","weiblich","556","0.511281102032758","0.483010437052803","0.539551767012713"
"nicht erwerbstätig","1990","indirekter Migrationshintergrund","maennlich","54","0.436806765463504","0.355796465982904","0.517817064944104"
"nicht erwerbstätig","1990","indirekter Migrationshintergrund","weiblich","63","0.433975711003585","0.354661189760599","0.51329023224657"
"nicht erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1990","kein Migrationshintergrund","maennlich","2433","","",""
"erwerbstätig","1990","kein Migrationshintergrund","weiblich","1807","","",""
"erwerbstätig","1990","direkter Migrationshintergrund","maennlich","1087","","",""
"erwerbstätig","1990","direkter Migrationshintergrund","weiblich","645","0.488718897967242","0.460448232987287","0.516989562947197"
"erwerbstätig","1990","indirekter Migrationshintergrund","maennlich","90","0.563193234536496","0.482182935055896","0.644203534017096"
"erwerbstätig","1990","indirekter Migrationshintergrund","weiblich","87","0.566024288996415","0.48670976775343","0.645338810239401"
"erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1991","kein Migrationshintergrund","maennlich","746","0.267946625140549","0.252494966219332","0.283398284061766"
"nicht erwerbstätig","1991","kein Migrationshintergrund","weiblich","1605","","",""
"nicht erwerbstätig","1991","direkter Migrationshintergrund","maennlich","227","","",""
"nicht erwerbstätig","1991","direkter Migrationshintergrund","weiblich","530","0.495478033634956","0.466926615235121","0.524029452034792"
"nicht erwerbstätig","1991","indirekter Migrationshintergrund","maennlich","61","0.3535665630986","0.282326788109593","0.424806338087608"
"nicht erwerbstätig","1991","indirekter Migrationshintergrund","weiblich","71","0.410286579345719","0.336989072817949","0.48358408587349"
"nicht erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1991","kein Migrationshintergrund","maennlich","2410","","",""
"erwerbstätig","1991","kein Migrationshintergrund","weiblich","1819","","",""
"erwerbstätig","1991","direkter Migrationshintergrund","maennlich","1077","","",""
"erwerbstätig","1991","direkter Migrationshintergrund","weiblich","648","0.504521966365044","0.475970547965208","0.533073384764879"
"erwerbstätig","1991","indirekter Migrationshintergrund","maennlich","112","","",""
"erwerbstätig","1991","indirekter Migrationshintergrund","weiblich","102","","",""
"erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1992","kein Migrationshintergrund","maennlich","1047","","",""
"nicht erwerbstätig","1992","kein Migrationshintergrund","weiblich","2230","","",""
"nicht erwerbstätig","1992","direkter Migrationshintergrund","maennlich","243","","",""
"nicht erwerbstätig","1992","direkter Migrationshintergrund","weiblich","559","0.490670056941919","0.462709662743663","0.518630451140176"
"nicht erwerbstätig","1992","indirekter Migrationshintergrund","maennlich","75","0.323392227454361","0.259669229699688","0.387115225209034"
"nicht erwerbstätig","1992","indirekter Migrationshintergrund","weiblich","81","0.454355557252783","0.385349711425993","0.523361403079574"
"nicht erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1992","kein Migrationshintergrund","maennlich","3885","0.741480461102195","0.72926153329047","0.753699388913919"
"erwerbstätig","1992","kein Migrationshintergrund","weiblich","3195","0.510467288984693","0.497165102344538","0.523769475624847"
"erwerbstätig","1992","direkter Migrationshintergrund","maennlich","1081","","",""
"erwerbstätig","1992","direkter Migrationshintergrund","weiblich","669","0.509329943058081","0.481369548859825","0.537290337256337"
"erwerbstätig","1992","indirekter Migrationshintergrund","maennlich","132","","",""
"erwerbstätig","1992","indirekter Migrationshintergrund","weiblich","119","","",""
"erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1993","kein Migrationshintergrund","maennlich","1121","","",""
"nicht erwerbstätig","1993","kein Migrationshintergrund","weiblich","2303","","",""
"nicht erwerbstätig","1993","direkter Migrationshintergrund","maennlich","264","","",""
"nicht erwerbstätig","1993","direkter Migrationshintergrund","weiblich","549","0.492526417648491","0.464133259944149","0.520919575352834"
"nicht erwerbstätig","1993","indirekter Migrationshintergrund","maennlich","75","0.327393687290374","0.267775985188205","0.387011389392542"
"nicht erwerbstätig","1993","indirekter Migrationshintergrund","weiblich","90","0.451011391228004","0.386704192008942","0.515318590447067"
"nicht erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1993","kein Migrationshintergrund","maennlich","3720","0.725189231443806","0.71261379414109","0.737764668746522"
"erwerbstätig","1993","kein Migrationshintergrund","weiblich","3012","0.499955979888163","0.486513900399336","0.51339805937699"
"erwerbstätig","1993","direkter Migrationshintergrund","maennlich","1022","","",""
"erwerbstätig","1993","direkter Migrationshintergrund","weiblich","642","0.507473582351509","0.479080424647166","0.535866740055851"
"erwerbstätig","1993","indirekter Migrationshintergrund","maennlich","163","","",""
"erwerbstätig","1993","indirekter Migrationshintergrund","weiblich","140","","",""
"erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1994","kein Migrationshintergrund","maennlich","1174","","",""
"nicht erwerbstätig","1994","kein Migrationshintergrund","weiblich","2365","","",""
"nicht erwerbstätig","1994","direkter Migrationshintergrund","maennlich","278","","",""
"nicht erwerbstätig","1994","direkter Migrationshintergrund","weiblich","557","0.509636325904121","0.480731030645297","0.538541621162946"
"nicht erwerbstätig","1994","indirekter Migrationshintergrund","maennlich","77","0.35009809261554","0.29061159598949","0.40958458924159"
"nicht erwerbstätig","1994","indirekter Migrationshintergrund","weiblich","94","0.425938688743261","0.363893821167112","0.487983556319411"
"nicht erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1994","kein Migrationshintergrund","maennlich","3585","0.710792137587295","0.697910632956043","0.723673642218546"
"erwerbstätig","1994","kein Migrationshintergrund","weiblich","2900","","",""
"erwerbstätig","1994","direkter Migrationshintergrund","maennlich","931","0.719160144080445","0.693827698594648","0.744492589566242"
"erwerbstätig","1994","direkter Migrationshintergrund","weiblich","592","0.490363674095879","0.461458378837054","0.519268969354703"
"erwerbstätig","1994","indirekter Migrationshintergrund","maennlich","170","","",""
"erwerbstätig","1994","indirekter Migrationshintergrund","weiblich","150","","",""
"erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1995","kein Migrationshintergrund","maennlich","1171","","",""
"nicht erwerbstätig","1995","kein Migrationshintergrund","weiblich","2354","","",""
"nicht erwerbstätig","1995","direkter Migrationshintergrund","maennlich","383","0.344146548142295","0.319339921644968","0.368953174639621"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","weiblich","711","0.54302275159","0.516663848249008","0.569381654930991"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","maennlich","74","0.308333801645881","0.251429293300243","0.365238309991518"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","weiblich","96","0.453554497476484","0.392088350871866","0.515020644081102"
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"erwerbstätig","1995","kein Migrationshintergrund","maennlich","3577","0.70792059082509","0.69498651272951","0.72085466892067"
"erwerbstätig","1995","kein Migrationshintergrund","weiblich","2896","","",""
"erwerbstätig","1995","direkter Migrationshintergrund","maennlich","1026","","",""
"erwerbstätig","1995","direkter Migrationshintergrund","weiblich","661","0.45697724841","0.430618345069009","0.483336151750992"
"erwerbstätig","1995","indirekter Migrationshintergrund","maennlich","179","","",""
"erwerbstätig","1995","indirekter Migrationshintergrund","weiblich","156","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1996","kein Migrationshintergrund","maennlich","1142","","",""
"nicht erwerbstätig","1996","kein Migrationshintergrund","weiblich","2283","","",""
"nicht erwerbstätig","1996","direkter Migrationshintergrund","maennlich","362","0.346584539887157","0.320795004683058","0.372374075091255"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","weiblich","656","0.541870446594877","0.514681328389123","0.569059564800632"
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","maennlich","74","0.311764222938921","0.256306446295382","0.36722199958246"
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","weiblich","108","","",""
