"e11102","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1532","0.534803381880266","0.517907894930092","0.55169886883044"
"nicht erwerbstätig","1995","kein Migrationshintergrund","2","1078","0.44557416191147","0.427607964966981","0.463540358855959"
"nicht erwerbstätig","1995","kein Migrationshintergrund","3","514","0.341985510971364","0.320221534978332","0.363749486964396"
"nicht erwerbstätig","1995","kein Migrationshintergrund","4","268","0.247698231234134","0.223748629681536","0.271647832786732"
"nicht erwerbstätig","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","133","0.253474024152003","0.219693408007255","0.28725464029675"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","711","0.54060143395386","0.5147177248293","0.566485143078419"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","2","257","0.417271434110329","0.382442096927402","0.452100771293256"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","3","69","0.303743765005314","0.253669587961025","0.353817942049602"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","4","34","0.279083095923831","0.213916990368268","0.344249201479394"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","23","","",""
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","96","0.399291226527459","0.336674403203427","0.461908049851491"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","2","40","0.279667894568003","0.208314606735192","0.351021182400815"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","3","22","","",""
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","4","11","","",""
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","1","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1816","0.465196618119734","0.44830113116956","0.482092105069908"
"erwerbstätig","1995","kein Migrationshintergrund","2","1862","0.55442583808853","0.536459641144041","0.572392035033019"
"erwerbstätig","1995","kein Migrationshintergrund","3","1311","0.658014489028636","0.636250513035604","0.679778465021668"
"erwerbstätig","1995","kein Migrationshintergrund","4","980","0.752301768765866","0.728352167213268","0.776251370318464"
"erwerbstätig","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","504","0.746525975847997","0.71274535970325","0.780306591992744"
"erwerbstätig","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","713","0.45939856604614","0.433514856921581","0.4852822751707"
"erwerbstätig","1995","direkter Migrationshintergrund","2","513","0.582728565889671","0.547899228706744","0.617557903072598"
"erwerbstätig","1995","direkter Migrationshintergrund","3","255","0.696256234994686","0.646182057950398","0.746330412038975"
"erwerbstätig","1995","direkter Migrationshintergrund","4","148","0.720916904076169","0.655750798520605","0.786083009631732"
"erwerbstätig","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","58","0.676579073962453","0.574708460761481","0.778449687163425"
"erwerbstätig","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","139","0.600708773472541","0.538091950148509","0.663325596796573"
"erwerbstätig","1995","indirekter Migrationshintergrund","2","112","0.720332105431997","0.648978817599185","0.791685393264808"
"erwerbstätig","1995","indirekter Migrationshintergrund","3","39","0.492920306638581","0.367459048602265","0.618381564674897"
"erwerbstätig","1995","indirekter Migrationshintergrund","4","37","0.558182079948051","0.417694775225034","0.698669384671067"
"erwerbstätig","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","8","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1996","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1345","0.533689601125952","0.515778516758333","0.551600685493572"
"nicht erwerbstätig","1996","kein Migrationshintergrund","2","1100","0.448524993525544","0.430553548515143","0.466496438535945"
"nicht erwerbstätig","1996","kein Migrationshintergrund","3","510","0.321341429284234","0.300452965272152","0.342229893296316"
"nicht erwerbstätig","1996","kein Migrationshintergrund","4","308","0.283622379957808","0.259268879146268","0.307975880769348"
"nicht erwerbstätig","1996","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","162","0.260538385031777","0.22906224519974","0.292014524863815"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","613","0.519862404454425","0.492428322023553","0.547296486885296"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","2","261","0.428983406830689","0.393772937469688","0.464193876191689"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","3","76","0.320742105422551","0.268529635457799","0.372954575387302"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","4","46","0.313728671917287","0.246865456197817","0.380591887636757"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","22","","",""
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","87","0.356387894339773","0.296170975748921","0.416604812930625"
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","2","61","0.391436700281328","0.315810592448473","0.467062808114182"
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","3","27","","",""
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","4","5","","",""
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","2","","",""
"nicht erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"nicht erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"nicht erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"nicht erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","1996","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1635","0.466310398874048","0.448399314506428","0.484221483241667"
"erwerbstätig","1996","kein Migrationshintergrund","2","1842","0.551475006474456","0.533503561464055","0.569446451484857"
"erwerbstätig","1996","kein Migrationshintergrund","3","1410","0.678658570715766","0.657770106703684","0.699547034727848"
"erwerbstätig","1996","kein Migrationshintergrund","4","1008","0.716377620042192","0.692024119230652","0.740731120853731"
"erwerbstätig","1996","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","585","0.739461614968223","0.707985475136185","0.77093775480026"
"erwerbstätig","1996","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","661","0.480137595545575","0.452703513114704","0.507571677976447"
"erwerbstätig","1996","direkter Migrationshintergrund","2","498","0.571016593169311","0.535806123808311","0.606227062530312"
"erwerbstätig","1996","direkter Migrationshintergrund","3","231","0.679257894577449","0.627045424612698","0.731470364542201"
"erwerbstätig","1996","direkter Migrationshintergrund","4","139","0.686271328082713","0.619408112363243","0.753134543802183"
"erwerbstätig","1996","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","51","0.608913347021345","0.496969325383114","0.720857368659577"
"erwerbstätig","1996","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","156","0.643612105660227","0.583395187069375","0.703829024251079"
"erwerbstätig","1996","indirekter Migrationshintergrund","2","99","0.608563299718673","0.532937191885818","0.684189407551527"
"erwerbstätig","1996","indirekter Migrationshintergrund","3","55","0.502909822012461","0.394690747722452","0.61112889630247"
"erwerbstätig","1996","indirekter Migrationshintergrund","4","42","0.781579903855242","0.663457534106833","0.899702273603652"
"erwerbstätig","1996","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","11","","",""
"erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1997","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1297","0.522167369910555","0.503867161204362","0.540467578616749"
"nicht erwerbstätig","1997","kein Migrationshintergrund","2","1175","0.47255462681578","0.454523610979087","0.490585642652474"
"nicht erwerbstätig","1997","kein Migrationshintergrund","3","545","0.349852278888979","0.328452598763038","0.371251959014921"
