"e11102","year","sampreg","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"nicht erwerbstätig","1984","Westdeutschland","maennlich","1317","0.270424469786842","0.259141114250388","0.281707825323297"
"nicht erwerbstätig","1984","Westdeutschland","weiblich","3330","0.587624710136265","0.575382391798587","0.599867028473943"
"nicht erwerbstätig","1984","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1984","Ostdeutschland","weiblich","","","",""
"erwerbstätig","1984","Westdeutschland","maennlich","4636","0.729575530213158","0.718292174676703","0.740858885749612"
"erwerbstätig","1984","Westdeutschland","weiblich","2881","0.412375289863735","0.400132971526057","0.424617608201412"
"erwerbstätig","1984","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1984","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1985","Westdeutschland","maennlich","1233","0.27976183090483","0.267804857517263","0.291718804292397"
"nicht erwerbstätig","1985","Westdeutschland","weiblich","2985","0.579276925358462","0.566360850888877","0.592192999828047"
"nicht erwerbstätig","1985","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1985","Ostdeutschland","weiblich","","","",""
"erwerbstätig","1985","Westdeutschland","maennlich","4181","0.72023816909517","0.708281195707603","0.732195142482737"
"erwerbstätig","1985","Westdeutschland","weiblich","2627","0.420723074641538","0.407807000171953","0.433639149111123"
"erwerbstätig","1985","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1985","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1986","Westdeutschland","maennlich","1177","0.274576876884978","0.262482502481825","0.286671251288131"
"nicht erwerbstätig","1986","Westdeutschland","weiblich","2748","0.567367556477903","0.554094167245887","0.580640945709919"
"nicht erwerbstätig","1986","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1986","Ostdeutschland","weiblich","","","",""
"erwerbstätig","1986","Westdeutschland","maennlich","4054","0.725423123115022","0.713328748711869","0.737517497518175"
"erwerbstätig","1986","Westdeutschland","weiblich","2604","0.432632443522097","0.419359054290081","0.445905832754113"
"erwerbstätig","1986","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1986","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1987","Westdeutschland","maennlich","1127","0.264259894665468","0.252242877631791","0.276276911699145"
"nicht erwerbstätig","1987","Westdeutschland","weiblich","2645","0.548867792926569","0.535445802642163","0.562289783210976"
"nicht erwerbstätig","1987","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1987","Ostdeutschland","weiblich","","","",""
