"e11102","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig","1984","kein Migrationshintergrund","Westdeutschland","3593","0.448792577855819","0.438322643688883","0.459262512022754"
"nicht erwerbstätig","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","direkter Migrationshintergrund","Westdeutschland","998","0.342941507482811","0.326912389399012","0.358970625566611"
"nicht erwerbstätig","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","Westdeutschland","56","0.390167147237116","0.304995788418","0.475338506056233"
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1984","kein Migrationshintergrund","Westdeutschland","5076","0.551207422144181","0.540737487977246","0.561677356311117"
"erwerbstätig","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1984","direkter Migrationshintergrund","Westdeutschland","2371","0.657058492517188","0.641029374433389","0.673087610600987"
"erwerbstätig","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1984","indirekter Migrationshintergrund","Westdeutschland","70","0.609832852762884","0.524661493943767","0.695004211582"
"erwerbstätig","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","kein Migrationshintergrund","Westdeutschland","3258","0.446681981502851","0.435773595887745","0.457590367117956"
"nicht erwerbstätig","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Westdeutschland","890","0.358672794643654","0.341235089253246","0.376110500034062"
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Westdeutschland","70","0.432824419710862","0.35104327702391","0.514605562397815"
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1985","kein Migrationshintergrund","Westdeutschland","4721","0.553318018497149","0.542409632882044","0.564226404112255"
"erwerbstätig","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1985","direkter Migrationshintergrund","Westdeutschland","2016","0.641327205356346","0.623889499965938","0.658764910746754"
"erwerbstätig","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1985","indirekter Migrationshintergrund","Westdeutschland","71","0.567175580289138","0.485394437602185","0.64895672297609"
"erwerbstätig","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","Westdeutschland","3008","0.436382970179224","0.425236098866433","0.447529841492015"
"nicht erwerbstätig","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Westdeutschland","855","0.363043095854185","0.345310472866725","0.380775718841644"
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Westdeutschland","62","0.40248775396299","0.325034891743315","0.479940616182665"
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1986","kein Migrationshintergrund","Westdeutschland","4596","0.563617029820776","0.552470158507985","0.574763901133567"
"erwerbstätig","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1986","direkter Migrationshintergrund","Westdeutschland","1970","0.636956904145815","0.619224281158356","0.654689527133275"
"erwerbstätig","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1986","indirekter Migrationshintergrund","Westdeutschland","92","0.59751224603701","0.520059383817335","0.674965108256685"
"erwerbstätig","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","kein Migrationshintergrund","Westdeutschland","2845","0.420490726509175","0.409291947312878","0.431689505705473"
"nicht erwerbstätig","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","direkter Migrationshintergrund","Westdeutschland","853","0.364395690254249","0.346611124825657","0.38218025568284"
"nicht erwerbstätig","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","indirekter Migrationshintergrund","Westdeutschland","74","0.349559718998488","0.278912760085061","0.420206677911915"
"nicht erwerbstätig","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1987","kein Migrationshintergrund","Westdeutschland","4619","0.579509273490825","0.568310494294527","0.590708052687122"
"erwerbstätig","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1987","direkter Migrationshintergrund","Westdeutschland","1960","0.635604309745752","0.61781974431716","0.653388875174344"
"erwerbstätig","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
