"e11102","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","980","0.484519473687686","0.460908200512464","0.508130746862909"
"erwerbstätig","1995","1 Einkommensschwächstes Quintil","Westdeutschland","1688","0.461342556205121","0.444298129303074","0.478386983107168"
"erwerbstätig","1995","2","Ostdeutschland","800","0.593188608357526","0.565532584891219","0.620844631823832"
"erwerbstätig","1995","2","Westdeutschland","1687","0.551662616127468","0.532727655429614","0.570597576825322"
"erwerbstätig","1995","3","Ostdeutschland","399","0.718928176443599","0.679914721594444","0.757941631292754"
"erwerbstätig","1995","3","Westdeutschland","1206","0.650062838837081","0.627390499526324","0.672735178147838"
"erwerbstätig","1995","4","Ostdeutschland","174","0.831195555106811","0.780290610562989","0.882100499650633"
"erwerbstätig","1995","4","Westdeutschland","991","0.738604471120327","0.714438665710814","0.762770276529841"
"erwerbstätig","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","39","0.884270082320277","0.787522809031464","0.981017355609091"
"erwerbstätig","1995","5 Einkommensstärkstes Quintil","Westdeutschland","531","0.733938998464039","0.700846969291221","0.767031027636856"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","741","0.515480526312314","0.491869253137091","0.539091799487536"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","Westdeutschland","1598","0.538657443794879","0.521613016892832","0.555701870696926"
"nicht erwerbstätig","1995","2","Ostdeutschland","412","0.406811391642474","0.379155368176168","0.434467415108781"
"nicht erwerbstätig","1995","2","Westdeutschland","963","0.448337383872532","0.429402423174678","0.467272344570386"
"nicht erwerbstätig","1995","3","Ostdeutschland","111","0.281071823556401","0.242058368707246","0.320085278405556"
"nicht erwerbstätig","1995","3","Westdeutschland","494","0.349937161162919","0.327264821852162","0.372609500473676"
"nicht erwerbstätig","1995","4","Ostdeutschland","34","0.168804444893189","0.117899500349367","0.219709389437011"
"nicht erwerbstätig","1995","4","Westdeutschland","279","0.261395528879673","0.237229723470159","0.285561334289186"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","3","","",""
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","Westdeutschland","154","0.266061001535961","0.232968972363144","0.299153030708778"
"erwerbstätig","1996","1 Einkommensschwächstes Quintil","Ostdeutschland","885","0.512778931714676","0.4874419072276","0.538115956201752"
"erwerbstätig","1996","1 Einkommensschwächstes Quintil","Westdeutschland","1567","0.460811209449654","0.442980250836494","0.478642168062813"
"erwerbstätig","1996","2","Ostdeutschland","805","0.548552548456908","0.521449014054185","0.57565608285963"
"erwerbstätig","1996","2","Westdeutschland","1634","0.557629581823423","0.538412576692729","0.576846586954117"
"erwerbstätig","1996","3","Ostdeutschland","466","0.719644049210106","0.68373328778492","0.755554810635291"
"erwerbstätig","1996","3","Westdeutschland","1230","0.667568718187319","0.645227693482591","0.689909742892048"
"erwerbstätig","1996","4","Ostdeutschland","188","0.775818951462703","0.721922048152163","0.829715854773243"
"erwerbstätig","1996","4","Westdeutschland","1001","0.70910111194293","0.684581392327978","0.733620831557883"
"erwerbstätig","1996","5 Einkommensstärkstes Quintil","Ostdeutschland","55","0.863390707166583","0.77858567506858","0.948195739264586"
"erwerbstätig","1996","5 Einkommensstärkstes Quintil","Westdeutschland","592","0.718977675674154","0.687228617834482","0.750726733513827"
"nicht erwerbstätig","1996","1 Einkommensschwächstes Quintil","Ostdeutschland","610","0.487221068285324","0.461884043798247","0.5125580927724"
"nicht erwerbstätig","1996","1 Einkommensschwächstes Quintil","Westdeutschland","1435","0.539188790550346","0.521357831937187","0.557019749163506"
"nicht erwerbstätig","1996","2","Ostdeutschland","490","0.451447451543092","0.42434391714037","0.478550985945815"
"nicht erwerbstätig","1996","2","Westdeutschland","932","0.442370418176577","0.423153413045883","0.46158742330727"
"nicht erwerbstätig","1996","3","Ostdeutschland","135","0.280355950789894","0.244445189364709","0.31626671221508"
"nicht erwerbstätig","1996","3","Westdeutschland","478","0.332431281812681","0.310090257107952","0.354772306517409"
"nicht erwerbstätig","1996","4","Ostdeutschland","42","0.224181048537297","0.170284145226757","0.278077951847837"
"nicht erwerbstätig","1996","4","Westdeutschland","317","0.29089888805707","0.266379168442117","0.315418607672022"
"nicht erwerbstätig","1996","5 Einkommensstärkstes Quintil","Ostdeutschland","8","","",""
"nicht erwerbstätig","1996","5 Einkommensstärkstes Quintil","Westdeutschland","178","0.281022324325846","0.249273266486173","0.312771382165518"
"erwerbstätig","1997","1 Einkommensschwächstes Quintil","Ostdeutschland","859","0.522620873502537","0.496999833672975","0.548241913332099"
"erwerbstätig","1997","1 Einkommensschwächstes Quintil","Westdeutschland","1390","0.454121671716093","0.435693038483865","0.472550304948321"
"erwerbstätig","1997","2","Ostdeutschland","734","0.516835880654097","0.489055627915698","0.544616133392495"
"erwerbstätig","1997","2","Westdeutschland","1589","0.538257103295374","0.518964119355381","0.557550087235366"
"erwerbstätig","1997","3","Ostdeutschland","452","0.691774082537746","0.654887657531291","0.728660507544201"
"erwerbstätig","1997","3","Westdeutschland","1246","0.65181566335874","0.629501940780104","0.674129385937376"
"erwerbstätig","1997","4","Ostdeutschland","207","0.751267646999207","0.69862209406776","0.803913199930654"
"erwerbstätig","1997","4","Westdeutschland","1005","0.705041787111551","0.680450324610584","0.729633249612517"
"erwerbstätig","1997","5 Einkommensstärkstes Quintil","Ostdeutschland","60","0.824522092397731","0.735415170235296","0.913629014560167"
"erwerbstätig","1997","5 Einkommensstärkstes Quintil","Westdeutschland","585","0.751751901577881","0.720896526090346","0.782607277065417"
"nicht erwerbstätig","1997","1 Einkommensschwächstes Quintil","Ostdeutschland","601","0.477379126497463","0.451758086667901","0.503000166327025"
"nicht erwerbstätig","1997","1 Einkommensschwächstes Quintil","Westdeutschland","1414","0.545878328283907","0.527449695051679","0.564306961516135"
"nicht erwerbstätig","1997","2","Ostdeutschland","509","0.483164119345903","0.455383866607505","0.510944372084302"
"nicht erwerbstätig","1997","2","Westdeutschland","976","0.461742896704626","0.442449912764634","0.481035880644619"
"nicht erwerbstätig","1997","3","Ostdeutschland","150","0.308225917462254","0.271339492455799","0.345112342468709"
"nicht erwerbstätig","1997","3","Westdeutschland","505","0.34818433664126","0.325870614062624","0.370498059219896"
"nicht erwerbstätig","1997","4","Ostdeutschland","52","0.248732353000793","0.196086800069346","0.301377905932241"
"nicht erwerbstätig","1997","4","Westdeutschland","316","0.29495821288845","0.270366750387483","0.319549675389416"
"nicht erwerbstätig","1997","5 Einkommensstärkstes Quintil","Ostdeutschland","10","","",""
"nicht erwerbstätig","1997","5 Einkommensstärkstes Quintil","Westdeutschland","168","0.248248098422119","0.217392722934583","0.279103473909654"
"erwerbstätig","1998","1 Einkommensschwächstes Quintil","Ostdeutschland","917","0.524396900918861","0.499717414040375","0.549076387797347"
"erwerbstätig","1998","1 Einkommensschwächstes Quintil","Westdeutschland","1500","0.451380925693443","0.433711643093302","0.469050208293584"
"erwerbstätig","1998","2","Ostdeutschland","730","0.529123147274758","0.500916768815997","0.557329525733519"
"erwerbstätig","1998","2","Westdeutschland","1718","0.528399193730683","0.510240152459006","0.546558235002359"
"erwerbstätig","1998","3","Ostdeutschland","470","0.641625410004752","0.605097192658985","0.67815362735052"
"erwerbstätig","1998","3","Westdeutschland","1318","0.628090330588511","0.606420898165985","0.649759763011037"
"erwerbstätig","1998","4","Ostdeutschland","251","0.717309884912475","0.668502792761041","0.76611697706391"
"erwerbstätig","1998","4","Westdeutschland","1168","0.693698939858308","0.671112495655647","0.716285384060969"
"erwerbstätig","1998","5 Einkommensstärkstes Quintil","Ostdeutschland","82","0.778706706216528","0.697345163466398","0.860068248966657"
"erwerbstätig","1998","5 Einkommensstärkstes Quintil","Westdeutschland","701","0.732670425835799","0.70394751130152","0.761393340370079"
"nicht erwerbstätig","1998","1 Einkommensschwächstes Quintil","Ostdeutschland","656","0.475603099081139","0.450923612202653","0.500282585959625"
"nicht erwerbstätig","1998","1 Einkommensschwächstes Quintil","Westdeutschland","1547","0.548619074306557","0.530949791706416","0.566288356906698"
"nicht erwerbstätig","1998","2","Ostdeutschland","473","0.470876852725242","0.442670474266481","0.499083231184003"
"nicht erwerbstätig","1998","2","Westdeutschland","1185","0.471600806269317","0.453441764997641","0.489759847540994"
"nicht erwerbstätig","1998","3","Ostdeutschland","192","0.358374589995248","0.32184637264948","0.394902807341015"
"nicht erwerbstätig","1998","3","Westdeutschland","593","0.371909669411489","0.350240236988964","0.393579101834015"
"nicht erwerbstätig","1998","4","Ostdeutschland","76","0.282690115087525","0.23388302293609","0.331497207238959"
"nicht erwerbstätig","1998","4","Westdeutschland","432","0.306301060141692","0.283714615939031","0.328887504344353"
"nicht erwerbstätig","1998","5 Einkommensstärkstes Quintil","Ostdeutschland","18","","",""
"nicht erwerbstätig","1998","5 Einkommensstärkstes Quintil","Westdeutschland","211","0.267329574164201","0.238606659629921","0.29605248869848"
"erwerbstätig","1999","1 Einkommensschwächstes Quintil","Ostdeutschland","765","0.531768728987449","0.504591522653507","0.55894593532139"
"erwerbstätig","1999","1 Einkommensschwächstes Quintil","Westdeutschland","1304","0.471166418911933","0.45185643845937","0.490476399364497"
"erwerbstätig","1999","2","Ostdeutschland","835","0.549396595326425","0.52286516688862","0.575928023764231"
"erwerbstätig","1999","2","Westdeutschland","1684","0.559589746008374","0.541028663052818","0.578150828963929"
"erwerbstätig","1999","3","Ostdeutschland","458","0.584627238495131","0.54777802249392","0.621476454496342"
"erwerbstätig","1999","3","Westdeutschland","1309","0.649418291208255","0.627809220658615","0.671027361757895"
"erwerbstätig","1999","4","Ostdeutschland","276","0.726121171843108","0.679200185386804","0.773042158299411"
"erwerbstätig","1999","4","Westdeutschland","1244","0.69934303522815","0.67726463517951","0.72142143527679"
"erwerbstätig","1999","5 Einkommensstärkstes Quintil","Ostdeutschland","81","0.793456047682386","0.715275779187856","0.871636316176917"
