year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,171.01310727619722,170.89390278990487,171.13231176248956,165.0,170.0,178.0,145.5,197.5,170.0,170.0,170.0,22959.0
2003,,,,,,,,,,,,
2004,171.10709232274328,170.98231922631237,171.2318654191742,165.0,170.0,178.0,145.5,197.5,170.0,170.0,170.0,21517.0
2005,,,,,,,,,,,,
2006,171.27086975512188,171.1467330957983,171.39500641444545,165.0,170.0,178.0,145.5,197.5,170.0,170.0,170.0,22206.0
2007,,,,,,,,,,,,
2008,171.44011343440386,171.30690226413975,171.57332460466796,165.0,170.0,178.0,145.5,197.5,170.0,169.0,170.0,19514.0
2009,,,,,,,,,,,,
2010,171.48526581827448,171.34188031946272,171.62865131708625,165.0,171.0,178.0,145.5,197.5,171.0,171.0,172.0,16940.0
2011,,,,,,,,,,,,
2012,171.53118755006824,171.401435631349,171.6609394687875,165.0,171.0,178.0,145.5,197.5,171.0,170.0,172.0,20952.0
2013,,,,,,,,,,,,
2014,171.7271093283381,171.6124506617432,171.84176799493298,165.0,171.0,178.0,145.5,197.5,171.0,170.0,171.0,27567.0
2015,,,,,,,,,,,,
2016,171.87701430328036,171.75587422734304,171.99815437921768,165.0,172.0,178.0,145.5,197.5,172.0,172.0,173.0,24578.0
2017,,,,,,,,,,,,
2018,171.93707935424797,171.8243479321504,172.04981077634554,165.0,172.0,179.0,144.0,200.0,172.0,172.0,173.0,29216.0
2019,,,,,,,,,,,,
2020,172.15170184176338,172.0317849293191,172.27161875420768,165.0,172.0,180.0,142.5,202.5,172.0,172.0,172.0,26038.0
2021,,,,,,,,,,,,
