year,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,,,,,,,,,,,,
1984,Direct migration background,,,,,,,,,,,,
1984,Indirect migration background,,,,,,,,,,,,
1985,No migration background,,,,,,,,,,,,
1985,Direct migration background,,,,,,,,,,,,
1985,Indirect migration background,,,,,,,,,,,,
1986,No migration background,,,,,,,,,,,,
1986,Direct migration background,,,,,,,,,,,,
1986,Indirect migration background,,,,,,,,,,,,
1987,No migration background,,,,,,,,,,,,
1987,Direct migration background,,,,,,,,,,,,
1987,Indirect migration background,,,,,,,,,,,,
1988,No migration background,,,,,,,,,,,,
1988,Direct migration background,,,,,,,,,,,,
1988,Indirect migration background,,,,,,,,,,,,
1989,No migration background,,,,,,,,,,,,
1989,Direct migration background,,,,,,,,,,,,
1989,Indirect migration background,,,,,,,,,,,,
1990,No migration background,,,,,,,,,,,,
1990,Direct migration background,,,,,,,,,,,,
1990,Indirect migration background,,,,,,,,,,,,
1991,No migration background,,,,,,,,,,,,
1991,Direct migration background,,,,,,,,,,,,
1991,Indirect migration background,,,,,,,,,,,,
1992,No migration background,,,,,,,,,,,,
1992,Direct migration background,,,,,,,,,,,,
1992,Indirect migration background,,,,,,,,,,,,
1993,No migration background,,,,,,,,,,,,
1993,Direct migration background,,,,,,,,,,,,
1993,Indirect migration background,,,,,,,,,,,,
1994,No migration background,,,,,,,,,,,,
1994,Direct migration background,,,,,,,,,,,,
1994,Indirect migration background,,,,,,,,,,,,
1995,No migration background,,,,,,,,,,,,
1995,Direct migration background,,,,,,,,,,,,
1995,Indirect migration background,,,,,,,,,,,,
1996,No migration background,,,,,,,,,,,,
1996,Direct migration background,,,,,,,,,,,,
1996,Indirect migration background,,,,,,,,,,,,
1997,No migration background,,,,,,,,,,,,
1997,Direct migration background,,,,,,,,,,,,
1997,Indirect migration background,,,,,,,,,,,,
1998,No migration background,,,,,,,,,,,,
1998,Direct migration background,,,,,,,,,,,,
1998,Indirect migration background,,,,,,,,,,,,
1999,No migration background,,,,,,,,,,,,
1999,Direct migration background,,,,,,,,,,,,
1999,Indirect migration background,,,,,,,,,,,,
2000,No migration background,,,,,,,,,,,,
2000,Direct migration background,,,,,,,,,,,,
2000,Indirect migration background,,,,,,,,,,,,
2001,No migration background,,,,,,,,,,,,
2001,Direct migration background,,,,,,,,,,,,
2001,Indirect migration background,,,,,,,,,,,,
2002,No migration background,19120,171.34163841946605,171.27841466030506,171.40486217862704,165.0,170.0,178.0,145.5,197.5,170.0,169.0,170.0
2002,Direct migration background,2758,168.53138555632194,168.36956869383135,168.69320241881252,162.0,168.0,175.0,142.5,194.5,168.0,167.0,168.0
2002,Indirect migration background,716,172.16355734692155,171.83488708659377,172.49222760724933,165.0,172.0,180.0,150.0,196.0,172.0,171.0,174.0
2003,No migration background,,,,,,,,,,,,
2003,Direct migration background,,,,,,,,,,,,
2003,Indirect migration background,,,,,,,,,,,,
2004,No migration background,17936,171.44577936242501,171.37973220227397,171.51182652257606,165.0,171.0,178.0,145.5,197.5,171.0,171.0,172.0
2004,Direct migration background,2486,168.53348829310693,168.35928852434262,168.70768806187124,162.0,168.0,175.0,142.5,194.5,168.0,167.0,168.0
2004,Indirect migration background,734,172.36253566739714,172.03779210820292,172.68727922659136,165.0,172.0,180.0,150.0,199.0,172.0,171.0,174.0
2005,No migration background,,,,,,,,,,,,
2005,Direct migration background,,,,,,,,,,,,
2005,Indirect migration background,,,,,,,,,,,,
2006,No migration background,18702,171.60900683419507,171.54382839769704,171.6741852706931,165.0,171.0,178.0,145.5,197.5,171.0,170.0,172.0
2006,Direct migration background,2371,168.5928003839794,168.41129471450392,168.7743060534549,162.0,168.0,175.0,142.5,194.5,168.0,168.0,169.0
2006,Indirect migration background,801,172.30693608163244,171.9812020339006,172.6326701293643,165.0,172.0,179.0,150.0,198.0,172.0,172.0,174.0
2007,No migration background,,,,,,,,,,,,
2007,Direct migration background,,,,,,,,,,,,
2007,Indirect migration background,,,,,,,,,,,,
2008,No migration background,16592,171.81364618506393,171.74397733233982,171.88331503778804,165.0,171.0,178.0,145.5,197.5,171.0,170.0,171.0
2008,Direct migration background,1905,168.60687275815067,168.40490270029264,168.8088428160087,162.0,168.0,175.0,142.5,194.5,168.0,167.0,168.0
2008,Indirect migration background,764,172.150496869595,171.82356674502321,172.4774269941668,165.0,171.0,179.0,150.0,199.0,171.0,169.0,172.0
2009,No migration background,,,,,,,,,,,,
2009,Direct migration background,,,,,,,,,,,,
2009,Indirect migration background,,,,,,,,,,,,
2010,No migration background,14462,171.82835028881166,171.75349862948514,171.9032019481382,165.0,172.0,178.0,145.5,197.5,172.0,172.0,173.0
2010,Direct migration background,1467,168.44030384327672,168.2093547373231,168.67125294923034,162.0,168.0,175.0,142.5,194.5,168.0,168.0,169.0
2010,Indirect migration background,651,173.14641503885332,172.804249153809,173.48858092389764,167.0,172.0,180.0,150.0,199.5,172.0,170.0,174.0
2011,No migration background,,,,,,,,,,,,
2011,Direct migration background,,,,,,,,,,,,
2011,Indirect migration background,,,,,,,,,,,,
2012,No migration background,17677,171.8538515490257,171.78546482611188,171.92223827193953,165.0,172.0,178.0,145.5,197.5,172.0,172.0,173.0
2012,Direct migration background,1974,168.99729502140008,168.79616396818804,169.19842607461212,162.0,168.0,175.0,143.0,194.5,168.0,166.0,168.0
2012,Indirect migration background,775,172.56367792604073,172.2476100204926,172.87974583158885,165.0,172.0,179.0,144.0,200.0,172.0,170.975,174.0
2013,No migration background,,,,,,,,,,,,
2013,Direct migration background,,,,,,,,,,,,
2013,Indirect migration background,,,,,,,,,,,,
2014,No migration background,20078,172.0373861304513,171.97276137844605,172.10201088245654,165.0,172.0,179.0,144.0,200.0,172.0,172.0,172.0
2014,Direct migration background,5208,169.41625026588025,169.2878477692759,169.5446527624846,162.0,170.0,176.0,141.0,197.0,170.0,170.0,171.025
2014,Indirect migration background,1711,172.89140750869538,172.6636128596986,173.11920215769217,165.0,172.0,180.0,142.5,200.0,172.0,171.0,173.0
2015,No migration background,,,,,,,,,,,,
2015,Direct migration background,,,,,,,,,,,,
2015,Indirect migration background,,,,,,,,,,,,
2016,No migration background,17733,172.25700237365731,172.18833666655274,172.3256680807619,165.0,172.0,179.0,144.0,200.0,172.0,172.0,172.0
2016,Direct migration background,4858,169.4245226153614,169.29217203933976,169.55687319138306,162.0,169.0,176.0,141.0,197.0,169.0,168.0,170.0
2016,Indirect migration background,1468,172.63208610160336,172.39555020048488,172.86862200272185,165.0,172.0,180.0,144.0,200.0,172.0,171.0,174.0
2017,No migration background,,,,,,,,,,,,
2017,Direct migration background,,,,,,,,,,,,
2017,Indirect migration background,,,,,,,,,,,,
2018,No migration background,19390,172.4295912810164,172.36272755748095,172.49645500455185,165.0,172.0,180.0,142.5,202.5,172.0,172.0,172.0
2018,Direct migration background,7644,169.34966541662217,169.24413290187832,169.45519793136603,162.0,169.0,176.0,141.0,197.0,169.0,168.0,170.0
2018,Indirect migration background,1629,172.1601277615823,171.93883218990572,172.38142333325885,165.0,171.0,178.0,145.5,197.5,171.0,170.0,172.0
2019,No migration background,,,,,,,,,,,,
2019,Direct migration background,,,,,,,,,,,,
2019,Indirect migration background,,,,,,,,,,,,
2020,No migration background,18511,172.56483263877334,172.4962225080534,172.63344276949329,165.0,172.0,180.0,142.5,202.5,172.0,172.0,172.0
2020,Direct migration background,5519,169.63357400891468,169.5071274627592,169.76002055507016,163.0,170.0,176.0,143.5,195.5,170.0,170.0,171.0
2020,Indirect migration background,1531,172.2795139579829,172.04764781284558,172.51138010312025,165.0,172.0,180.0,144.0,200.0,172.0,171.0,174.0
2021,No migration background,,,,,,,,,,,,
2021,Direct migration background,,,,,,,,,,,,
2021,Indirect migration background,,,,,,,,,,,,
