year,regtyp,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Urban regions,"No, definitely not",0.25029,2039,3362,0.23564,0.26493
1994,Urban regions,Probably not,0.01493,169,3362,0.01083,0.01903
1994,Urban regions,Probably,0.02692,338,3362,0.02145,0.03239
1994,Urban regions,"Yes, definitely",0.06789,816,3362,0.05939,0.07640
1994,Rural regions,"No, definitely not",0.25921,1057,1771,0.23880,0.27963
1994,Rural regions,Probably not,0.01584,80,1771,0.01002,0.02166
1994,Rural regions,Probably,0.02272,138,1771,0.01578,0.02967
1994,Rural regions,"Yes, definitely",0.07688,496,1771,0.06447,0.08929
1995,Urban regions,"No, definitely not",0.25150,2071,3485,0.23710,0.26591
1995,Urban regions,Probably not,0.01556,176,3485,0.01145,0.01968
1995,Urban regions,Probably,0.02862,363,3485,0.02308,0.03415
1995,Urban regions,"Yes, definitely",0.06867,875,3485,0.06027,0.07707
1995,Rural regions,"No, definitely not",0.25243,1045,1783,0.23226,0.27259
1995,Rural regions,Probably not,0.01884,102,1783,0.01253,0.02515
1995,Rural regions,Probably,0.02202,152,1783,0.01521,0.02883
1995,Rural regions,"Yes, definitely",0.07051,484,1783,0.05863,0.08240
1996,Urban regions,"No, definitely not",0.25394,2055,3444,0.23940,0.26848
1996,Urban regions,Probably not,0.01644,173,3444,0.01220,0.02069
1996,Urban regions,Probably,0.02952,350,3444,0.02386,0.03517
1996,Urban regions,"Yes, definitely",0.06888,866,3444,0.06042,0.07734
1996,Rural regions,"No, definitely not",0.25613,1061,1818,0.23606,0.27620
1996,Rural regions,Probably not,0.01679,83,1818,0.01088,0.02270
1996,Rural regions,Probably,0.02134,164,1818,0.01470,0.02799
1996,Rural regions,"Yes, definitely",0.07753,510,1818,0.06524,0.08983
1997,Urban regions,"No, definitely not",0.25717,2071,3445,0.24258,0.27177
1997,Urban regions,Probably not,0.01670,184,3445,0.01242,0.02098
1997,Urban regions,Probably,0.02975,345,3445,0.02408,0.03542
1997,Urban regions,"Yes, definitely",0.06830,845,3445,0.05988,0.07673
1997,Rural regions,"No, definitely not",0.25697,1046,1800,0.23678,0.27716
