year,sex,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,male,"No, definitely not",0.18234,1084,1822,0.16461,0.20008
1994,male,Probably not,0.00620,53,1822,0.00260,0.00981
1994,male,Probably,0.01050,89,1822,0.00582,0.01518
1994,male,"Yes, definitely",0.06993,596,1822,0.05821,0.08164
1994,female,"No, definitely not",0.32030,2012,3311,0.30440,0.33619
1994,female,Probably not,0.02378,196,3311,0.01859,0.02897
1994,female,Probably,0.03994,387,3311,0.03327,0.04661
1994,female,"Yes, definitely",0.07147,716,3311,0.06270,0.08025
1995,male,"No, definitely not",0.18265,1105,1865,0.16511,0.20019
1995,male,Probably not,0.00702,55,1865,0.00323,0.01082
1995,male,Probably,0.00934,83,1865,0.00497,0.01371
1995,male,"Yes, definitely",0.06726,622,1865,0.05589,0.07863
1995,female,"No, definitely not",0.31759,2011,3403,0.30195,0.33323
1995,female,Probably not,0.02574,223,3403,0.02042,0.03106
1995,female,Probably,0.04283,432,3403,0.03603,0.04964
1995,female,"Yes, definitely",0.07117,737,3403,0.06253,0.07981
1996,male,"No, definitely not",0.19066,1119,1900,0.17299,0.20832
1996,male,Probably not,0.00664,57,1900,0.00299,0.01029
1996,male,Probably,0.00908,85,1900,0.00482,0.01335
1996,male,"Yes, definitely",0.06987,639,1900,0.05840,0.08134
1996,female,"No, definitely not",0.31566,1997,3362,0.29994,0.33137
1996,female,Probably not,0.02601,199,3362,0.02063,0.03139
1996,female,Probably,0.04400,429,3362,0.03706,0.05093
1996,female,"Yes, definitely",0.07325,737,3362,0.06444,0.08205
1997,male,"No, definitely not",0.19421,1142,1931,0.17656,0.21186
1997,male,Probably not,0.00725,58,1931,0.00346,0.01103
1997,male,Probably,0.01170,105,1931,0.00691,0.01650
1997,male,"Yes, definitely",0.07068,626,1931,0.05925,0.08212
1997,female,"No, definitely not",0.31714,1975,3315,0.30129,0.33298
1997,female,Probably not,0.02760,224,3315,0.02203,0.03318
1997,female,Probably,0.04578,411,3315,0.03867,0.05290
1997,female,"Yes, definitely",0.07087,705,3315,0.06214,0.07961
1998,male,"No, definitely not",0.19695,1351,2205,0.18035,0.21355
1998,male,Probably not,0.00898,74,2205,0.00504,0.01292
1998,male,Probably,0.00985,81,2205,0.00572,0.01397
1998,male,"Yes, definitely",0.07037,699,2205,0.05969,0.08104
1998,female,"No, definitely not",0.32183,2304,3694,0.30676,0.33690
1998,female,Probably not,0.02578,235,3694,0.02067,0.03089
1998,female,Probably,0.03655,372,3694,0.03050,0.04260
1998,female,"Yes, definitely",0.07352,783,3694,0.06510,0.08194
1999,male,"No, definitely not",0.20557,1346,2056,0.18810,0.22304
1999,male,Probably not,0.00597,47,2056,0.00264,0.00931
1999,male,Probably,0.00876,76,2056,0.00473,0.01278
1999,male,"Yes, definitely",0.06354,587,2056,0.05300,0.07409
1999,female,"No, definitely not",0.32006,2197,3437,0.30446,0.33565
1999,female,Probably not,0.02082,182,3437,0.01605,0.02560
1999,female,Probably,0.03274,332,3437,0.02679,0.03869
1999,female,"Yes, definitely",0.07074,726,3437,0.06217,0.07932
2000,male,"No, definitely not",0.20431,2619,3833,0.19155,0.21708
2000,male,Probably not,0.00609,90,3833,0.00363,0.00855
2000,male,Probably,0.00993,152,3833,0.00679,0.01306
2000,male,"Yes, definitely",0.06106,972,3833,0.05348,0.06865
2000,female,"No, definitely not",0.31690,4065,6247,0.30536,0.32843
