year,age_gr,migback,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,No migration background,"No, definitely not",0.02364,58,799,0.01310,0.03418
1994,17-29 y.,No migration background,Probably not,0.01770,42,799,0.00855,0.02685
1994,17-29 y.,No migration background,Probably,0.04402,108,799,0.02979,0.05826
1994,17-29 y.,No migration background,"Yes, definitely",0.25021,591,799,0.22016,0.28027
1994,17-29 y.,Direct migration background,"No, definitely not",0.10806,65,199,0.06482,0.15131
1994,17-29 y.,Direct migration background,Probably,0.08411,39,199,0.04545,0.12277
1994,17-29 y.,Direct migration background,"Yes, definitely",0.20323,95,199,0.14718,0.25928
1994,17-29 y.,Indirect migration background,"Yes, definitely",0.33306,125,125,0.25010,0.41602
1994,30-45 y.,No migration background,"No, definitely not",0.03898,109,658,0.02418,0.05379
1994,30-45 y.,No migration background,Probably not,0.02486,78,658,0.01295,0.03676
1994,30-45 y.,No migration background,Probably,0.05089,172,658,0.03408,0.06769
1994,30-45 y.,No migration background,"Yes, definitely",0.07913,299,658,0.05849,0.09977
1994,30-45 y.,Direct migration background,"No, definitely not",0.10366,79,179,0.05888,0.14845
1994,30-45 y.,Direct migration background,Probably,0.05573,42,179,0.02203,0.08943
1994,30-45 y.,Direct migration background,"Yes, definitely",0.07454,58,179,0.03595,0.11312
1994,46-65 y.,No migration background,"No, definitely not",0.35009,987,1245,0.32358,0.37659
1994,46-65 y.,No migration background,Probably not,0.02634,78,1245,0.01744,0.03524
1994,46-65 y.,No migration background,Probably,0.01945,69,1245,0.01178,0.02713
1994,46-65 y.,No migration background,"Yes, definitely",0.03314,111,1245,0.02319,0.04309
1994,46-65 y.,Direct migration background,"No, definitely not",0.37144,346,346,0.32046,0.42243
1994,66 and older,No migration background,"No, definitely not",0.94962,1257,1257,0.93753,0.96172
1994,66 and older,Direct migration background,"No, definitely not",0.95316,163,163,0.92063,0.98570
1995,17-29 y.,No migration background,"No, definitely not",0.02620,64,773,0.01493,0.03747
1995,17-29 y.,No migration background,Probably not,0.02199,51,773,0.01165,0.03234
1995,17-29 y.,No migration background,Probably,0.05153,113,773,0.03593,0.06712
1995,17-29 y.,No migration background,"Yes, definitely",0.23745,545,773,0.20744,0.26747
1995,17-29 y.,Direct migration background,"No, definitely not",0.07995,54,251,0.04633,0.11357
1995,17-29 y.,Direct migration background,Probably,0.06094,53,251,0.03129,0.09059
1995,17-29 y.,Direct migration background,"Yes, definitely",0.27849,144,251,0.22292,0.33406
1995,17-29 y.,Indirect migration background,"Yes, definitely",0.27202,116,116,0.19069,0.35336
1995,30-45 y.,No migration background,"No, definitely not",0.03705,117,660,0.02263,0.05147
1995,30-45 y.,No migration background,Probably not,0.02831,92,660,0.01565,0.04097
1995,30-45 y.,No migration background,Probably,0.04693,162,660,0.03078,0.06308
1995,30-45 y.,No migration background,"Yes, definitely",0.07767,289,660,0.05723,0.09810
1995,30-45 y.,Direct migration background,"No, definitely not",0.07992,79,250,0.04624,0.11360
1995,30-45 y.,Direct migration background,Probably,0.06869,59,250,0.03728,0.10011
1995,30-45 y.,Direct migration background,"Yes, definitely",0.13044,112,250,0.08861,0.17228
1995,46-65 y.,No migration background,"No, definitely not",0.34046,931,1183,0.31344,0.36747
1995,46-65 y.,No migration background,Probably not,0.02893,86,1183,0.01937,0.03848
