year,sampreg,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,West,"No, definitely not",0.25570,2261,3626,0.24150,0.26990
1994,West,Probably not,0.01537,187,3626,0.01137,0.01937
1994,West,Probably,0.02587,359,3626,0.02070,0.03104
1994,West,"Yes, definitely",0.06383,819,3626,0.05588,0.07179
1994,East,"No, definitely not",0.24263,835,1507,0.22098,0.26428
1994,East,Probably not,0.01459,62,1507,0.00853,0.02065
1994,East,Probably,0.02452,117,1507,0.01671,0.03233
1994,East,"Yes, definitely",0.09842,493,1507,0.08338,0.11346
1995,West,"No, definitely not",0.25107,2292,3831,0.23733,0.26480
1995,West,Probably not,0.01662,197,3831,0.01258,0.02067
1995,West,Probably,0.02751,411,3831,0.02233,0.03270
1995,West,"Yes, definitely",0.06614,931,3831,0.05827,0.07401
1995,East,"No, definitely not",0.25486,824,1437,0.23232,0.27740
1995,East,Probably not,0.01657,81,1437,0.00997,0.02317
1995,East,Probably,0.02227,104,1437,0.01464,0.02991
1995,East,"Yes, definitely",0.08231,428,1437,0.06809,0.09652
1996,West,"No, definitely not",0.25441,2278,3767,0.24050,0.26832
1996,West,Probably not,0.01686,186,3767,0.01275,0.02098
1996,West,Probably,0.02749,388,3767,0.02227,0.03271
1996,West,"Yes, definitely",0.06606,915,3767,0.05812,0.07399
1996,East,"No, definitely not",0.25558,838,1495,0.23346,0.27769
1996,East,Probably not,0.01523,70,1495,0.00902,0.02144
1996,East,Probably,0.02464,126,1495,0.01678,0.03250
1996,East,"Yes, definitely",0.09532,461,1495,0.08043,0.11021
1997,West,"No, definitely not",0.25595,2265,3749,0.24198,0.26992
1997,West,Probably not,0.01800,214,3749,0.01374,0.02226
1997,West,Probably,0.02860,390,3749,0.02327,0.03394
1997,West,"Yes, definitely",0.06598,880,3749,0.05804,0.07393
1997,East,"No, definitely not",0.26195,852,1497,0.23967,0.28424
1997,East,Probably not,0.01618,68,1497,0.00979,0.02258
1997,East,Probably,0.03142,126,1497,0.02258,0.04026
1997,East,"Yes, definitely",0.09151,451,1497,0.07690,0.10613
1998,West,"No, definitely not",0.26072,2730,4272,0.24755,0.27389
1998,West,Probably not,0.01806,240,4272,0.01407,0.02205
1998,West,Probably,0.02359,350,4272,0.01904,0.02814
1998,West,"Yes, definitely",0.06539,952,4272,0.05798,0.07280
1998,East,"No, definitely not",0.26115,925,1627,0.23979,0.28250
1998,East,Probably not,0.01549,69,1627,0.00949,0.02149
1998,East,Probably,0.02313,103,1627,0.01582,0.03043
1998,East,"Yes, definitely",0.10016,530,1627,0.08557,0.11475
1999,West,"No, definitely not",0.26053,2586,3908,0.24677,0.27429
1999,West,Probably not,0.01338,169,3908,0.00978,0.01698
1999,West,Probably,0.02138,313,3908,0.01684,0.02592
1999,West,"Yes, definitely",0.06102,840,3908,0.05351,0.06852
1999,East,"No, definitely not",0.27957,957,1585,0.25746,0.30167
1999,East,Probably not,0.01435,60,1585,0.00849,0.02020
1999,East,Probably,0.01936,95,1585,0.01257,0.02615
1999,East,"Yes, definitely",0.09454,473,1585,0.08013,0.10895
2000,West,"No, definitely not",0.25745,5089,7501,0.24756,0.26735
2000,West,Probably not,0.01330,333,7501,0.01071,0.01589
2000,West,Probably,0.02429,630,7501,0.02080,0.02777
2000,West,"Yes, definitely",0.05653,1449,7501,0.05130,0.06175
2000,East,"No, definitely not",0.28089,1595,2579,0.26354,0.29824
2000,East,Probably not,0.01425,101,2579,0.00967,0.01882
2000,East,Probably,0.02029,144,2579,0.01485,0.02573
2000,East,"Yes, definitely",0.09396,739,2579,0.08269,0.10522
2001,West,"No, definitely not",0.25791,4614,6734,0.24746,0.26836
2001,West,Probably not,0.01314,292,6734,0.01042,0.01586
2001,West,Probably,0.02147,486,6734,0.01801,0.02494
2001,West,"Yes, definitely",0.05962,1342,6734,0.05396,0.06528
2001,East,"No, definitely not",0.28613,1501,2409,0.26808,0.30418
2001,East,Probably not,0.01148,78,2409,0.00723,0.01574
2001,East,Probably,0.02215,148,2409,0.01627,0.02803
2001,East,"Yes, definitely",0.09522,682,2409,0.08350,0.10695
2002,West,"No, definitely not",0.25672,4648,6938,0.24644,0.26700
2002,West,Probably not,0.01245,279,6938,0.00984,0.01506
2002,West,Probably,0.02175,500,6938,0.01832,0.02518
2002,West,"Yes, definitely",0.06749,1511,6938,0.06159,0.07340
2002,East,"No, definitely not",0.28570,1475,2414,0.26767,0.30372
2002,East,Probably not,0.01294,77,2414,0.00843,0.01745
2002,East,Probably,0.02113,125,2414,0.01539,0.02687
2002,East,"Yes, definitely",0.11293,737,2414,0.10030,0.12555
2003,West,"No, definitely not",0.25333,4523,6698,0.24292,0.26375
2003,West,Probably not,0.01164,253,6698,0.00907,0.01420
2003,West,Probably,0.02127,463,6698,0.01782,0.02473
2003,West,"Yes, definitely",0.06850,1459,6698,0.06245,0.07455
2003,East,"No, definitely not",0.28861,1477,2451,0.27067,0.30656
2003,East,Probably not,0.01681,97,2451,0.01172,0.02190
2003,East,Probably,0.02224,140,2451,0.01640,0.02808
2003,East,"Yes, definitely",0.11615,737,2451,0.10347,0.12884
2004,West,"No, definitely not",0.25444,4394,6655,0.24398,0.26491
2004,West,Probably not,0.01271,241,6655,0.01001,0.01540
