year,sex,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,No,0.83439,8585,8585,0.82653,0.84226
2009,female,Yes,0.00443,35,9420,0.00309,0.00577
2009,female,No,0.84676,9385,9420,0.83948,0.85403
2011,male,No,0.76443,9767,9767,0.75601,0.77285
2011,female,Yes,0.00340,36,10956,0.00231,0.00449
2011,female,No,0.76418,10920,10956,0.75623,0.77213
2013,male,No,0.70504,8817,8817,0.69552,0.71456
2013,female,Yes,0.00362,41,10032,0.00245,0.00480
2013,female,No,0.71246,9991,10032,0.70360,0.72132
2015,male,No,0.81460,11429,11429,0.80747,0.82172
2015,female,Yes,0.00369,36,13582,0.00267,0.00472
2015,female,No,0.82937,13546,13582,0.82304,0.83569
2017,male,No,0.82244,12233,12233,0.81567,0.82921
2017,female,Yes,0.00392,35,14288,0.00289,0.00494
2017,female,No,0.83918,14253,14288,0.83316,0.84520
2019,male,Yes,0.00294,46,12278,0.00199,0.00390
2019,male,No,0.81951,12232,12278,0.81271,0.82632
2019,female,Yes,0.00307,36,13440,0.00213,0.00400
2019,female,No,0.83723,13404,13440,0.83099,0.84347
2021,male,No,0.81625,9271,9271,0.80837,0.82414
2021,female,No,0.82573,9842,9842,0.81824,0.83322
