year,sampreg,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.00289,35,13477,0.00198,0.00380
2009,West,No,0.83497,13442,13477,0.82870,0.84123
2009,East,No,0.86631,4528,4528,0.85639,0.87622
2011,West,Yes,0.00274,45,15840,0.00192,0.00355
2011,West,No,0.75759,15795,15840,0.75092,0.76427
2011,East,No,0.79546,4892,4892,0.78416,0.80677
2013,West,Yes,0.00238,39,14414,0.00158,0.00317
2013,West,No,0.69430,14375,14414,0.68677,0.70182
2013,East,No,0.77725,4433,4433,0.76500,0.78950
2015,West,Yes,0.00300,46,19787,0.00224,0.00376
2015,West,No,0.81798,19741,19787,0.81261,0.82336
2015,East,No,0.84142,5234,5234,0.83153,0.85132
2017,West,Yes,0.00275,46,20959,0.00204,0.00345
2017,West,No,0.82951,20913,20959,0.82442,0.83460
2017,East,No,0.83735,5573,5573,0.82766,0.84704
2019,West,Yes,0.00278,58,20103,0.00205,0.00351
2019,West,No,0.82639,20045,20103,0.82115,0.83162
2019,East,No,0.83723,5522,5522,0.82750,0.84697
2021,West,Yes,0.00198,35,15317,0.00127,0.00268
2021,West,No,0.82038,15282,15317,0.81430,0.82645
2021,East,No,0.82436,3838,3838,0.81232,0.83640
