year,age_gr,pgisced97,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Pre-primary Level,No,0.63005,313,313,0.57647,0.68362
2009,17-29 y.,Lower Secondary Level,No,0.91680,476,476,0.89196,0.94163
2009,17-29 y.,Upper Secondary Level,No,0.99935,1262,1262,0.99795,1.00076
2009,30-45 y.,Upper Secondary Level,No,0.99894,2329,2329,0.99762,1.00026
2009,46-65 y.,Primary Level,No,0.89825,51,51,0.81445,0.98205
2009,46-65 y.,Lower Secondary Level,No,0.99009,386,386,0.98020,0.99999
2009,46-65 y.,Upper Secondary Level,No,0.99919,3293,3293,0.99822,1.00016
2009,66 and older,Lower Secondary Level,No,0.96771,636,636,0.95396,0.98146
2009,66 and older,Upper Secondary Level,No,0.99399,2156,2156,0.99073,0.99725
2009,66 and older,Post-secondary Non-tertiary Level,No,0.98878,94,94,0.96737,1.01019
2009,66 and older,First Stage of Tertiary Education,No,0.99734,314,314,0.99164,1.00305
2009,66 and older,Second Stage of Tertiary Education,No,0.99577,878,878,0.99148,1.00007
2011,17-29 y.,Pre-primary Level,No,0.47233,313,313,0.41693,0.52773
2011,17-29 y.,Primary Level,No,0.73069,37,37,0.58578,0.87560
2011,17-29 y.,Lower Secondary Level,No,0.77406,476,476,0.73645,0.81167
2011,17-29 y.,Upper Secondary Level,No,0.92288,1352,1352,0.90866,0.93711
2011,17-29 y.,Post-secondary Non-tertiary Level,No,0.95254,215,215,0.92405,0.98103
2011,17-29 y.,First Stage of Tertiary Education,No,0.94121,50,50,0.87534,1.00707
2011,17-29 y.,Second Stage of Tertiary Education,No,0.95168,287,287,0.92683,0.97653
2011,30-45 y.,Primary Level,No,0.66029,61,61,0.54044,0.78013
2011,30-45 y.,Lower Secondary Level,No,0.74043,334,334,0.69334,0.78751
2011,30-45 y.,Upper Secondary Level,No,0.78972,2376,2376,0.77333,0.80611
2011,30-45 y.,Post-secondary Non-tertiary Level,No,0.77122,471,471,0.73324,0.80919
2011,30-45 y.,First Stage of Tertiary Education,No,0.85668,368,368,0.82083,0.89253
2011,30-45 y.,Second Stage of Tertiary Education,No,0.80398,1226,1226,0.78175,0.82621
2011,46-65 y.,Primary Level,No,0.91823,71,71,0.85404,0.98242
2011,46-65 y.,Lower Secondary Level,No,0.94964,533,533,0.93105,0.96822
2011,46-65 y.,Upper Secondary Level,No,0.96476,4120,4120,0.95913,0.97039
2011,46-65 y.,Post-secondary Non-tertiary Level,No,0.92339,391,391,0.89700,0.94979
2011,46-65 y.,First Stage of Tertiary Education,No,0.96018,651,651,0.94514,0.97521
2011,46-65 y.,Second Stage of Tertiary Education,No,0.95356,1987,1987,0.94430,0.96281
2011,66 and older,Lower Secondary Level,No,0.96961,797,797,0.95769,0.98154
2011,66 and older,Upper Secondary Level,No,0.99133,2619,2619,0.98778,0.99488
2011,66 and older,First Stage of Tertiary Education,No,0.99604,376,376,0.98968,1.00240
2011,66 and older,Second Stage of Tertiary Education,No,0.99147,1080,1080,0.98598,0.99696
2013,17-29 y.,Pre-primary Level,No,0.37964,260,260,0.32054,0.43875
2013,17-29 y.,Primary Level,No,0.52241,33,33,0.34934,0.69548
2013,17-29 y.,Lower Secondary Level,No,0.57034,381,381,0.52057,0.62012
2013,17-29 y.,Upper Secondary Level,No,0.77791,1121,1121,0.75357,0.80225
2013,17-29 y.,Post-secondary Non-tertiary Level,No,0.81906,164,164,0.75996,0.87816
2013,17-29 y.,First Stage of Tertiary Education,No,0.92409,45,45,0.84583,1.00235
2013,17-29 y.,Second Stage of Tertiary Education,No,0.82263,304,304,0.77962,0.86564
2013,30-45 y.,Primary Level,No,0.39660,52,52,0.26234,0.53086
2013,30-45 y.,Lower Secondary Level,No,0.52018,279,279,0.46145,0.57891
2013,30-45 y.,Upper Secondary Level,No,0.68924,1894,1894,0.66839,0.71008
2013,30-45 y.,Post-secondary Non-tertiary Level,No,0.65010,410,410,0.60388,0.69633
2013,30-45 y.,First Stage of Tertiary Education,No,0.84246,300,300,0.80116,0.88375
2013,30-45 y.,Second Stage of Tertiary Education,No,0.71667,1118,1118,0.69025,0.74310
2013,46-65 y.,Primary Level,No,0.59909,58,58,0.47186,0.72632
2013,46-65 y.,Lower Secondary Level,No,0.80692,462,462,0.77089,0.84295
2013,46-65 y.,Upper Secondary Level,No,0.93077,3849,3849,0.92275,0.93879
2013,46-65 y.,Post-secondary Non-tertiary Level,No,0.79543,406,406,0.75614,0.83471
2013,46-65 y.,First Stage of Tertiary Education,No,0.93437,634,634,0.91508,0.95366
