year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,4.45490,4.40091,4.50889,2.00000,4.00000,5.00000,0.00000,9.50000,21441.00000
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,,,,,,
2007,,,,,,,,,
2008,4.10226,4.05099,4.15352,2.00000,3.00000,5.00000,0.00000,9.50000,18695.00000
2009,,,,,,,,,
2010,,,,,,,,,
2011,4.52199,4.44976,4.59421,2.00000,4.00000,5.00000,0.00000,9.50000,20262.00000
2012,,,,,,,,,
2013,4.23717,4.19259,4.28175,2.00000,3.00000,5.00000,0.00000,9.50000,25132.00000
2014,,,,,,,,,
2015,4.08775,4.04309,4.13240,2.00000,3.00000,5.00000,0.00000,9.50000,26530.00000
2016,,,,,,,,,
2017,4.05083,4.00705,4.09460,2.00000,3.00000,5.00000,0.00000,9.50000,26368.00000
2018,4.26004,4.21182,4.30826,2.00000,3.00000,5.00000,0.00000,9.50000,28484.00000
2019,,,,,,,,,
2020,4.11729,4.06928,4.16529,2.00000,3.00000,5.00000,0.00000,9.50000,25458.00000
2021,4.49880,4.44324,4.55437,2.00000,4.00000,5.00000,0.00000,9.50000,17082.00000
2022,4.85586,4.80553,4.90619,2.00000,4.00000,6.00000,0.00000,12.00000,27375.00000
