year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,,,,,,,,,,,,
1985,Rural regions,,,,,,,,,,,,
1986,Urban regions,,,,,,,,,,,,
1986,Rural regions,,,,,,,,,,,,
1987,Urban regions,,,,,,,,,,,,
1987,Rural regions,,,,,,,,,,,,
1988,Urban regions,,,,,,,,,,,,
1988,Rural regions,,,,,,,,,,,,
1989,Urban regions,,,,,,,,,,,,
1989,Rural regions,,,,,,,,,,,,
1990,Urban regions,,,,,,,,,,,,
1990,Rural regions,,,,,,,,,,,,
1991,Urban regions,,,,,,,,,,,,
1991,Rural regions,,,,,,,,,,,,
1992,Urban regions,,,,,,,,,,,,
1992,Rural regions,,,,,,,,,,,,
1993,Urban regions,,,,,,,,,,,,
1993,Rural regions,,,,,,,,,,,,
1994,Urban regions,,,,,,,,,,,,
1994,Rural regions,,,,,,,,,,,,
1995,Urban regions,,,,,,,,,,,,
1995,Rural regions,,,,,,,,,,,,
1996,Urban regions,,,,,,,,,,,,
1996,Rural regions,,,,,,,,,,,,
1997,Urban regions,,,,,,,,,,,,
1997,Rural regions,,,,,,,,,,,,
1998,Urban regions,,,,,,,,,,,,
1998,Rural regions,,,,,,,,,,,,
1999,Urban regions,,,,,,,,,,,,
1999,Rural regions,,,,,,,,,,,,
2000,Urban regions,,,,,,,,,,,,
2000,Rural regions,,,,,,,,,,,,
2001,Urban regions,,,,,,,,,,,,
2001,Rural regions,,,,,,,,,,,,
2002,Urban regions,,,,,,,,,,,,
2002,Rural regions,,,,,,,,,,,,
2003,Urban regions,14041,4.513596315151641,4.481354443344241,4.545838186959042,2.0,4.0,6.0,0.0,12.0,4.0,4.0,4.0
2003,Rural regions,7056,4.2888836809249415,4.243336902995994,4.334430458853889,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2004,Urban regions,,,,,,,,,,,,
2004,Rural regions,,,,,,,,,,,,
2005,Urban regions,,,,,,,,,,,,
2005,Rural regions,,,,,,,,,,,,
2006,Urban regions,,,,,,,,,,,,
2006,Rural regions,,,,,,,,,,,,
2007,Urban regions,,,,,,,,,,,,
2007,Rural regions,,,,,,,,,,,,
2008,Urban regions,12293,4.074199245424023,4.044322811764792,4.1040756790832535,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2008,Rural regions,6402,4.162431436193411,4.11778426688744,4.207078605499382,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2009,Urban regions,,,,,,,,,,,,
2009,Rural regions,,,,,,,,,,,,
2010,Urban regions,,,,,,,,,,,,
2010,Rural regions,,,,,,,,,,,,
2011,Urban regions,13061,4.515186207909446,4.476768760523752,4.55360365529514,2.0,4.0,5.0,0.0,9.5,4.0,4.0,4.0
2011,Rural regions,7199,4.534477811119347,4.463082361189874,4.60587326104882,2.0,3.0,5.0,0.0,9.5,3.0,2.0,3.0
2012,Urban regions,,,,,,,,,,,,
2012,Rural regions,,,,,,,,,,,,
2013,Urban regions,15985,4.26844662724456,4.241356922072745,4.295536332416376,2.0,4.0,5.0,0.0,9.5,4.0,4.0,5.0
2013,Rural regions,9146,4.17241104053444,4.136424723733756,4.208397357335124,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2014,Urban regions,,,,,,,,,,,,
2014,Rural regions,,,,,,,,,,,,
2015,Urban regions,17317,4.107341638238244,4.080480671671318,4.1342026048051705,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2015,Rural regions,9210,4.046553254925454,4.009950943202514,4.0831555666483945,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2016,Urban regions,,,,,,,,,,,,
2016,Rural regions,,,,,,,,,,,,
2017,Urban regions,17034,4.05849950051217,4.032006621684644,4.084992379339695,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2017,Rural regions,9334,4.036989178717048,4.001408169063333,4.072570188370764,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2018,Urban regions,18752,4.290960599667812,4.261244013385657,4.320677185949968,2.0,3.0,5.0,0.0,9.5,3.0,2.0,3.0
2018,Rural regions,9732,4.182775822254905,4.145810908183433,4.2197407363263775,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2019,Urban regions,,,,,,,,,,,,
2019,Rural regions,,,,,,,,,,,,
2020,Urban regions,16882,4.120966172194974,4.091851544215022,4.150080800174926,2.0,3.0,5.0,0.0,9.5,3.0,2.0,3.0
2020,Rural regions,8576,4.099758600835896,4.061613882551045,4.137903319120747,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
2021,Urban regions,11317,4.517057228195637,4.484887972302908,4.549226484088366,2.0,4.0,5.0,0.0,9.5,4.0,4.0,4.0
2021,Rural regions,5764,4.466017992352303,4.417019241935863,4.5150167427687435,2.0,4.0,5.0,0.0,9.5,4.0,4.0,4.0
