"year","bildungsniveau","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2003","(Fach-)Abitur","direkter Migrationshintergrund","4.46","2.5","395","4.04","4.88"
"2003","(Fach-)Abitur","indirekter Migrationshintergrund","5.02","3.5","134","4.19","5.85"
"2003","(Fach-)Abitur","kein Migrationshintergrund","4.73","3.5","1833","4.57","4.89"
"2003","(noch) kein Abschluss","direkter Migrationshintergrund","4.04","2.5","223","3.48","4.6"
"2003","(noch) kein Abschluss","indirekter Migrationshintergrund","4.22","2.5","75","3.29","5.15"
"2003","(noch) kein Abschluss","kein Migrationshintergrund","4.88","3.5","569","4.48","5.28"
"2003","AkademikerIn","direkter Migrationshintergrund","4.44","3.5","358","4.03","4.85"
"2003","AkademikerIn","indirekter Migrationshintergrund","5.51","3.5","60","4.25","6.77"
"2003","AkademikerIn","kein Migrationshintergrund","4.83","3.5","3828","4.7","4.96"
"2003","Hauptschule","direkter Migrationshintergrund","4.69","2.5","1311","4.39","4.99"
"2003","Hauptschule","indirekter Migrationshintergrund","4.88","2.5","249","4.29","5.47"
"2003","Hauptschule","kein Migrationshintergrund","4.1","2.5","6544","4","4.2"
"2003","Realschule","direkter Migrationshintergrund","4.22","3.5","203","3.74","4.7"
"2003","Realschule","indirekter Migrationshintergrund","5.04","3.5","197","4.46","5.62"
"2003","Realschule","kein Migrationshintergrund","4.53","3.5","5210","4.42","4.64"
"2004","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2004","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2004","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2004","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2004","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2004","AkademikerIn","kein Migrationshintergrund","","","","",""
"2004","Hauptschule","direkter Migrationshintergrund","","","","",""
"2004","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2004","Hauptschule","kein Migrationshintergrund","","","","",""
"2004","Realschule","direkter Migrationshintergrund","","","","",""
"2004","Realschule","indirekter Migrationshintergrund","","","","",""
"2004","Realschule","kein Migrationshintergrund","","","","",""
"2005","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2005","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2005","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2005","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2005","AkademikerIn","kein Migrationshintergrund","","","","",""
"2005","Hauptschule","direkter Migrationshintergrund","","","","",""
"2005","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2005","Hauptschule","kein Migrationshintergrund","","","","",""
"2005","Realschule","direkter Migrationshintergrund","","","","",""
"2005","Realschule","indirekter Migrationshintergrund","","","","",""
"2005","Realschule","kein Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
