year,regtyp,sampreg,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,West,"Yes, happily",0.04942,293,5899,0.04389,0.05495
2009,Urban regions,West,"Yes, depending on situation",0.34089,2130,5899,0.32880,0.35299
2009,Urban regions,West,Rather not,0.36681,2138,5899,0.35451,0.37911
2009,Urban regions,West,Never,0.24288,1338,5899,0.23193,0.25382
2009,Urban regions,East,"Yes, happily",0.12855,81,878,0.10639,0.15070
2009,Urban regions,East,"Yes, depending on situation",0.51318,483,878,0.48009,0.54626
2009,Urban regions,East,Rather not,0.27845,253,878,0.24879,0.30812
2009,Urban regions,East,Never,0.07982,61,878,0.06189,0.09776
2009,Rural regions,West,"Yes, happily",0.04442,86,1725,0.03469,0.05414
2009,Rural regions,West,"Yes, depending on situation",0.32303,594,1725,0.30096,0.34510
2009,Rural regions,West,Rather not,0.40908,674,1725,0.38587,0.43229
2009,Rural regions,West,Never,0.22348,371,1725,0.20381,0.24314
2009,Rural regions,East,"Yes, happily",0.09268,136,1514,0.07807,0.10729
2009,Rural regions,East,"Yes, depending on situation",0.55576,843,1514,0.53072,0.58079
2009,Rural regions,East,Rather not,0.27148,425,1514,0.24907,0.29389
2009,Rural regions,East,Never,0.08008,110,1514,0.06641,0.09376
2014,Urban regions,West,"Yes, happily",0.04493,723,15343,0.04165,0.04821
2014,Urban regions,West,"Yes, depending on situation",0.27307,4106,15343,0.26602,0.28012
2014,Urban regions,West,Rather not,0.28511,4404,15343,0.27797,0.29226
2014,Urban regions,West,Never,0.39688,6110,15343,0.38914,0.40462
2014,Urban regions,East,"Yes, happily",0.09468,173,1923,0.08159,0.10777
2014,Urban regions,East,"Yes, depending on situation",0.32542,649,1923,0.30447,0.34636
2014,Urban regions,East,Rather not,0.28916,549,1923,0.26889,0.30943
2014,Urban regions,East,Never,0.29075,552,1923,0.27044,0.31105
2014,Rural regions,West,"Yes, happily",0.03764,234,5605,0.03266,0.04262
2014,Rural regions,West,"Yes, depending on situation",0.24269,1417,5605,0.23146,0.25391
2014,Rural regions,West,Rather not,0.27497,1537,5605,0.26328,0.28666
2014,Rural regions,West,Never,0.44470,2417,5605,0.43169,0.45771
2014,Rural regions,East,"Yes, happily",0.05703,222,3610,0.04947,0.06460
2014,Rural regions,East,"Yes, depending on situation",0.27807,1071,3610,0.26345,0.29269
2014,Rural regions,East,Rather not,0.27343,985,3610,0.25889,0.28797
2014,Rural regions,East,Never,0.39147,1332,3610,0.37555,0.40739
2019,No answer / don't know,Does not apply,"Yes, depending on situation",0.47548,34,34,0.30509,0.64587
2019,No answer / don't know,West,"Yes, happily",0.13328,48,391,0.09955,0.16701
2019,No answer / don't know,West,"Yes, depending on situation",0.40061,152,391,0.35197,0.44924
2019,No answer / don't know,West,Rather not,0.23273,93,391,0.19079,0.27467
2019,No answer / don't know,West,Never,0.23338,98,391,0.19140,0.27536
2019,Urban regions,West,"Yes, happily",0.05557,797,14066,0.05178,0.05935
2019,Urban regions,West,"Yes, depending on situation",0.26162,3940,14066,0.25436,0.26889
2019,Urban regions,West,Rather not,0.29551,4145,14066,0.28797,0.30305
2019,Urban regions,West,Never,0.38730,5184,14066,0.37925,0.39535
2019,Urban regions,East,"Yes, happily",0.12645,192,1878,0.11142,0.14149
2019,Urban regions,East,"Yes, depending on situation",0.31033,610,1878,0.28940,0.33126
2019,Urban regions,East,Rather not,0.23113,440,1878,0.21206,0.25020
2019,Urban regions,East,Never,0.33209,636,1878,0.31078,0.35339
2019,Rural regions,West,"Yes, happily",0.04565,225,5071,0.03991,0.05140
2019,Rural regions,West,"Yes, depending on situation",0.22870,1256,5071,0.21713,0.24026
2019,Rural regions,West,Rather not,0.29711,1407,5071,0.28453,0.30969
2019,Rural regions,West,Never,0.42854,2183,5071,0.41492,0.44217
2019,Rural regions,East,"Yes, happily",0.05680,211,3527,0.04916,0.06444
2019,Rural regions,East,"Yes, depending on situation",0.25173,962,3527,0.23740,0.26605
2019,Rural regions,East,Rather not,0.28344,986,3527,0.26857,0.29832
2019,Rural regions,East,Never,0.40803,1368,3527,0.39181,0.42425
