,Unnamed: 0,year,pgisced97,regtyp,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Pre-primary Level,Urban regions,"Yes, depending on situation",0.63703,101,9520,0.5312,0.7669
1,1,2009,Pre-primary Level,Urban regions,Rather not,0.36297,53,9520,0.27718,0.46906
2,2,2009,Pre-primary Level,Rural regions,"Yes, depending on situation",1.0,44,9520,0.6997,1.29848
3,3,2009,Primary Level,Urban regions,Never,1.0,31,9520,0.73527,1.27764
4,4,2009,Lower Secondary Level,Urban regions,"Yes, depending on situation",0.23967,138,9520,0.20386,0.27058
5,5,2009,Lower Secondary Level,Urban regions,Rather not,0.29833,160,9520,0.25793,0.3416
6,6,2009,Lower Secondary Level,Urban regions,Never,0.46201,210,9520,0.40968,0.52253
7,7,2009,Lower Secondary Level,Rural regions,"Yes, depending on situation",0.33748,94,9520,0.26932,0.40732
8,8,2009,Lower Secondary Level,Rural regions,Rather not,0.35618,73,9520,0.29062,0.43284
9,9,2009,Lower Secondary Level,Rural regions,Never,0.30634,68,9520,0.25071,0.35946
10,10,2009,Upper Secondary Level,Urban regions,"Yes, happily",0.05909,147,9520,0.04988,0.07081
11,11,2009,Upper Secondary Level,Urban regions,"Yes, depending on situation",0.32505,1012,9520,0.30535,0.34201
12,12,2009,Upper Secondary Level,Urban regions,Rather not,0.36585,1081,9520,0.34492,0.38867
13,13,2009,Upper Secondary Level,Urban regions,Never,0.25001,724,9520,0.23637,0.2669
14,14,2009,Upper Secondary Level,Rural regions,"Yes, happily",0.06369,111,9520,0.05273,0.07523
15,15,2009,Upper Secondary Level,Rural regions,"Yes, depending on situation",0.39241,710,9520,0.36056,0.42156
16,16,2009,Upper Secondary Level,Rural regions,Rather not,0.37134,591,9520,0.34281,0.40205
17,17,2009,Upper Secondary Level,Rural regions,Never,0.17255,256,9520,0.1545,0.19438
18,18,2009,Post-secondary Non-tertiary Level,Urban regions,"Yes, depending on situation",0.34648,176,9520,0.29415,0.39844
19,19,2009,Post-secondary Non-tertiary Level,Urban regions,Rather not,0.41878,203,9520,0.36621,0.47629
20,20,2009,Post-secondary Non-tertiary Level,Urban regions,Never,0.23473,111,9520,0.20109,0.2827
21,21,2009,Post-secondary Non-tertiary Level,Rural regions,"Yes, depending on situation",0.49685,78,9520,0.40341,0.59887
22,22,2009,Post-secondary Non-tertiary Level,Rural regions,Rather not,0.50315,65,9520,0.40801,0.62582
23,23,2009,First Stage of Tertiary Education,Urban regions,"Yes, depending on situation",0.42714,187,9520,0.36348,0.49004
24,24,2009,First Stage of Tertiary Education,Urban regions,Rather not,0.36915,161,9520,0.3214,0.43356
25,25,2009,First Stage of Tertiary Education,Urban regions,Never,0.20372,80,9520,0.16236,0.24216
