year,age_gr,bula_h,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Lower Saxony,"Yes, depending on situation",0.40215,86,148,0.32288,0.48142
2009,17-29 y.,Lower Saxony,Rather not,0.35964,62,148,0.28206,0.43722
2009,17-29 y.,North Rhine-Westphalia,"Yes, depending on situation",0.40794,174,400,0.35972,0.45616
2009,17-29 y.,North Rhine-Westphalia,Rather not,0.37055,154,400,0.32317,0.41794
2009,17-29 y.,North Rhine-Westphalia,Never,0.19201,72,400,0.15337,0.23066
2009,17-29 y.,Hesse,"Yes, depending on situation",0.42977,62,117,0.33968,0.51986
2009,17-29 y.,Hesse,Rather not,0.33430,55,117,0.24845,0.42015
2009,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, depending on situation",0.23010,36,89,0.14216,0.31805
2009,17-29 y.,"Rhineland-Palatinate, Saarland",Rather not,0.48954,53,89,0.38510,0.59399
2009,17-29 y.,Baden-Wuerttemberg,"Yes, depending on situation",0.29477,106,301,0.24318,0.34637
2009,17-29 y.,Baden-Wuerttemberg,Rather not,0.42553,127,301,0.36958,0.48148
2009,17-29 y.,Baden-Wuerttemberg,Never,0.23721,68,301,0.18907,0.28535
2009,17-29 y.,Bavaria,"Yes, depending on situation",0.26306,105,305,0.21356,0.31255
2009,17-29 y.,Bavaria,Rather not,0.46979,127,305,0.41369,0.52589
2009,17-29 y.,Bavaria,Never,0.21419,73,305,0.16807,0.26031
2009,17-29 y.,Berlin,"Yes, depending on situation",0.49609,55,55,0.36273,0.62944
2009,17-29 y.,Brandenburg,"Yes, depending on situation",0.54640,55,55,0.41361,0.67918
2009,17-29 y.,Saxony,"Yes, depending on situation",0.56519,119,162,0.48862,0.64177
2009,17-29 y.,Saxony,Rather not,0.23012,43,162,0.16511,0.29514
2009,17-29 y.,Saxony-Anhalt,"Yes, depending on situation",0.53653,70,70,0.41886,0.65419
2009,17-29 y.,Thuringa,"Yes, depending on situation",0.54705,61,61,0.42110,0.67301
2009,30-45 y.,Lower Saxony,"Yes, depending on situation",0.39817,123,310,0.34358,0.45275
2009,30-45 y.,Lower Saxony,Rather not,0.40235,128,310,0.34768,0.45703
2009,30-45 y.,Lower Saxony,Never,0.17204,59,310,0.12996,0.21413
2009,30-45 y.,North Rhine-Westphalia,"Yes, happily",0.06219,32,654,0.04366,0.08071
2009,30-45 y.,North Rhine-Westphalia,"Yes, depending on situation",0.35475,238,654,0.31805,0.39145
2009,30-45 y.,North Rhine-Westphalia,Rather not,0.32892,224,654,0.29289,0.36496
2009,30-45 y.,North Rhine-Westphalia,Never,0.25414,160,654,0.22075,0.28753
2009,30-45 y.,Hesse,"Yes, depending on situation",0.35742,88,221,0.29409,0.42074
2009,30-45 y.,Hesse,Rather not,0.37111,84,221,0.30727,0.43495
2009,30-45 y.,Hesse,Never,0.24645,49,221,0.18950,0.30340
2009,30-45 y.,"Rhineland-Palatinate, Saarland","Yes, depending on situation",0.32859,58,165,0.25670,0.40047
2009,30-45 y.,"Rhineland-Palatinate, Saarland",Rather not,0.36259,66,165,0.28901,0.43617
2009,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.25684,41,165,0.18998,0.32371
2009,30-45 y.,Baden-Wuerttemberg,"Yes, depending on situation",0.32009,120,374,0.27275,0.36743
2009,30-45 y.,Baden-Wuerttemberg,Rather not,0.39363,159,374,0.34405,0.44321
2009,30-45 y.,Baden-Wuerttemberg,Never,0.24231,95,374,0.19882,0.28579
2009,30-45 y.,Bavaria,"Yes, depending on situation",0.26736,121,417,0.22483,0.30989
2009,30-45 y.,Bavaria,Rather not,0.38530,181,417,0.33853,0.43207
2009,30-45 y.,Bavaria,Never,0.29732,115,417,0.25339,0.34124
