,Unnamed: 0,year,quintil_oecd,regtyp,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,1st Quintile,Urban regions,"Yes, happily",0.06923,66,10014,0.0519,0.08923
1,1,2009,1st Quintile,Urban regions,"Yes, depending on situation",0.30638,341,10014,0.27318,0.33314
2,2,2009,1st Quintile,Urban regions,Rather not,0.32012,326,10014,0.29126,0.35285
3,3,2009,1st Quintile,Urban regions,Never,0.30427,298,10014,0.28172,0.32821
4,4,2009,1st Quintile,Rural regions,"Yes, happily",0.09386,46,10014,0.07016,0.11687
5,5,2009,1st Quintile,Rural regions,"Yes, depending on situation",0.43212,221,10014,0.382,0.49746
6,6,2009,1st Quintile,Rural regions,Rather not,0.29812,161,10014,0.26066,0.33355
7,7,2009,1st Quintile,Rural regions,Never,0.1759,87,10014,0.14696,0.20252
8,8,2009,2nd Quintile,Urban regions,"Yes, happily",0.07314,54,10014,0.05778,0.08829
9,9,2009,2nd Quintile,Urban regions,"Yes, depending on situation",0.32401,340,10014,0.29107,0.36366
10,10,2009,2nd Quintile,Urban regions,Rather not,0.31793,304,10014,0.28941,0.35
11,11,2009,2nd Quintile,Urban regions,Never,0.28493,251,10014,0.24508,0.31672
12,12,2009,2nd Quintile,Rural regions,"Yes, happily",0.06133,36,10014,0.04344,0.08179
13,13,2009,2nd Quintile,Rural regions,"Yes, depending on situation",0.35029,227,10014,0.31372,0.39066
14,14,2009,2nd Quintile,Rural regions,Rather not,0.36172,211,10014,0.32141,0.41035
15,15,2009,2nd Quintile,Rural regions,Never,0.22667,115,10014,0.19111,0.26398
16,16,2009,3rd Quintile,Urban regions,"Yes, happily",0.03734,48,10014,0.03025,0.04587
17,17,2009,3rd Quintile,Urban regions,"Yes, depending on situation",0.35644,427,10014,0.32668,0.39299
18,18,2009,3rd Quintile,Urban regions,Rather not,0.36576,379,10014,0.32951,0.39873
19,19,2009,3rd Quintile,Urban regions,Never,0.24047,244,10014,0.2122,0.26983
20,20,2009,3rd Quintile,Rural regions,"Yes, happily",0.03926,41,10014,0.03089,0.04947
21,21,2009,3rd Quintile,Rural regions,"Yes, depending on situation",0.42662,348,10014,0.38284,0.48227
22,22,2009,3rd Quintile,Rural regions,Rather not,0.37951,225,10014,0.32033,0.42606
23,23,2009,3rd Quintile,Rural regions,Never,0.15462,104,10014,0.13296,0.18003
24,24,2009,4th Quintile,Urban regions,"Yes, happily",0.05434,68,10014,0.04329,0.06901
25,25,2009,4th Quintile,Urban regions,"Yes, depending on situation",0.39164,554,10014,0.35819,0.41964
