year,migback,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,"Yes, happily",0.06451,546,8618,0.05933,0.06970
2009,No migration background,"Yes, depending on situation",0.40462,3678,8618,0.39426,0.41498
2009,No migration background,Rather not,0.34884,2977,8618,0.33878,0.35891
2009,No migration background,Never,0.18202,1417,8618,0.17387,0.19017
2009,Direct migration background,"Yes, depending on situation",0.22321,212,872,0.19556,0.25087
2009,Direct migration background,Rather not,0.37511,328,872,0.34296,0.40726
2009,Direct migration background,Never,0.36653,332,872,0.33452,0.39853
2009,Indirect migration background,"Yes, depending on situation",0.27251,160,476,0.23247,0.31255
2009,Indirect migration background,Rather not,0.43763,185,476,0.39302,0.48225
2009,Indirect migration background,Never,0.25739,131,476,0.21808,0.29671
2014,No migration background,"Yes, happily",0.04842,990,19669,0.04542,0.05142
2014,No migration background,"Yes, depending on situation",0.27899,5660,19669,0.27272,0.28526
2014,No migration background,Rather not,0.28528,5668,19669,0.27897,0.29159
2014,No migration background,Never,0.38731,7351,19669,0.38050,0.39412
2014,Direct migration background,"Yes, happily",0.03748,257,5150,0.03229,0.04267
2014,Direct migration background,"Yes, depending on situation",0.22179,1130,5150,0.21044,0.23314
2014,Direct migration background,Rather not,0.25987,1330,5150,0.24789,0.27185
2014,Direct migration background,Never,0.48086,2433,5150,0.46721,0.49450
2014,Indirect migration background,"Yes, happily",0.07211,105,1662,0.05967,0.08455
2014,Indirect migration background,"Yes, depending on situation",0.27646,453,1662,0.25495,0.29797
2014,Indirect migration background,Rather not,0.29018,477,1662,0.26836,0.31201
2014,Indirect migration background,Never,0.36125,627,1662,0.33815,0.38435
2019,No migration background,"Yes, happily",0.06123,1197,19647,0.05788,0.06458
2019,No migration background,"Yes, depending on situation",0.27067,5734,19647,0.26445,0.27688
2019,No migration background,Rather not,0.28987,5604,19647,0.28353,0.29621
2019,No migration background,Never,0.37823,7112,19647,0.37145,0.38502
2019,Direct migration background,"Yes, happily",0.05209,202,3898,0.04511,0.05906
2019,Direct migration background,"Yes, depending on situation",0.20511,830,3898,0.19244,0.21779
2019,Direct migration background,Rather not,0.26851,1038,3898,0.25459,0.28242
2019,Direct migration background,Never,0.47429,1828,3898,0.45861,0.48997
2019,Indirect migration background,"Yes, happily",0.05919,107,1535,0.04738,0.07100
2019,Indirect migration background,"Yes, depending on situation",0.24506,408,1535,0.22354,0.26658
2019,Indirect migration background,Rather not,0.33816,463,1535,0.31448,0.36183
2019,Indirect migration background,Never,0.35759,557,1535,0.33361,0.38158
