,Unnamed: 0,year,bula_h,quintil_oecd,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Lower Saxony,1st Quintile,"Yes, depending on situation",0.28565,40,7910,0.22228,0.34947
1,1,2009,Lower Saxony,1st Quintile,Rather not,0.38299,50,7910,0.29832,0.47952
2,2,2009,Lower Saxony,1st Quintile,Never,0.33137,41,7910,0.24282,0.42341
3,3,2009,Lower Saxony,2nd Quintile,"Yes, depending on situation",0.42131,58,7910,0.31538,0.55748
4,4,2009,Lower Saxony,2nd Quintile,Rather not,0.32161,40,7910,0.23979,0.41601
5,5,2009,Lower Saxony,2nd Quintile,Never,0.25708,37,7910,0.17465,0.34018
6,6,2009,Lower Saxony,3rd Quintile,"Yes, depending on situation",0.3848,66,7910,0.31659,0.45064
7,7,2009,Lower Saxony,3rd Quintile,Rather not,0.44937,64,7910,0.38218,0.51475
8,8,2009,Lower Saxony,3rd Quintile,Never,0.16583,36,7910,0.13537,0.20783
9,9,2009,Lower Saxony,4th Quintile,"Yes, depending on situation",0.57639,101,7910,0.46067,0.69305
10,10,2009,Lower Saxony,4th Quintile,Rather not,0.42361,83,7910,0.33481,0.52014
11,11,2009,Lower Saxony,5th Quintile,"Yes, happily",0.06551,31,7910,0.04737,0.08277
12,12,2009,Lower Saxony,5th Quintile,"Yes, depending on situation",0.41951,130,7910,0.34802,0.51429
13,13,2009,Lower Saxony,5th Quintile,Rather not,0.35288,91,7910,0.28773,0.42892
14,14,2009,Lower Saxony,5th Quintile,Never,0.1621,43,7910,0.12413,0.21176
15,15,2009,North Rhine-Westphalia,1st Quintile,"Yes, depending on situation",0.38657,93,7910,0.32331,0.45006
16,16,2009,North Rhine-Westphalia,1st Quintile,Rather not,0.2956,92,7910,0.24482,0.3519
17,17,2009,North Rhine-Westphalia,1st Quintile,Never,0.31782,102,7910,0.28094,0.36069
18,18,2009,North Rhine-Westphalia,2nd Quintile,"Yes, depending on situation",0.3252,95,7910,0.27073,0.39059
19,19,2009,North Rhine-Westphalia,2nd Quintile,Rather not,0.33846,89,7910,0.28328,0.39871
20,20,2009,North Rhine-Westphalia,2nd Quintile,Never,0.33634,93,7910,0.28392,0.38941
21,21,2009,North Rhine-Westphalia,3rd Quintile,"Yes, depending on situation",0.37355,117,7910,0.31281,0.43313
22,22,2009,North Rhine-Westphalia,3rd Quintile,Rather not,0.37869,98,7910,0.31453,0.44111
23,23,2009,North Rhine-Westphalia,3rd Quintile,Never,0.24776,70,7910,0.20687,0.29361
24,24,2009,North Rhine-Westphalia,4th Quintile,"Yes, depending on situation",0.3514,150,7910,0.29609,0.4107
25,25,2009,North Rhine-Westphalia,4th Quintile,Rather not,0.3884,158,7910,0.33682,0.44128
26,26,2009,North Rhine-Westphalia,4th Quintile,Never,0.2602,97,7910,0.21941,0.30291
27,27,2009,North Rhine-Westphalia,5th Quintile,"Yes, depending on situation",0.4149,280,7910,0.35569,0.4721
28,28,2009,North Rhine-Westphalia,5th Quintile,Rather not,0.38009,242,7910,0.33546,0.43717
29,29,2009,North Rhine-Westphalia,5th Quintile,Never,0.20501,123,7910,0.16685,0.245
30,30,2009,Hesse,1st Quintile,Never,1.0,40,7910,0.81585,1.22557
31,31,2009,Hesse,3rd Quintile,"Yes, depending on situation",0.34376,48,7910,0.258,0.45363
32,32,2009,Hesse,3rd Quintile,Rather not,0.32702,51,7910,0.25786,0.39949
33,33,2009,Hesse,3rd Quintile,Never,0.32922,36,7910,0.25736,0.4068
34,34,2009,Hesse,4th Quintile,"Yes, depending on situation",0.50095,59,7910,0.37734,0.61823
35,35,2009,Hesse,4th Quintile,Rather not,0.49905,60,7910,0.37962,0.62006
36,36,2009,Hesse,5th Quintile,"Yes, depending on situation",0.41584,141,7910,0.34969,0.48753
37,37,2009,Hesse,5th Quintile,Rather not,0.45625,124,7910,0.38433,0.56289
38,38,2009,Hesse,5th Quintile,Never,0.12791,40,7910,0.09376,0.16914
39,39,2009,"Rhineland-Palatinate, Saarland",1st Quintile,Never,1.0,40,7910,0.72914,1.29167
40,40,2009,"Rhineland-Palatinate, Saarland",2nd Quintile,Rather not,1.0,36,7910,0.64482,1.34907
41,41,2009,"Rhineland-Palatinate, Saarland",3rd Quintile,"Yes, depending on situation",0.53079,44,7910,0.37732,0.68275
42,42,2009,"Rhineland-Palatinate, Saarland",3rd Quintile,Rather not,0.46921,37,7910,0.33941,0.59513
43,43,2009,"Rhineland-Palatinate, Saarland",4th Quintile,"Yes, depending on situation",0.47255,57,7910,0.37929,0.57892
44,44,2009,"Rhineland-Palatinate, Saarland",4th Quintile,Rather not,0.52745,64,7910,0.43949,0.65427
45,45,2009,"Rhineland-Palatinate, Saarland",5th Quintile,"Yes, depending on situation",0.43848,50,7910,0.32967,0.54584
46,46,2009,"Rhineland-Palatinate, Saarland",5th Quintile,Rather not,0.56152,51,7910,0.38764,0.72355
47,47,2009,Baden-Wuerttemberg,1st Quintile,"Yes, depending on situation",0.25926,44,7910,0.18909,0.34393
48,48,2009,Baden-Wuerttemberg,1st Quintile,Rather not,0.423,48,7910,0.33323,0.51622
49,49,2009,Baden-Wuerttemberg,1st Quintile,Never,0.31774,41,7910,0.23976,0.4106
50,50,2009,Baden-Wuerttemberg,2nd Quintile,"Yes, depending on situation",0.20051,31,7910,0.15062,0.25064
51,51,2009,Baden-Wuerttemberg,2nd Quintile,Rather not,0.39102,63,7910,0.29498,0.47726
52,52,2009,Baden-Wuerttemberg,2nd Quintile,Never,0.40847,52,7910,0.32273,0.51906
53,53,2009,Baden-Wuerttemberg,3rd Quintile,"Yes, depending on situation",0.21305,45,7910,0.16332,0.26872
54,54,2009,Baden-Wuerttemberg,3rd Quintile,Rather not,0.41009,68,7910,0.32882,0.50759
55,55,2009,Baden-Wuerttemberg,3rd Quintile,Never,0.37686,59,7910,0.29777,0.47245
56,56,2009,Baden-Wuerttemberg,4th Quintile,"Yes, depending on situation",0.42982,93,7910,0.36041,0.50625
57,57,2009,Baden-Wuerttemberg,4th Quintile,Rather not,0.34976,87,7910,0.28184,0.42381
58,58,2009,Baden-Wuerttemberg,4th Quintile,Never,0.22041,66,7910,0.16909,0.2761
59,59,2009,Baden-Wuerttemberg,5th Quintile,"Yes, depending on situation",0.36616,164,7910,0.30025,0.43696
60,60,2009,Baden-Wuerttemberg,5th Quintile,Rather not,0.49767,198,7910,0.43515,0.57751
61,61,2009,Baden-Wuerttemberg,5th Quintile,Never,0.13617,59,7910,0.09095,0.19203
62,62,2009,Bavaria,1st Quintile,"Yes, depending on situation",0.19736,33,7910,0.14325,0.25475
63,63,2009,Bavaria,1st Quintile,Rather not,0.39921,60,7910,0.33596,0.468
64,64,2009,Bavaria,1st Quintile,Never,0.40344,45,7910,0.31869,0.472
65,65,2009,Bavaria,2nd Quintile,"Yes, depending on situation",0.21789,47,7910,0.15761,0.27342
66,66,2009,Bavaria,2nd Quintile,Rather not,0.37221,75,7910,0.31447,0.44495
67,67,2009,Bavaria,2nd Quintile,Never,0.4099,78,7910,0.33055,0.49313
68,68,2009,Bavaria,3rd Quintile,"Yes, depending on situation",0.20439,58,7910,0.15635,0.27225
69,69,2009,Bavaria,3rd Quintile,Rather not,0.56095,110,7910,0.4786,0.66553
70,70,2009,Bavaria,3rd Quintile,Never,0.23466,70,7910,0.18711,0.28027
71,71,2009,Bavaria,4th Quintile,"Yes, depending on situation",0.27524,86,7910,0.21678,0.34074
72,72,2009,Bavaria,4th Quintile,Rather not,0.47142,140,7910,0.39732,0.55262
73,73,2009,Bavaria,4th Quintile,Never,0.25334,69,7910,0.18898,0.31433
74,74,2009,Bavaria,5th Quintile,"Yes, depending on situation",0.34077,164,7910,0.28681,0.40962
75,75,2009,Bavaria,5th Quintile,Rather not,0.41892,202,7910,0.35742,0.47617
76,76,2009,Bavaria,5th Quintile,Never,0.24032,108,7910,0.19139,0.28816
77,77,2009,Berlin,1st Quintile,"Yes, depending on situation",0.54066,37,7910,0.43878,0.64638
78,78,2009,Berlin,1st Quintile,Rather not,0.45934,33,7910,0.3647,0.56852
79,79,2009,Berlin,2nd Quintile,"Yes, depending on situation",1.0,51,7910,0.70767,1.31614
80,80,2009,Berlin,3rd Quintile,"Yes, depending on situation",1.0,38,7910,0.71485,1.32816
81,81,2009,Berlin,4th Quintile,"Yes, depending on situation",1.0,40,7910,0.74465,1.23678
82,82,2009,Berlin,5th Quintile,"Yes, depending on situation",0.59852,72,7910,0.4329,0.76733
83,83,2009,Berlin,5th Quintile,Rather not,0.40148,41,7910,0.29571,0.51811
84,84,2009,Brandenburg,1st Quintile,"Yes, depending on situation",1.0,43,7910,0.70376,1.32933
85,85,2009,Brandenburg,2nd Quintile,"Yes, depending on situation",1.0,40,7910,0.85413,1.14616
86,86,2009,Brandenburg,3rd Quintile,"Yes, depending on situation",1.0,75,7910,0.77413,1.31551
87,87,2009,Brandenburg,4th Quintile,"Yes, depending on situation",1.0,48,7910,0.80338,1.26085
88,88,2009,Brandenburg,5th Quintile,"Yes, depending on situation",1.0,51,7910,0.63467,1.45854
89,89,2009,Mecklenburg-Western Pomerania,3rd Quintile,"Yes, depending on situation",1.0,38,7910,0.74757,1.26403
90,90,2009,Saxony,1st Quintile,"Yes, depending on situation",0.66196,72,7910,0.55563,0.79535
91,91,2009,Saxony,1st Quintile,Rather not,0.33804,42,7910,0.24991,0.42868
92,92,2009,Saxony,2nd Quintile,"Yes, depending on situation",0.43287,67,7910,0.38178,0.49698
93,93,2009,Saxony,2nd Quintile,Rather not,0.56713,68,7910,0.47174,0.68243
94,94,2009,Saxony,3rd Quintile,"Yes, depending on situation",0.67941,97,7910,0.52273,0.85065
95,95,2009,Saxony,3rd Quintile,Rather not,0.32059,51,7910,0.23525,0.46786
96,96,2009,Saxony,4th Quintile,"Yes, depending on situation",0.69973,74,7910,0.55125,0.84678
97,97,2009,Saxony,4th Quintile,Rather not,0.30027,35,7910,0.22434,0.35731
98,98,2009,Saxony,5th Quintile,"Yes, depending on situation",0.71755,63,7910,0.59677,0.88093
99,99,2009,Saxony,5th Quintile,Rather not,0.28245,34,7910,0.2081,0.37019
100,100,2009,Saxony-Anhalt,1st Quintile,"Yes, depending on situation",1.0,43,7910,0.70343,1.40732
101,101,2009,Saxony-Anhalt,2nd Quintile,"Yes, depending on situation",1.0,31,7910,0.77568,1.21257
102,102,2009,Saxony-Anhalt,3rd Quintile,"Yes, depending on situation",1.0,62,7910,0.78747,1.2877
103,103,2009,Saxony-Anhalt,4th Quintile,"Yes, depending on situation",1.0,50,7910,0.70816,1.30691
104,104,2009,Saxony-Anhalt,5th Quintile,"Yes, depending on situation",1.0,46,7910,0.65497,1.4298
105,105,2009,Thuringa,1st Quintile,"Yes, depending on situation",1.0,51,7910,0.71332,1.33377
106,106,2009,Thuringa,2nd Quintile,"Yes, depending on situation",1.0,44,7910,0.6555,1.35319
107,107,2009,Thuringa,3rd Quintile,"Yes, depending on situation",1.0,59,7910,0.72831,1.28627
108,108,2009,Thuringa,4th Quintile,"Yes, depending on situation",1.0,31,7910,0.71838,1.31529
109,109,2009,Thuringa,5th Quintile,"Yes, depending on situation",1.0,32,7910,0.66006,1.49932
110,110,2014,Schleswig-Holstein,1st Quintile,"Yes, depending on situation",0.18635,46,24963,0.11738,0.26186
111,111,2014,Schleswig-Holstein,1st Quintile,Rather not,0.29348,58,24963,0.17954,0.4444
112,112,2014,Schleswig-Holstein,1st Quintile,Never,0.52017,101,24963,0.40658,0.66541
