year,pgisced97,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,"Yes, depending on situation",0.42869,114,227,0.36416,0.49321
2009,No answer / don't know,Rather not,0.30711,75,227,0.24697,0.36725
2009,No answer / don't know,Never,0.19958,38,227,0.14747,0.25169
2009,Pre-primary Level,"Yes, depending on situation",0.55065,145,225,0.48550,0.61579
2009,Pre-primary Level,Rather not,0.32777,80,225,0.26630,0.38925
2009,Primary Level,Never,0.52506,38,38,0.36415,0.68597
2009,Lower Secondary Level,"Yes, happily",0.03992,37,780,0.02618,0.05367
2009,Lower Secondary Level,"Yes, depending on situation",0.25701,232,780,0.22632,0.28769
2009,Lower Secondary Level,Rather not,0.30230,233,780,0.27005,0.33455
2009,Lower Secondary Level,Never,0.40077,278,780,0.36636,0.43519
2009,Upper Secondary Level,"Yes, happily",0.06062,258,4635,0.05375,0.06749
2009,Upper Secondary Level,"Yes, depending on situation",0.34726,1722,4635,0.33355,0.36096
2009,Upper Secondary Level,Rather not,0.36763,1673,4635,0.35374,0.38151
2009,Upper Secondary Level,Never,0.22449,982,4635,0.21248,0.23651
2009,Post-secondary Non-tertiary Level,"Yes, happily",0.06742,41,691,0.04871,0.08613
2009,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.35123,254,691,0.31561,0.38685
2009,Post-secondary Non-tertiary Level,Rather not,0.40116,267,691,0.36459,0.43773
2009,Post-secondary Non-tertiary Level,Never,0.18019,129,691,0.15151,0.20887
2009,First Stage of Tertiary Education,"Yes, happily",0.04526,32,693,0.02977,0.06075
2009,First Stage of Tertiary Education,"Yes, depending on situation",0.41382,301,693,0.37712,0.45051
2009,First Stage of Tertiary Education,Rather not,0.35378,243,693,0.31815,0.38940
2009,First Stage of Tertiary Education,Never,0.18714,117,693,0.15808,0.21620
2009,Second Stage of Tertiary Education,"Yes, happily",0.06633,185,2621,0.05680,0.07586
2009,Second Stage of Tertiary Education,"Yes, depending on situation",0.45539,1264,2621,0.43632,0.47446
2009,Second Stage of Tertiary Education,Rather not,0.35843,898,2621,0.34007,0.37679
2009,Second Stage of Tertiary Education,Never,0.11985,274,2621,0.10741,0.13229
2014,No answer / don't know,"Yes, happily",0.06404,42,597,0.04439,0.08370
2014,No answer / don't know,"Yes, depending on situation",0.30165,190,597,0.26480,0.33850
2014,No answer / don't know,Rather not,0.24276,150,597,0.20833,0.27718
2014,No answer / don't know,Never,0.39155,215,597,0.35236,0.43073
2014,Pre-primary Level,"Yes, happily",0.10656,57,441,0.07773,0.13539
2014,Pre-primary Level,"Yes, depending on situation",0.48618,206,441,0.43948,0.53288
