year,migback,sampreg,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,West,"Yes, happily",0.05336,340,6292,0.04781,0.05892
2009,No migration background,West,"Yes, depending on situation",0.36774,2389,6292,0.35583,0.37966
2009,No migration background,West,Rather not,0.36907,2315,6292,0.35714,0.38099
2009,No migration background,West,Never,0.20983,1248,6292,0.19977,0.21989
2009,No migration background,East,"Yes, happily",0.10492,206,2326,0.09246,0.11737
2009,No migration background,East,"Yes, depending on situation",0.53823,1289,2326,0.51796,0.55849
2009,No migration background,East,Rather not,0.27558,662,2326,0.25742,0.29374
2009,No migration background,East,Never,0.08128,169,2326,0.07017,0.09239
2009,Direct migration background,West,"Yes, depending on situation",0.21520,193,842,0.18743,0.24298
2009,Direct migration background,West,Rather not,0.37859,318,842,0.34581,0.41137
2009,Direct migration background,West,Never,0.37385,331,842,0.34115,0.40655
2009,Indirect migration background,West,"Yes, depending on situation",0.25934,142,451,0.21884,0.29983
2009,Indirect migration background,West,Rather not,0.44594,179,451,0.40001,0.49186
2009,Indirect migration background,West,Never,0.26703,130,451,0.22615,0.30791
2014,No migration background,West,"Yes, happily",0.04352,676,14591,0.04021,0.04683
2014,No migration background,West,"Yes, depending on situation",0.27616,4092,14591,0.26891,0.28342
2014,No migration background,West,Rather not,0.28606,4235,14591,0.27872,0.29339
2014,No migration background,West,Never,0.39426,5588,14591,0.38633,0.40219
2014,No migration background,East,"Yes, happily",0.06646,314,5078,0.05961,0.07332
2014,No migration background,East,"Yes, depending on situation",0.28939,1568,5078,0.27692,0.30186
2014,No migration background,East,Rather not,0.28243,1433,5078,0.27004,0.29481
2014,No migration background,East,Never,0.36172,1763,5078,0.34850,0.37494
2014,Direct migration background,West,"Yes, happily",0.03227,190,4784,0.02726,0.03728
2014,Direct migration background,West,"Yes, depending on situation",0.21399,1027,4784,0.20237,0.22561
2014,Direct migration background,West,Rather not,0.26245,1247,4784,0.24998,0.27492
2014,Direct migration background,West,Never,0.49129,2320,4784,0.47712,0.50546
2014,Direct migration background,East,"Yes, happily",0.13868,67,366,0.10323,0.17414
2014,Direct migration background,East,"Yes, depending on situation",0.37332,103,366,0.32370,0.42294
2014,Direct migration background,East,Rather not,0.20972,83,366,0.16795,0.25148
2014,Direct migration background,East,Never,0.27828,113,366,0.23231,0.32426
2014,Indirect migration background,West,"Yes, happily",0.06835,91,1573,0.05588,0.08083
2014,Indirect migration background,West,"Yes, depending on situation",0.26785,404,1573,0.24596,0.28974
2014,Indirect migration background,West,Rather not,0.29303,459,1573,0.27053,0.31553
2014,Indirect migration background,West,Never,0.37077,619,1573,0.34689,0.39465
2014,Indirect migration background,East,"Yes, depending on situation",0.49959,49,49,0.35814,0.64104
2019,No migration background,Does not apply,"Yes, depending on situation",0.48840,31,31,0.30952,0.66727
2019,No migration background,West,"Yes, happily",0.05706,843,14519,0.05329,0.06083
2019,No migration background,West,"Yes, depending on situation",0.27007,4240,14519,0.26285,0.27729
2019,No migration background,West,Rather not,0.29645,4245,14519,0.28902,0.30388
2019,No migration background,West,Never,0.37642,5191,14519,0.36854,0.38430
2019,No migration background,East,"Yes, happily",0.07546,337,5061,0.06818,0.08274
2019,No migration background,East,"Yes, depending on situation",0.27131,1463,5061,0.25906,0.28356
2019,No migration background,East,Rather not,0.26576,1348,5061,0.25359,0.27793
2019,No migration background,East,Never,0.38747,1913,5061,0.37405,0.40090
2019,Direct migration background,West,"Yes, happily",0.04538,153,3593,0.03857,0.05219
2019,Direct migration background,West,"Yes, depending on situation",0.20206,742,3593,0.18893,0.21519
2019,Direct migration background,West,Rather not,0.26823,963,3593,0.25374,0.28272
2019,Direct migration background,West,Never,0.48433,1735,3593,0.46799,0.50068
2019,Direct migration background,East,"Yes, happily",0.18783,48,302,0.14371,0.23196
2019,Direct migration background,East,"Yes, depending on situation",0.26198,86,302,0.21231,0.31166
2019,Direct migration background,East,Rather not,0.27652,75,302,0.22599,0.32705
2019,Direct migration background,East,Never,0.27367,93,302,0.22330,0.32404
2019,Indirect migration background,West,"Yes, happily",0.04881,74,1416,0.03759,0.06004
2019,Indirect migration background,West,"Yes, depending on situation",0.23955,366,1416,0.21731,0.26179
2019,Indirect migration background,West,Rather not,0.34567,437,1416,0.32089,0.37045
2019,Indirect migration background,West,Never,0.36596,539,1416,0.34086,0.39106
2019,Indirect migration background,East,"Yes, depending on situation",0.36163,41,41,0.21273,0.51053
