year,bula_h,sampreg,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,West,"Yes, depending on situation",0.14465,91,214,0.09741,0.19189
2009,Schleswig-Holstein,West,Rather not,0.15042,87,214,0.10241,0.19843
2009,Schleswig-Holstein,West,Never,0.07204,36,214,0.03732,0.10676
2009,Hamburg,West,"Yes, depending on situation",0.20849,77,149,0.14304,0.27394
2009,Hamburg,West,Rather not,0.28125,72,149,0.20881,0.35368
2009,Lower Saxony,West,"Yes, happily",0.02620,57,962,0.01610,0.03630
2009,Lower Saxony,West,"Yes, depending on situation",0.18987,395,962,0.16508,0.21467
2009,Lower Saxony,West,Rather not,0.17406,328,962,0.15009,0.19804
2009,Lower Saxony,West,Never,0.09027,182,962,0.07215,0.10839
2009,Bremen,West,"Yes, depending on situation",0.22701,35,35,0.08621,0.36782
2009,North Rhine-Westphalia,West,"Yes, happily",0.02042,80,1980,0.01419,0.02665
2009,North Rhine-Westphalia,West,"Yes, depending on situation",0.16220,735,1980,0.14596,0.17844
2009,North Rhine-Westphalia,West,Rather not,0.15604,680,1980,0.14005,0.17203
2009,North Rhine-Westphalia,West,Never,0.11652,485,1980,0.10238,0.13065
2009,Hesse,West,"Yes, happily",0.01999,35,792,0.01024,0.02974
2009,Hesse,West,"Yes, depending on situation",0.18612,301,792,0.15900,0.21325
2009,Hesse,West,Rather not,0.19083,290,792,0.16345,0.21822
2009,Hesse,West,Never,0.12763,166,792,0.10438,0.15088
2009,"Rhineland-Palatinate, Saarland",West,"Yes, depending on situation",0.15428,200,550,0.12406,0.18450
2009,"Rhineland-Palatinate, Saarland",West,Rather not,0.17376,214,550,0.14207,0.20546
2009,"Rhineland-Palatinate, Saarland",West,Never,0.11377,136,550,0.08721,0.14033
2009,Baden-Wuerttemberg,West,"Yes, happily",0.01739,48,1166,0.00989,0.02490
2009,Baden-Wuerttemberg,West,"Yes, depending on situation",0.14634,377,1166,0.12604,0.16664
2009,Baden-Wuerttemberg,West,Rather not,0.19635,464,1166,0.17354,0.21916
2009,Baden-Wuerttemberg,West,Never,0.12303,277,1166,0.10417,0.14189
