,Unnamed: 0,year,regtyp,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Urban regions,"Yes, happily",0.05726,372,10016,0.05138,0.06361
1,1,2009,Urban regions,"Yes, depending on situation",0.35835,2605,10016,0.34714,0.37365
2,2,2009,Urban regions,Rather not,0.35714,2380,10016,0.34379,0.37136
3,3,2009,Urban regions,Never,0.22726,1394,10016,0.21565,0.23759
4,4,2009,Rural regions,"Yes, happily",0.06224,224,10016,0.05622,0.07008
5,5,2009,Rural regions,"Yes, depending on situation",0.40887,1445,10016,0.38622,0.42885
6,6,2009,Rural regions,Rather not,0.35962,1110,10016,0.33865,0.37937
7,7,2009,Rural regions,Never,0.16927,486,10016,0.15593,0.18326
8,8,2014,Urban regions,"Yes, happily",0.04977,896,26481,0.04522,0.05407
9,9,2014,Urban regions,"Yes, depending on situation",0.27803,4746,26481,0.26882,0.28818
10,10,2014,Urban regions,Rather not,0.28499,4941,26481,0.27542,0.29387
11,11,2014,Urban regions,Never,0.38721,6652,26481,0.37744,0.39739
12,12,2014,Rural regions,"Yes, happily",0.04476,456,26481,0.03962,0.05035
13,13,2014,Rural regions,"Yes, depending on situation",0.25563,2497,26481,0.24271,0.26745
14,14,2014,Rural regions,Rather not,0.27469,2534,26481,0.26024,0.28592
15,15,2014,Rural regions,Never,0.42492,3759,26481,0.41046,0.43722
16,16,2019,Urban regions,"Yes, happily",0.06211,989,24541,0.05628,0.06796
17,17,2019,Urban regions,"Yes, depending on situation",0.26657,4547,24541,0.25562,0.27671
18,18,2019,Urban regions,Rather not,0.28916,4574,24541,0.27874,0.29973
19,19,2019,Urban regions,Never,0.38216,5810,24541,0.37119,0.39269
20,20,2019,Rural regions,"Yes, happily",0.04973,436,24541,0.04401,0.05618
21,21,2019,Rural regions,"Yes, depending on situation",0.2364,2221,24541,0.22321,0.24963
22,22,2019,Rural regions,Rather not,0.29175,2404,24541,0.27724,0.30652
23,23,2019,Rural regions,Never,0.42212,3560,24541,0.40355,0.43821
