year,pgisced97,quintil_oecd,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,1st Quintile,"Yes, depending on situation",0.39649,35,35,0.23206,0.56092
2009,Pre-primary Level,4th Quintile,"Yes, depending on situation",0.59104,32,32,0.41797,0.76411
2009,Pre-primary Level,5th Quintile,"Yes, depending on situation",0.66660,38,38,0.51470,0.81851
2009,Lower Secondary Level,1st Quintile,"Yes, depending on situation",0.26134,71,242,0.20587,0.31682
2009,Lower Secondary Level,1st Quintile,Rather not,0.23361,69,242,0.18019,0.28704
2009,Lower Secondary Level,1st Quintile,Never,0.43969,102,242,0.37702,0.50235
2009,Lower Secondary Level,2nd Quintile,"Yes, depending on situation",0.21456,51,179,0.15425,0.27487
2009,Lower Secondary Level,2nd Quintile,Rather not,0.30030,57,179,0.23296,0.36765
2009,Lower Secondary Level,2nd Quintile,Never,0.44011,71,179,0.36719,0.51304
2009,Lower Secondary Level,3rd Quintile,"Yes, depending on situation",0.26544,54,150,0.19453,0.33634
2009,Lower Secondary Level,3rd Quintile,Rather not,0.30627,40,150,0.23226,0.38028
2009,Lower Secondary Level,3rd Quintile,Never,0.41731,56,150,0.33813,0.49648
2009,Lower Secondary Level,4th Quintile,"Yes, depending on situation",0.33188,36,79,0.22738,0.43639
2009,Lower Secondary Level,4th Quintile,Rather not,0.44638,43,79,0.33605,0.55670
2009,Upper Secondary Level,1st Quintile,"Yes, happily",0.08795,59,823,0.06859,0.10732
2009,Upper Secondary Level,1st Quintile,"Yes, depending on situation",0.33652,301,823,0.30422,0.36882
2009,Upper Secondary Level,1st Quintile,Rather not,0.33628,274,823,0.30398,0.36857
2009,Upper Secondary Level,1st Quintile,Never,0.23925,189,823,0.21008,0.26841
2009,Upper Secondary Level,2nd Quintile,"Yes, happily",0.07191,48,871,0.05475,0.08908
2009,Upper Secondary Level,2nd Quintile,"Yes, depending on situation",0.31229,308,871,0.28150,0.34308
2009,Upper Secondary Level,2nd Quintile,Rather not,0.37044,310,871,0.33835,0.40253
2009,Upper Secondary Level,2nd Quintile,Never,0.24536,205,871,0.21676,0.27395
2009,Upper Secondary Level,3rd Quintile,"Yes, happily",0.03625,48,949,0.02435,0.04815
2009,Upper Secondary Level,3rd Quintile,"Yes, depending on situation",0.37736,395,949,0.34650,0.40821
