year,migback,pgisced97,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,No answer / don't know,"Yes, depending on situation",0.43983,89,147,0.35931,0.52034
2009,No migration background,No answer / don't know,Rather not,0.30083,58,147,0.22644,0.37522
2009,No migration background,Pre-primary Level,"Yes, depending on situation",0.61160,124,185,0.54117,0.68202
2009,No migration background,Pre-primary Level,Rather not,0.25970,61,185,0.19635,0.32306
2009,No migration background,Lower Secondary Level,"Yes, depending on situation",0.29533,185,502,0.25538,0.33528
2009,No migration background,Lower Secondary Level,Rather not,0.32226,166,502,0.28133,0.36318
2009,No migration background,Lower Secondary Level,Never,0.33037,151,502,0.28919,0.37156
2009,No migration background,Upper Secondary Level,"Yes, happily",0.06256,237,4106,0.05515,0.06996
2009,No migration background,Upper Secondary Level,"Yes, depending on situation",0.37187,1583,4106,0.35709,0.38666
2009,No migration background,Upper Secondary Level,Rather not,0.35367,1462,4106,0.33905,0.36830
2009,No migration background,Upper Secondary Level,Never,0.21190,824,4106,0.19939,0.22440
2009,No migration background,Post-secondary Non-tertiary Level,"Yes, happily",0.07756,39,553,0.05525,0.09987
2009,No migration background,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.38499,223,553,0.34440,0.42559
2009,No migration background,Post-secondary Non-tertiary Level,Rather not,0.38564,208,553,0.34504,0.42625
2009,No migration background,Post-secondary Non-tertiary Level,Never,0.15181,83,553,0.12187,0.18174
2009,No migration background,First Stage of Tertiary Education,"Yes, depending on situation",0.44452,289,598,0.40466,0.48438
2009,No migration background,First Stage of Tertiary Education,Rather not,0.34898,219,598,0.31074,0.38721
2009,No migration background,First Stage of Tertiary Education,Never,0.15817,90,598,0.12890,0.18744
2009,No migration background,Second Stage of Tertiary Education,"Yes, happily",0.07365,173,2356,0.06310,0.08420
2009,No migration background,Second Stage of Tertiary Education,"Yes, depending on situation",0.48239,1176,2356,0.46221,0.50257
2009,No migration background,Second Stage of Tertiary Education,Rather not,0.35012,794,2356,0.33085,0.36938
2009,No migration background,Second Stage of Tertiary Education,Never,0.09385,213,2356,0.08207,0.10562
2009,Direct migration background,Lower Secondary Level,Rather not,0.20164,33,120,0.12955,0.27373
2009,Direct migration background,Lower Secondary Level,Never,0.61200,87,120,0.52445,0.69956
2009,Direct migration background,Upper Secondary Level,"Yes, depending on situation",0.21547,84,328,0.17091,0.26004
2009,Direct migration background,Upper Secondary Level,Rather not,0.42587,133,328,0.37228,0.47947
2009,Direct migration background,Upper Secondary Level,Never,0.30493,111,328,0.25503,0.35483
2009,Direct migration background,Post-secondary Non-tertiary Level,Rather not,0.51883,52,87,0.41323,0.62443
2009,Direct migration background,Post-secondary Non-tertiary Level,Never,0.28465,35,87,0.18928,0.38002
2009,Direct migration background,Second Stage of Tertiary Education,"Yes, depending on situation",0.32735,59,183,0.25918,0.39553
2009,Direct migration background,Second Stage of Tertiary Education,Rather not,0.36849,74,183,0.29841,0.43858
2009,Direct migration background,Second Stage of Tertiary Education,Never,0.27419,50,183,0.20938,0.33900
2009,Indirect migration background,Lower Secondary Level,Rather not,0.39610,34,74,0.28390,0.50830
2009,Indirect migration background,Lower Secondary Level,Never,0.35769,40,74,0.24773,0.46764
2009,Indirect migration background,Upper Secondary Level,"Yes, depending on situation",0.22095,55,180,0.16017,0.28173
2009,Indirect migration background,Upper Secondary Level,Rather not,0.46870,78,180,0.39559,0.54180
2009,Indirect migration background,Upper Secondary Level,Never,0.26582,47,180,0.20111,0.33054
2014,No migration background,No answer / don't know,"Yes, depending on situation",0.35792,133,341,0.30697,0.40888
